year,university,sector_desc,sector_cd,noncampus_weapon,noncampus_drug,noncampus_liquor,oncampus_weapon,oncampus_drug,oncampus_liquor,publicproperty_weapon,publicproperty_drug,publicproperty_liquor,reported_weapon,reported_drug,reported_liquor,residencehall_weapon,residencehall_drug,residencehall_liquor
2014,Albany State University,"Public, 4-year or above",1,0,0,0,2,33,14,0,0,0,0,0,0,0,0,6
2014,Arkansas State University-Main Campus,"Public, 4-year or above",1,0,0,0,0,31,109,0,0,7,0,0,0,0,20,87
2014,Ball State University,"Public, 4-year or above",1,0,0,0,4,64,531,0,0,1,0,0,0,3,54,526
2014,California Polytechnic State University-San Luis Obispo,"Public, 4-year or above",1,0,1,4,0,39,133,0,0,0,0,0,0,0,30,120
2014,California State University-Chico,"Public, 4-year or above",1,0,1,5,0,9,31,0,0,0,0,0,0,0,9,31
2014,Clemson University,"Public, 4-year or above",1,0,0,0,0,122,604,0,0,1,0,0,0,0,108,590
2014,College of Charleston,"Public, 4-year or above",1,0,0,0,0,62,166,0,0,0,0,0,0,0,62,164
2014,Delaware State University,"Public, 4-year or above",1,0,6,0,21,171,250,0,4,1,0,0,0,15,165,211
2014,DePauw University,"Private nonprofit, 4-year or above",2,0,2,22,0,29,126,0,0,12,0,0,0,0,27,116
2014,East Carolina University,"Public, 4-year or above",1,1,10,7,9,175,727,0,13,21,0,0,0,7,172,674
2014,Emory University,"Private nonprofit, 4-year or above",2,0,0,0,0,85,302,0,0,0,0,0,0,0,76,281
2014,Ferrum College,"Private nonprofit, 4-year or above",2,0,4,1,0,35,37,0,7,4,0,0,0,0,30,30
2014,Florida Atlantic University,"Public, 4-year or above",1,0,0,2,0,81,392,0,0,0,0,0,0,0,50,340
2014,Florida International University,"Public, 4-year or above",1,0,0,0,0,144,136,0,0,0,0,0,0,0,106,120
2014,Florida State University,"Public, 4-year or above",1,0,0,0,1,6,270,0,1,4,0,0,0,1,6,270
2014,Hampden-Sydney College,"Private nonprofit, 4-year or above",2,0,3,0,0,15,42,0,0,0,0,0,0,0,11,31
2014,Indiana University-Bloomington,"Public, 4-year or above",1,0,3,2,0,239,1215,0,0,0,0,0,0,0,220,1073
2014,James Madison University,"Public, 4-year or above",1,0,0,0,2,47,1012,0,0,0,0,0,0,1,47,1003
2014,Louisiana State University and Agricultural & Mechanical College,"Public, 4-year or above",1,0,0,0,0,32,15,0,0,0,0,0,0,0,23,0
2014,Marshall University,"Public, 4-year or above",1,0,0,1,3,10,31,0,0,0,0,0,0,1,10,30
2014,Michigan State University,"Public, 4-year or above",1,0,0,0,8,546,1214,0,0,0,0,0,0,8,546,1214
2014,Monmouth University,"Private nonprofit, 4-year or above",2,0,4,0,1,31,142,0,0,0,0,0,0,1,24,139
2014,Murray State University,"Public, 4-year or above",1,0,0,0,0,9,67,0,0,0,0,0,0,0,5,67
2014,North Carolina Central University,"Public, 4-year or above",1,0,0,0,3,61,21,0,0,1,0,0,0,1,35,12
2014,North Carolina State University at Raleigh,"Public, 4-year or above",1,0,0,11,2,57,440,0,0,3,0,0,0,1,33,357
