year,university,liquor_violations_offcampus,liquor_violations_campus,liquor_violations_reshall,liquor_violations_publicprop,drug_violations_offcampus,drug_violations_campus,drug_violations_reshall,drug_violations_publicprop,liquor_violation_total_cl,drug_violation_total_cl
2013,Arkansas State University-Main Campus,0,101,78,7,0,30,21,5,186,56
2013,Ball State University,0,485,485,0,0,8,8,0,970,16
2013,California Polytechnic State University-San Luis Obispo,2,0,0,0,0,5,2,1,2,8
2013,California State University-Northridge,0,207,147,0,0,210,185,0,354,395
2013,Clemson University,1,402,391,0,2,60,55,0,794,117
2013,College of Charleston,0,205,203,0,0,53,53,0,408,106
2013,East Carolina University,5,609,554,40,9,80,74,6,1208,169
2013,Emory University,0,289,268,0,0,36,30,0,557,66
2013,Florida Atlantic University,1,245,238,0,0,63,55,0,484,118
2013,Florida International University,0,75,72,0,0,13,10,0,147,23
2013,Florida State University,0,142,142,0,0,17,10,0,284,27
2013,Indiana University-Bloomington,5,660,636,28,2,123,120,18,1329,263
2013,Louisiana State University and Agricultural & Mechanical College,0,0,0,0,0,24,22,0,0,46
2013,Marshall University,0,20,20,2,0,12,12,0,42,24
2013,Miami University-Oxford,3,322,321,1,0,18,18,0,647,36
2013,Monmouth University,1,100,97,2,7,20,13,0,200,40
2013,Murray State University,0,70,61,3,0,12,8,1,134,21
2013,North Carolina State University at Raleigh,22,456,372,1,3,62,44,3,851,112
2013,Northwestern University,3,269,249,8,2,36,27,0,529,65
2013,Ohio State University-Main Campus,0,1672,1640,0,0,423,398,0,3312,821
2013,Ohio University-Main Campus,0,426,422,0,0,78,74,0,848,152
2013,Pennsylvania State University-Main Campus,2,871,852,2,2,347,243,0,1727,592
2013,Rollins College,0,125,125,0,0,16,16,3,250,35
2013,Rutgers University-New Brunswick,0,694,694,0,0,0,0,0,1388,0
2013,San Diego State University,0,364,364,0,0,72,72,0,728,144
2013,Syracuse University,36,1258,1193,9,10,263,240,0,2496,513
2013,Texas State University,0,70,70,0,0,1,1,0,140,2
2013,The University of Texas at Arlington,0,24,23,1,0,14,14,0,48,28
2013,Tufts University,0,49,46,0,0,2,1,0,95,3
2013,University at Buffalo,0,481,469,5,0,287,199,2,955,488
