university,year,sexual_assault_total_cl,rape_total,statr_total_cl,fondl_total,rape_reshall,rape_oncampus,rape_noncampus,fondl_noncampus,fondl_oncampus,fondl_reshall,statr_noncampus,statr_oncampus,statr_reshall,fondl_total_cl
Arkansas State University-Main Campus,2014,3,3,0,0,3,3,0,0,0,0,0,0,0,0
Arkansas State University-Main Campus,2015,3,2,1,0,1,2,0,0,0,0,0,1,1,0
Arkansas State University-Main Campus,2016,7,7,0,0,7,7,0,0,0,0,0,0,0,0
Arkansas State University-Main Campus,2017,6,6,0,0,5,5,1,0,0,0,0,0,0,0
Arkansas State University-Main Campus,2018,13,6,0,7,6,6,0,0,7,3,0,0,0,7
Ball State University,2014,19,14,0,5,9,14,0,0,5,4,0,0,0,5
Ball State University,2015,34,26,0,8,15,18,8,2,6,4,0,0,0,8
Ball State University,2016,31,15,0,16,12,13,2,6,10,10,0,0,0,16
Ball State University,2017,43,27,0,16,17,21,6,0,16,12,0,0,0,16
Ball State University,2018,26,12,0,14,9,10,2,3,11,6,0,0,0,14
California Polytechnic State University-San Luis Obispo,2014,15,12,0,3,6,11,1,0,3,2,0,0,0,3
California Polytechnic State University-San Luis Obispo,2015,9,9,0,0,5,7,2,0,0,0,0,0,0,0
California Polytechnic State University-San Luis Obispo,2016,17,11,1,5,5,7,2,2,3,2,0,1,1,5
California Polytechnic State University-San Luis Obispo,2017,19,11,0,8,7,10,1,1,7,3,0,0,0,8
California Polytechnic State University-San Luis Obispo,2018,10,7,1,2,5,7,0,0,2,2,1,0,0,2
California State University-Northridge,2014,8,2,1,5,1,2,0,0,4,0,0,1,1,5
California State University-Northridge,2015,10,6,0,4,5,5,0,0,4,1,0,0,0,4
California State University-Northridge,2016,19,15,0,4,13,14,1,0,3,2,0,0,0,4
California State University-Northridge,2017,13,8,0,5,3,7,1,0,5,3,0,0,0,5
California State University-Northridge,2018,13,10,0,3,7,10,0,0,3,2,0,0,0,3
Clemson University,2014,11,5,0,6,3,4,1,0,5,3,0,0,0,6
Clemson University,2015,13,11,0,2,5,6,5,0,2,0,0,0,0,2
Clemson University,2016,10,8,0,2,2,8,0,1,1,0,0,0,0,2
Clemson University,2017,13,11,0,2,5,7,4,0,2,1,0,0,0,2
Clemson University,2018,8,4,0,4,3,4,0,1,3,1,0,0,0,4
College of Charleston,2014,13,9,0,4,9,9,0,0,4,3,0,0,0,4
College of Charleston,2015,9,7,0,2,6,7,0,0,2,1,0,0,0,2
College of Charleston,2016,9,9,0,0,9,9,0,0,0,0,0,0,0,0
College of Charleston,2017,9,8,0,1,7,8,0,0,0,0,0,0,0,1
College of Charleston,2018,11,6,0,5,6,6,0,0,3,2,0,0,0,5
East Carolina University,2014,11,7,0,4,7,7,0,0,4,4,0,0,0,4
East Carolina University,2015,27,22,0,5,17,17,5,0,3,2,0,0,0,5
East Carolina University,2016,21,16,0,5,16,16,0,0,5,4,0,0,0,5
East Carolina University,2017,23,16,0,7,15,16,0,0,7,5,0,0,0,7
East Carolina University,2018,25,18,0,7,14,14,4,1,5,3,0,0,0,7
Emory University,2014,34,27,0,7,21,27,0,0,7,5,0,0,0,7
Emory University,2015,22,8,0,14,2,6,0,0,13,6,0,0,0,14
Emory University,2016,11,6,0,5,3,6,0,0,5,1,0,0,0,5
Emory University,2017,17,9,0,8,8,9,0,0,8,4,0,0,0,8
Emory University,2018,28,12,0,16,7,12,0,0,15,2,0,0,0,16
Florida Atlantic University,2014,6,6,0,0,6,6,0,0,0,0,0,0,0,0
Florida Atlantic University,2015,5,5,0,0,3,5,0,0,0,0,0,0,0,0
Florida Atlantic University,2016,5,5,0,0,3,5,0,0,0,0,0,0,0,0
Florida Atlantic University,2017,18,12,0,6,10,12,0,0,6,4,0,0,0,6
Florida Atlantic University,2018,15,8,0,7,6,8,0,0,7,4,0,0,0,7
Florida International University,2014,12,2,0,10,2,2,0,0,10,0,0,0,0,10
Florida International University,2015,11,7,0,4,5,7,0,0,4,1,0,0,0,4
Florida International University,2016,12,8,0,4,7,8,0,0,4,0,0,0,0,4
Florida International University,2017,11,6,0,5,5,6,0,0,5,1,0,0,0,5
Florida International University,2018,23,17,0,6,1,17,0,0,6,2,0,0,0,6
Florida State University,2014,19,19,0,0,13,17,2,0,0,0,0,0,0,0
Florida State University,2015,28,28,0,0,22,24,4,0,0,0,0,0,0,0
Florida State University,2016,20,18,0,2,9,16,2,1,1,0,0,0,0,2
Florida State University,2017,15,13,0,2,11,12,1,0,2,0,0,0,0,2
Florida State University,2018,9,6,0,3,3,5,1,1,2,0,0,0,0,3
Indiana University-Bloomington,2014,29,22,0,7,11,13,9,1,6,5,0,0,0,7
Indiana University-Bloomington,2015,57,39,2,16,27,29,10,2,14,12,0,2,2,16
Indiana University-Bloomington,2016,30,21,0,9,14,15,6,0,9,5,0,0,0,9
Indiana University-Bloomington,2017,33,26,0,7,17,20,5,1,6,5,0,0,0,7
