university,year,sexual_assault_total_cl,rape_total,statr_total_cl,fondl_total,rape_reshall,rape_oncampus,rape_noncampus,fondl_noncampus,fondl_oncampus,fondl_reshall,statr_noncampus,statr_oncampus,statr_reshall,fondl_total_cl,liquor_violations_offcampus,liquor_violations_campus,liquor_violations_reshall,liquor_violations_publicprop,drug_violations_offcampus,drug_violations_campus,drug_violations_reshall,drug_violations_publicprop,liquor_violation_total_cl,drug_violation_total_cl
Arkansas State University-Main Campus,2014,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,109,87,7,0,31,20,0,203,51
Arkansas State University-Main Campus,2015,3,2,1,0,1,2,0,0,0,0,0,1,1,0,0,132,115,7,0,40,15,3,254,58
Arkansas State University-Main Campus,2016,7,7,0,0,7,7,0,0,0,0,0,0,0,0,0,116,72,2,0,15,8,0,190,23
Arkansas State University-Main Campus,2017,6,6,0,0,5,5,1,0,0,0,0,0,0,0,0,119,78,2,0,32,22,3,199,57
Arkansas State University-Main Campus,2018,13,6,0,7,6,6,0,0,7,3,0,0,0,7,0,50,21,1,0,55,40,12,72,107
Ball State University,2014,19,14,0,5,9,14,0,0,5,4,0,0,0,5,0,531,526,1,0,64,54,0,1058,118
Ball State University,2015,34,26,0,8,15,18,8,2,6,4,0,0,0,8,2,414,412,0,0,82,78,1,828,161
Ball State University,2016,31,15,0,16,12,13,2,6,10,10,0,0,0,16,12,396,395,1,3,68,53,6,804,130
Ball State University,2017,43,27,0,16,17,21,6,0,16,12,0,0,0,16,7,396,383,1,3,104,84,3,787,194
Ball State University,2018,26,12,0,14,9,10,2,3,11,6,0,0,0,14,0,300,298,0,0,124,115,0,598,239
California Polytechnic State University-San Luis Obispo,2014,15,12,0,3,6,11,1,0,3,2,0,0,0,3,4,133,120,0,1,39,30,0,257,70
California Polytechnic State University-San Luis Obispo,2015,9,9,0,0,5,7,2,0,0,0,0,0,0,0,0,327,325,0,0,22,4,0,652,26
California Polytechnic State University-San Luis Obispo,2016,17,11,1,5,5,7,2,2,3,2,0,1,1,5,0,216,203,0,0,7,4,3,419,14
California Polytechnic State University-San Luis Obispo,2017,19,11,0,8,7,10,1,1,7,3,0,0,0,8,0,292,290,0,0,5,4,0,582,9
California Polytechnic State University-San Luis Obispo,2018,10,7,1,2,5,7,0,0,2,2,1,0,0,2,0,124,113,0,0,7,5,0,237,12
California State University-Northridge,2014,8,2,1,5,1,2,0,0,4,0,0,1,1,5,0,263,262,0,0,175,161,0,525,336
California State University-Northridge,2015,10,6,0,4,5,5,0,0,4,1,0,0,0,4,0,250,242,0,0,172,169,0,492,341
California State University-Northridge,2016,19,15,0,4,13,14,1,0,3,2,0,0,0,4,0,236,233,0,0,260,258,0,469,518
California State University-Northridge,2017,13,8,0,5,3,7,1,0,5,3,0,0,0,5,0,169,168,0,0,172,171,0,337,343
California State University-Northridge,2018,13,10,0,3,7,10,0,0,3,2,0,0,0,3,0,124,122,0,0,118,118,0,246,236
Clemson University,2014,11,5,0,6,3,4,1,0,5,3,0,0,0,6,0,604,590,1,0,122,108,0,1195,230
Clemson University,2015,13,11,0,2,5,6,5,0,2,0,0,0,0,2,2,439,414,3,0,143,132,8,858,283
Clemson University,2016,10,8,0,2,2,8,0,1,1,0,0,0,0,2,0,431,410,10,0,55,44,2,851,101
Clemson University,2017,13,11,0,2,5,7,4,0,2,1,0,0,0,2,0,407,383,7,0,31,22,3,797,56
Clemson University,2018,8,4,0,4,3,4,0,1,3,1,0,0,0,4,0,506,482,2,0,47,43,2,990,92
College of Charleston,2014,13,9,0,4,9,9,0,0,4,3,0,0,0,4,0,166,164,0,0,62,62,0,330,124
College of Charleston,2015,9,7,0,2,6,7,0,0,2,1,0,0,0,2,0,155,154,0,0,54,53,0,309,107
College of Charleston,2016,9,9,0,0,9,9,0,0,0,0,0,0,0,0,0,144,143,0,0,64,63,0,287,127
College of Charleston,2017,9,8,0,1,7,8,0,0,0,0,0,0,0,1,0,133,131,0,0,49,48,0,264,97
College of Charleston,2018,11,6,0,5,6,6,0,0,3,2,0,0,0,5,0,139,137,0,0,75,73,0,276,148
East Carolina University,2014,11,7,0,4,7,7,0,0,4,4,0,0,0,4,7,727,674,21,10,175,172,13,1429,370
East Carolina University,2015,27,22,0,5,17,17,5,0,3,2,0,0,0,5,4,555,521,15,4,192,187,6,1095,389
