unit_id,institution_name,year,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91,total_students_all,total_black_all,total_asian_all,total_women_all,total_men_all,total_undergrad_men,total_undergrad_women,total_undergrad_black,total_undergrad_asian,total_undergrad_hispanic,total_undergrad_white_men,total_undergrad_white_women,total_white_all,ftime_total_undergrad,ftime_total_undergrad_men,ftime_total_undergrad_women,total_students_undergrad
106458,Arkansas State University-Main Campus,2019,53,NA,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13356,1725,117,8328,5028,3586,5342,1127,78,344,2635,4013,9956,6439,2739,3700,8928
106458,Arkansas State University-Main Campus,2018,48,9350,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13709,1737,126,8534,5175,3739,5611,1152,88,302,2768,4300,10281,6789,2887,3902,9350
106458,Arkansas State University-Main Campus,2017,48,9604,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,13930,1831,118,8593,5337,3881,5723,1213,87,268,2877,4378,10381,6894,2958,3936,9604
106458,Arkansas State University-Main Campus,2016,45,9839,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.679988,35.842388,NA,14085,1836,116,8460,5625,4185,5654,1256,83,260,3053,4315,10448,7305,3222,4083,9839
106458,Arkansas State University-Main Campus,2015,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592
106458,Arkansas State University-Main Campus,2014,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
106458,Arkansas State University-Main Campus,2013,37,10098,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13552,1923,97,8166,5386,4279,5819,1410,79,211,3131,4346,9995,7645,3289,4356,10098
150136,Ball State University,2019,67,NA,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-85.409043,40.203431,NA,22443,1731,401,14560,7883,6646,10056,1357,250,994,5121,7738,17141,14693,5876,8817,16702
150136,Ball State University,2018,63,16160,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-85.409043,40.203431,NA,21795,1684,357,14064,7731,6493,9576,1327,199,868,5151,7527,17023,14828,6027,8801,16069
150136,Ball State University,2017,62,17004,IN,18,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",5,-85.409043,40.203431,NA,22513,1739,344,14291,8222,6881,10123,1396,219,849,5415,7909,17546,15203,6211,8992,17004
