unit_id,institution_name,year,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_
106458,Arkansas State University-Main Campus,2019,53,NA
106458,Arkansas State University-Main Campus,2018,48,9350
106458,Arkansas State University-Main Campus,2017,48,9604
106458,Arkansas State University-Main Campus,2016,45,9839
106458,Arkansas State University-Main Campus,2015,40,9592
106458,Arkansas State University-Main Campus,2014,39,9857
106458,Arkansas State University-Main Campus,2013,37,10098
150136,Ball State University,2019,67,NA
150136,Ball State University,2018,63,16160
150136,Ball State University,2017,62,17004
150136,Ball State University,2016,58,17011
150136,Ball State University,2015,60,16602
150136,Ball State University,2014,59,16415
150136,Ball State University,2013,59,16901
110422,California Polytechnic State University-San Luis Obispo,2019,82,NA
110422,California Polytechnic State University-San Luis Obispo,2018,82,21098
110422,California Polytechnic State University-San Luis Obispo,2017,82,21351
110422,California Polytechnic State University-San Luis Obispo,2016,80,20426
110422,California Polytechnic State University-San Luis Obispo,2015,76,20049
110422,California Polytechnic State University-San Luis Obispo,2014,75,19246
110422,California Polytechnic State University-San Luis Obispo,2013,70,18739
110608,California State University-Northridge,2019,55,NA
110608,California State University-Northridge,2018,54,35051
110608,California State University-Northridge,2017,51,35839
110608,California State University-Northridge,2016,50,35756
110608,California State University-Northridge,2015,50,37188
110608,California State University-Northridge,2014,47,35616
110608,California State University-Northridge,2013,46,33771
217882,Clemson University,2019,84,NA
217882,Clemson University,2018,83,20160
217882,Clemson University,2017,82,19869
217882,Clemson University,2016,81,19096
217882,Clemson University,2015,81,18559
217882,Clemson University,2014,82,17260
217882,Clemson University,2013,83,17052
217819,College of Charleston,2019,66,NA
217819,College of Charleston,2018,71,9880
217819,College of Charleston,2017,69,9895
217819,College of Charleston,2016,69,10375
217819,College of Charleston,2015,68,10468
217819,College of Charleston,2014,67,10440
217819,College of Charleston,2013,64,10488
198464,East Carolina University,2019,66,NA
198464,East Carolina University,2018,65,23071
198464,East Carolina University,2017,62,23265
198464,East Carolina University,2016,61,22969
198464,East Carolina University,2015,62,23039
198464,East Carolina University,2014,59,22252
198464,East Carolina University,2013,56,21508
139658,Emory University,2019,90,NA
139658,Emory University,2018,90,7086
139658,Emory University,2017,91,6937
139658,Emory University,2016,91,6861
139658,Emory University,2015,89,6867
139658,Emory University,2014,89,6880
139658,Emory University,2013,90,7836
133669,Florida Atlantic University,2019,50,NA
133669,Florida Atlantic University,2018,52,24591
133669,Florida Atlantic University,2017,51,25017
133669,Florida Atlantic University,2016,50,25396
133669,Florida Atlantic University,2015,49,25471
133669,Florida Atlantic University,2014,46,25490
133669,Florida Atlantic University,2013,41,25793
133951,Florida International University,2019,63,NA
133951,Florida International University,2018,58,48818
133951,Florida International University,2017,57,47629
133951,Florida International University,2016,56,45856
133951,Florida International University,2015,58,41032
133951,Florida International University,2014,54,41009
133951,Florida International University,2013,52,39142
134097,Florida State University,2019,83,NA
134097,Florida State University,2018,83,32472
134097,Florida State University,2017,80,33008
134097,Florida State University,2016,80,32933
134097,Florida State University,2015,79,32706
134097,Florida State University,2014,79,32948
134097,Florida State University,2013,77,32528
151351,Indiana University-Bloomington,2019,79,NA
151351,Indiana University-Bloomington,2018,78,33301
151351,Indiana University-Bloomington,2017,77,33429
151351,Indiana University-Bloomington,2016,76,39184
151351,Indiana University-Bloomington,2015,77,38364
151351,Indiana University-Bloomington,2014,78,36419
151351,Indiana University-Bloomington,2013,77,36862
159391,Louisiana State University and Agricultural & Mechanical College,2019,68,NA
159391,Louisiana State University and Agricultural & Mechanical College,2018,67,25233
159391,Louisiana State University and Agricultural & Mechanical College,2017,67,25444
159391,Louisiana State University and Agricultural & Mechanical College,2016,68,26118
159391,Louisiana State University and Agricultural & Mechanical College,2015,67,26156
159391,Louisiana State University and Agricultural & Mechanical College,2014,67,25572
159391,Louisiana State University and Agricultural & Mechanical College,2013,69,24923
237525,Marshall University,2019,49,NA
237525,Marshall University,2018,46,9593
237525,Marshall University,2017,49,9489
237525,Marshall University,2016,45,9615
237525,Marshall University,2015,45,9518
237525,Marshall University,2014,44,9536
237525,Marshall University,2013,44,9756
204024,Miami University-Oxford,2019,81,NA
204024,Miami University-Oxford,2018,80,17327
204024,Miami University-Oxford,2017,79,17147
204024,Miami University-Oxford,2016,78,16981
204024,Miami University-Oxford,2015,80,16387
204024,Miami University-Oxford,2014,79,15813
204024,Miami University-Oxford,2013,81,15462
185572,Monmouth University,2019,73,NA
185572,Monmouth University,2018,69,4630
185572,Monmouth University,2017,70,4706
185572,Monmouth University,2016,70,4707
185572,Monmouth University,2015,67,4693
185572,Monmouth University,2014,67,4634
185572,Monmouth University,2013,61,4607
157401,Murray State University,2019,55,NA
157401,Murray State University,2018,55,8142
157401,Murray State University,2017,49,8636
157401,Murray State University,2016,49,8886
157401,Murray State University,2015,49,9268
157401,Murray State University,2014,52,9444
157401,Murray State University,2013,53,9172
199193,North Carolina State University at Raleigh,2019,82,NA
199193,North Carolina State University at Raleigh,2018,81,25199
199193,North Carolina State University at Raleigh,2017,79,24150
199193,North Carolina State University at Raleigh,2016,77,23827
199193,North Carolina State University at Raleigh,2015,75,24111
199193,North Carolina State University at Raleigh,2014,75,24473
199193,North Carolina State University at Raleigh,2013,74,24536
147767,Northwestern University,2019,94,NA
147767,Northwestern University,2018,95,8642
147767,Northwestern University,2017,94,8700
147767,Northwestern University,2016,94,8791
147767,Northwestern University,2015,93,8839
147767,Northwestern University,2014,93,9048
147767,Northwestern University,2013,94,9283
204796,Ohio State University-Main Campus,2019,86,NA
204796,Ohio State University-Main Campus,2018,84,46820
204796,Ohio State University-Main Campus,2017,83,45946
204796,Ohio State University-Main Campus,2016,84,45831
204796,Ohio State University-Main Campus,2015,83,45289
204796,Ohio State University-Main Campus,2014,83,44741
204796,Ohio State University-Main Campus,2013,83,44201
204857,Ohio University-Main Campus,2019,65,NA
204857,Ohio University-Main Campus,2018,64,22309
204857,Ohio University-Main Campus,2017,64,23167
204857,Ohio University-Main Campus,2016,64,23585
204857,Ohio University-Main Campus,2015,67,23513
204857,Ohio University-Main Campus,2014,67,23571
