unit_id,institution_name,year,sat_math_75th_percentile_score_
106458,Arkansas State University-Main Campus,2019,610
106458,Arkansas State University-Main Campus,2018,608
106458,Arkansas State University-Main Campus,2017,625
106458,Arkansas State University-Main Campus,2016,620
106458,Arkansas State University-Main Campus,2015,540
106458,Arkansas State University-Main Campus,2014,560
106458,Arkansas State University-Main Campus,2013,548
150136,Ball State University,2019,NA
150136,Ball State University,2018,NA
150136,Ball State University,2017,610
150136,Ball State University,2016,580
150136,Ball State University,2015,590
150136,Ball State University,2014,590
150136,Ball State University,2013,570
110422,California Polytechnic State University-San Luis Obispo,2019,740
110422,California Polytechnic State University-San Luis Obispo,2018,730
110422,California Polytechnic State University-San Luis Obispo,2017,700
110422,California Polytechnic State University-San Luis Obispo,2016,700
110422,California Polytechnic State University-San Luis Obispo,2015,690
110422,California Polytechnic State University-San Luis Obispo,2014,680
110422,California Polytechnic State University-San Luis Obispo,2013,690
110608,California State University-Northridge,2019,560
110608,California State University-Northridge,2018,560
110608,California State University-Northridge,2017,550
110608,California State University-Northridge,2016,520
110608,California State University-Northridge,2015,510
110608,California State University-Northridge,2014,520
110608,California State University-Northridge,2013,530
217882,Clemson University,2019,710
217882,Clemson University,2018,710
217882,Clemson University,2017,700
217882,Clemson University,2016,680
217882,Clemson University,2015,690
217882,Clemson University,2014,680
217882,Clemson University,2013,680
217819,College of Charleston,2019,620
217819,College of Charleston,2018,610
217819,College of Charleston,2017,600
217819,College of Charleston,2016,590
217819,College of Charleston,2015,600
217819,College of Charleston,2014,610
217819,College of Charleston,2013,630
198464,East Carolina University,2019,590
198464,East Carolina University,2018,590
198464,East Carolina University,2017,590
198464,East Carolina University,2016,570
198464,East Carolina University,2015,570
198464,East Carolina University,2014,570
198464,East Carolina University,2013,570
139658,Emory University,2019,790
139658,Emory University,2018,790
139658,Emory University,2017,780
139658,Emory University,2016,770
139658,Emory University,2015,770
139658,Emory University,2014,750
139658,Emory University,2013,750
133669,Florida Atlantic University,2019,610
133669,Florida Atlantic University,2018,610
133669,Florida Atlantic University,2017,600
133669,Florida Atlantic University,2016,570
133669,Florida Atlantic University,2015,570
133669,Florida Atlantic University,2014,570
133669,Florida Atlantic University,2013,570
133951,Florida International University,2019,630
133951,Florida International University,2018,620
133951,Florida International University,2017,610
133951,Florida International University,2016,600
133951,Florida International University,2015,580
133951,Florida International University,2014,580
133951,Florida International University,2013,590
134097,Florida State University,2019,670
134097,Florida State University,2018,670
134097,Florida State University,2017,660
134097,Florida State University,2016,640
134097,Florida State University,2015,640
134097,Florida State University,2014,640
134097,Florida State University,2013,640
151351,Indiana University-Bloomington,2019,690
151351,Indiana University-Bloomington,2018,690
151351,Indiana University-Bloomington,2017,680
151351,Indiana University-Bloomington,2016,660
151351,Indiana University-Bloomington,2015,660
151351,Indiana University-Bloomington,2014,660
151351,Indiana University-Bloomington,2013,660
159391,Louisiana State University and Agricultural & Mechanical College,2019,660
159391,Louisiana State University and Agricultural & Mechanical College,2018,650
159391,Louisiana State University and Agricultural & Mechanical College,2017,650
159391,Louisiana State University and Agricultural & Mechanical College,2016,630
159391,Louisiana State University and Agricultural & Mechanical College,2015,640
159391,Louisiana State University and Agricultural & Mechanical College,2014,630
159391,Louisiana State University and Agricultural & Mechanical College,2013,630
237525,Marshall University,2019,560
237525,Marshall University,2018,550
237525,Marshall University,2017,560
