month,year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,closure_1,closure_1_end,closure_2,closure_2_end,university_enacted_1,university_enacted_2,reason1,reason2,unit_id,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91,total_students_all,total_black_all,total_asian_all,total_women_all,total_men_all,total_undergrad_men,total_undergrad_women,total_undergrad_black,total_undergrad_asian,total_undergrad_hispanic,total_undergrad_white_men,total_undergrad_white_women,total_white_all,ftime_total_undergrad,ftime_total_undergrad_men,ftime_total_undergrad_women,total_students_undergrad,date,closure_1_rounded,closure_2_rounded,closure_1_end_rounded,closure_2_end_rounded,treatment_1,treatment_2,treatment_plus_1,treatment_plus_2,treatment_plus_3,treatment_plus_4,treatment_plus_5,treatment_plus_6,treatment_minus_1,treatment_minus_2,treatment_minus_3,treatment_minus_4,treatment_minus_5,treatment_minus_6
1,2014,Arkansas State University-Main Campus,0,12,0,8,2,12,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-01-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
2,2014,Arkansas State University-Main Campus,0,27,4,18,9,27,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-02-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
3,2014,Arkansas State University-Main Campus,0,20,5,7,2,20,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-03-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
4,2014,Arkansas State University-Main Campus,0,31,12,14,4,31,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-04-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
5,2014,Arkansas State University-Main Campus,1,8,4,9,5,8,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-05-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
6,2014,Arkansas State University-Main Campus,0,7,2,4,5,7,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-06-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
7,2014,Arkansas State University-Main Campus,0,15,1,1,4,15,1,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-07-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
8,2014,Arkansas State University-Main Campus,2,30,2,15,4,30,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-08-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
9,2014,Arkansas State University-Main Campus,0,30,5,10,6,30,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-09-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
10,2014,Arkansas State University-Main Campus,1,22,9,12,4,22,0,2017-02-21T00:00:00Z,2017-04-01,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857,2014-10-01,2017-02-01T00:00:00Z,NA,2017-04-01,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,1
