year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,rape,unit_id,control_of_institution,level_of_institution,total_price_oncampus_oos,total_price_oncampus_is,total_price_oncampus_id,total_price_offcampus_id,total_price_offcampus_is,total_price_offcampus_oos,total_price_offcampus_id_wfam,total_price_offcampus_is_wfam,total_price_offcampus_oos_wfam,frac_admitted_total,fulltime_retention_rate,undergraduate_enrollment,fulltime_undergraduate_enrollment,frac_total_black,frac_total_hispanic_latino,frac_total_asian,frac_total_white,frac_undergrad_asian,frac_undergrad_white,frac_undergrad_hispanic_latino,frac_undergrad_black,frac_ftime_undergrad_instate,frac_ftime_undergrad_outofstate,frac_ftime_undergrad_foreign_countries,total_enrollment,fulltime_enrollment,graduation_rate_total_cohort,frac_ftime_undergrad_award_any_financial_aid,frac_ftime_undergrad_award_student_loans,frac_core_revenues_tuition_fees,frac_core_revenues_state_apro,frac_core_revenues_local_apro,frac_core_revenues_gov_contracts,frac_core_revenues_priv_gifts_grants,frac_core_revenues_invest_return,frac_core_revenues_other,endowment_assests,state_abbreviation,degreegranting_status,longitude,latitude,calendar_system,sat_math_25,sat_math_75,sat_reading_75,sat_reading_25,student_to_faculty_ratio,sector_desc,sector_cd,noncampus_weapon,noncampus_drug,noncampus_liquor,oncampus_weapon,oncampus_drug,oncampus_liquor,publicproperty_weapon,publicproperty_drug,publicproperty_liquor,reported_weapon,reported_drug,reported_liquor,residencehall_weapon,residencehall_drug,residencehall_liquor,noncampus_murd,noncampus_neg_m,noncampus_rape,noncampus_fondl,noncampus_inces,noncampus_statr,noncampus_robbe,noncampus_agg_a,noncampus_burgla,noncampus_vehic,noncampus_arson,oncampus_murd,oncampus_neg_m,oncampus_rape,oncampus_fondl,oncampus_inces,oncampus_statr,oncampus_robbe,oncampus_agg_a,oncampus_burgla,oncampus_vehic,oncampus_arson,publicproperty_murd,publicproperty_neg_m,publicproperty_rape,publicproperty_fondl,publicproperty_inces,publicproperty_statr,publicproperty_robbe,publicproperty_agg_a,publicproperty_burgla,publicproperty_vehic,publicproperty_arson,reported_murd,reported_neg_m,reported_rape,reported_fondl,reported_inces,reported_statr,reported_robbe,reported_agg_a,reported_burgla,reported_vehic,reported_arson,residencehall_murd,residencehall_neg_m,residencehall_rape,residencehall_fondl,residencehall_inces,residencehall_statr,residencehall_robbe,residencehall_agg_a,residencehall_burgla,residencehall_vehic,residencehall_arson,reason1,reason2,reason3,university_enacted_1,university_enacted_2,clery_sexual_assault,clery_alcohol,clery_drug,clery_robbery,clery_offcampus_sexual_assault,clery_oncampus_sexual_assault,clery_oncampus_drug,clery_oncampus_liquor,residencehall_sexual_assault,clery_sexual_assault_per_25k,clery_alcohol_per_25k,clery_drug_per_25k,clery_robbery_per_25k,clery_offcampus_sexual_assault_per_25k,clery_oncampus_sexual_assault_per_25k,clery_oncampus_drug_per_25k,clery_oncampus_liquor_per_25k,residencehall_sexual_assault_per_25k,residencehall_drug_per_25k,residencehall_liquor_per_25k,sexual_assault_per_25k,alcohol_offense_per_25k,robbery_burglary_per_25k,drug_offense_per_25k,noncampus_liquor_per_25k,noncampus_drug_per_25k,noncampus_rape_per_25k
2014,Albany State University,NA,NA,NA,NA,NA,NA,NA,0,NA,138716,Public,4-year,29048,19044,19044,21288,21288,31292,10726,10726,20730,0.47,69,3316,2780,0.88,0.01,0,0.07,0,0.05,0.01,0.9,0.97,0.03,0,3910,2988,40,0.97,0.88,0.26,0.32,0,0.39,0.01,0,0.02,506,GA,1,-84.14306,31.571395,Semester,400,460,480,420,16,"Public, 4-year or above",1,0,0,0,2,33,14,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,4,0,0,NA,NA,NA,NA,NA,2,14,33,1,0,2,33,14,2,12.78772378516624,89.5140664961637,210.99744245524298,6.39386189258312,0,12.78772378516624,210.99744245524298,89.5140664961637,12.78772378516624,0,38.36317135549872,NA,NA,NA,NA,0,0,0
2015,Albany State University,NA,NA,NA,NA,NA,NA,NA,0,NA,138716,Public,4-year,29736,19488,19488,21404,21404,31652,11156,11156,21404,0.64,78,2991,2554,0.89,0.02,0,0.06,0,0.05,0.02,0.9,0.94,0.06,0,3492,2745,31,0.91,0.75,0.28,0.34,0,0.37,0,0,0.01,537,GA,1,-84.14306,31.571395,Semester,410,470,480,430,18,"Public, 4-year or above",1,0,0,0,0,26,44,0,0,0,0,0,0,0,26,44,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,2,1,0,0,0,2,0,0,0,2,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,2,0,0,NA,NA,NA,NA,NA,7,44,26,3,2,5,26,44,5,50.11454753722794,315.0057273768614,186.13974799541808,21.477663230240548,14.3184421534937,35.79610538373425,186.13974799541808,315.0057273768614,35.79610538373425,186.13974799541808,315.0057273768614,NA,NA,NA,NA,0,0,0
2016,Albany State University,NA,NA,NA,NA,NA,NA,NA,0,NA,138716,Public,4-year,27646,17398,17398,21270,21270,31518,10648,10648,20896,0.5,67,2594,2194,0.89,0.02,0,0.06,0,0.05,0.02,0.9,0.88,0.12,0,3041,2409,31,0.92,0.75,0.25,0.37,0,0.37,0,0,0.01,596,GA,1,-84.141825,31.56928,Semester,410,488,488,430,19,"Public, 4-year or above",1,2,0,0,1,4,11,0,0,0,0,0,0,1,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,0,0,NA,NA,NA,NA,NA,5,11,4,0,0,5,4,11,4,41.104899704044726,90.43077934889838,32.88391976323578,0,0,41.104899704044726,32.88391976323578,90.43077934889838,32.88391976323578,32.88391976323578,65.76783952647156,NA,NA,NA,NA,0,0,0
2017,Albany State University,5,3,25,45,6,3,3,0,0,138716,Public,4-year,29530,19069,19069,21395,21395,31856,10955,10955,21416,NA,71,6262,3927,0.7,0.02,0.01,0.22,0.01,0.23,0.02,0.69,0.93,0.07,0,6615,4093,22,0.94,0.85,0.24,0.39,0,0.3,0.04,0,0.02,431,GA,1,-84.141825,31.56928,Semester,NA,NA,NA,NA,17,"Public, 4-year or above",1,0,0,0,0,25,35,0,0,0,0,0,0,0,24,32,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,16,0,0,NA,NA,NA,NA,NA,5,35,25,0,0,5,25,35,5,18.89644746787604,132.27513227513228,94.4822373393802,0,0,18.89644746787604,94.4822373393802,132.27513227513228,18.89644746787604,90.702947845805,120.93726379440665,18.89644746787604,11.337868480725625,22.67573696145125,94.4822373393802,0,0,0
2018,Albany State University,4,8,38,35,2,8,0,0,1,138716,Public,4-year,29594,19133,19133,21975,21975,32436,11175,11175,21636,0.9,62,6001,4190,0.72,0.04,0.01,0.16,0.01,0.16,0.05,0.72,0.93,0.07,0,6371,4367,19,0.96,0.83,0.16,0.32,0,0.25,0.04,0,0.23,438,GA,1,-84.141825,31.56928,Semester,370,440,460,380,18,"Public, 4-year or above",1,0,0,0,3,52,38,0,1,0,0,0,0,3,52,38,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,7,0,0,NA,NA,NA,NA,NA,6,38,53,1,0,6,52,38,6,23.54418458640716,149.11316904724532,207.97363051326323,3.9240307644011927,0,23.54418458640716,204.04959974886202,149.11316904724532,23.54418458640716,204.04959974886202,149.11316904724532,15.69612305760477,31.39224611520954,7.848061528802385,149.11316904724532,0,0,0
2019,Albany State University,5,4,17,34,2,4,1,0,2,138716,Public,4-year,30356,19634,19634,22684,22684,33406,11544,11544,22266,0.66,61,5778,4109,0.74,0.05,0.01,0.14,0,0.13,0.05,0.74,0.92,0.08,0,6122,4275,23,NA,NA,0.21,0.37,0,0.36,0.02,0,0.04,600,NA,NA,-84.141825,31.56928,Semester,360,430,460,380,19,"Public, 4-year or above",1,0,0,0,0,34,23,0,0,0,0,0,0,0,33,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,2,23,34,3,0,2,34,23,1,8.167265599477295,93.9235543939889,138.843515191114,12.250898399215941,0,8.167265599477295,138.843515191114,93.9235543939889,4.0836327997386475,134.75988239137536,93.9235543939889,20.418163998693238,16.33453119895459,8.167265599477295,69.421757595557,0,0,0
2014,Arkansas State University-Main Campus,4,128,53,105,54,128,7,0,1,106458,Public,4-year,26854,21094,21094,30604,30604,36364,13344,13344,19104,0.72,75,9857,7465,0.14,0.02,0.01,0.74,0.01,0.75,0.02,0.14,0.86,0.1,0.04,13144,8126,39,0.95,0.54,0.24,0.35,0,0.28,0.01,0.01,0.11,3772,AR,1,-90.680478,35.842779,Semester,480,560,500,420,17,"Public, 4-year or above",1,0,0,0,0,31,109,0,0,7,0,0,0,0,20,87,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,3,0,0,sexual assault,NA,NA,1,NA,3,116,31,0,0,3,31,109,3,5.7060255629945225,220.6329884357882,58.96226415094339,0,0,5.7060255629945225,58.96226415094339,207.318928788801,5.7060255629945225,38.04017041996348,165.47474132684115,7.608034083992696,243.45709068776628,102.70846013390138,100.80645161290322,0,0,0
2015,Arkansas State University-Main Campus,5,114,75,105,70,114,25,0,3,106458,Public,4-year,28103,22103,22103,22792,22792,28792,13963,13963,19963,0.7,76,9592,7295,0.13,0.02,0.01,0.75,0.01,0.75,0.03,0.13,0.84,0.11,0.06,13410,8031,40,0.94,0.52,0.24,0.35,0,0.28,0.01,0,0.12,4492,AR,1,-90.680478,35.842779,Semester,470,540,540,400,17,"Public, 4-year or above",1,0,0,0,1,40,132,0,3,7,0,0,0,0,15,115,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,sexual assault,NA,NA,1,NA,2,139,43,2,0,2,40,132,1,3.7285607755406414,259.13497390007456,80.16405667412378,3.7285607755406414,0,3.7285607755406414,74.57121551081282,246.08501118568233,1.8642803877703207,27.96420581655481,214.3922445935869,9.321401938851603,212.52796420581657,130.49962714392245,139.82102908277406,0,0,0
2016,Arkansas State University-Main Campus,8,148,80,124,72,148,19,0,4,106458,Public,4-year,28068,22008,22008,23449,23449,29509,14539,14539,20599,0.7,75,9839,7305,0.13,0.02,0.01,0.74,0.01,0.75,0.03,0.13,0.8,0.12,0.08,14085,8061,45,0.92,0.57,0.25,0.34,0,0.28,0.01,0,0.12,4345,AR,1,-90.679988,35.842388,Semester,500,620,585,433,18,"Public, 4-year or above",1,0,0,0,0,15,116,0,0,2,0,0,0,0,8,72,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,sexual assault,NA,NA,1,NA,7,118,15,0,0,7,15,116,7,12.424565140220091,209.44266950656728,26.624068157614484,0,0,12.424565140220091,26.624068157614484,205.89279375221867,12.424565140220091,14.199503017394392,127.79552715654953,14.199503017394392,262.69080582179623,127.79552715654953,141.99503017394392,0,0,0
2017,Arkansas State University-Main Campus,7,141,82,58,60,141,12,0.10684931506849316,2,106458,Public,4-year,28786,22486,22486,23817,23817,30117,14817,14817,21117,0.66,73,9604,6894,0.13,0.03,0.01,0.75,0.01,0.76,0.03,0.13,0.82,0.16,0.02,13930,7597,48,0.97,0.57,0.27,0.36,0,0.29,0.02,0.01,0.05,5018,AR,1,-90.679988,35.842388,Semester,508,625,605,508,17,"Public, 4-year or above",1,0,0,0,1,32,119,0,3,2,0,0,0,0,22,78,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,9,0,1,sexual assault,NA,NA,1,NA,6,121,35,0,1,5,32,119,5,10.768126346015793,217.15721464465182,62.814070351758794,0,1.7946877243359656,8.973438621679827,57.4300071787509,213.5678391959799,8.973438621679827,39.48312993539124,139.98564249820532,12.56281407035176,253.05096913137115,107.68126346015794,147.16439339554918,0,0,1.7946877243359656
