month,year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,closure_1,closure_1_end,closure_2,closure_2_end,university_enacted_1,university_enacted_2,reason1,reason2,unit_id,graduation_rate_total_cohort_,total_number_of_undergraduates_financial_aid_cohort_,state_abbreviation,fips_state_code,sector_of_institution,level_of_institution,control_of_institution,degree_granting_status,postsecondary_and_title_iv_institution_indicator,institutional_category,institution_size_category,longitude,latitude,x91,total_students_all,total_black_all,total_asian_all,total_women_all,total_men_all,total_undergrad_men,total_undergrad_women,total_undergrad_black,total_undergrad_asian,total_undergrad_hispanic,total_undergrad_white_men,total_undergrad_white_women,total_white_all,ftime_total_undergrad,ftime_total_undergrad_men,ftime_total_undergrad_women,total_students_undergrad
1,2014,Arkansas State University-Main Campus,0,9,0,0,0,9,0,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
2,2014,Arkansas State University-Main Campus,0,15,4,6,4,14,1,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
3,2014,Arkansas State University-Main Campus,0,12,0,1,1,12,1,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
4,2014,Arkansas State University-Main Campus,0,15,3,1,3,15,1,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
5,2014,Arkansas State University-Main Campus,1,4,2,6,4,4,1,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
6,2014,Arkansas State University-Main Campus,0,4,0,1,4,4,0,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
7,2014,Arkansas State University-Main Campus,0,7,0,1,1,7,0,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
8,2014,Arkansas State University-Main Campus,2,16,2,4,2,16,0,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
9,2014,Arkansas State University-Main Campus,0,12,3,2,4,12,0,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
10,2014,Arkansas State University-Main Campus,0,10,5,3,2,10,0,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
11,2014,Arkansas State University-Main Campus,0,15,4,4,4,15,1,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
12,2014,Arkansas State University-Main Campus,0,4,3,1,2,3,0,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,39,9857,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13144,1834,102,7797,5347,4208,5649,1364,76,229,3088,4273,9744,7465,3275,4190,9857
1,2015,Arkansas State University-Main Campus,1,9,7,3,3,8,2,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592
2,2015,Arkansas State University-Main Campus,0,6,5,3,1,6,0,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592
3,2015,Arkansas State University-Main Campus,0,4,3,0,2,3,0,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592
4,2015,Arkansas State University-Main Campus,0,13,4,1,6,12,1,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592
5,2015,Arkansas State University-Main Campus,1,2,1,2,1,2,0,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592
6,2015,Arkansas State University-Main Campus,0,4,1,4,1,4,1,0,2017-02-21T00:00:00Z,2017-04-01T00:00:00Z,NA,NA,1,NA,sexual assault,NA,106458,40,9592,AR,5,1,4-year,Public,1,1,"Degree-granting, primarily baccalaureate or above",4,-90.680478,35.842779,NA,13410,1788,111,7964,5446,4112,5480,1272,77,246,3020,4177,9996,7295,3193,4102,9592
