year,university,sexual_assault,alcohol_offense,drug_offense,theft,robbery_burglary,alcohol_offense_strict,noise_offense,treatment,rape,unit_id,control_of_institution,level_of_institution,total_price_oncampus_oos,total_price_oncampus_is,total_price_oncampus_id,total_price_offcampus_id,total_price_offcampus_is,total_price_offcampus_oos,total_price_offcampus_id_wfam,total_price_offcampus_is_wfam,total_price_offcampus_oos_wfam,frac_admitted_total,fulltime_retention_rate,undergraduate_enrollment,fulltime_undergraduate_enrollment,frac_total_black,frac_total_hispanic_latino,frac_total_asian,frac_total_white,frac_undergrad_asian,frac_undergrad_white,frac_undergrad_hispanic_latino,frac_undergrad_black,frac_ftime_undergrad_instate,frac_ftime_undergrad_outofstate,frac_ftime_undergrad_foreign_countries,total_enrollment,fulltime_enrollment,graduation_rate_total_cohort,frac_ftime_undergrad_award_any_financial_aid,frac_ftime_undergrad_award_student_loans,frac_core_revenues_tuition_fees,frac_core_revenues_state_apro,frac_core_revenues_local_apro,frac_core_revenues_gov_contracts,frac_core_revenues_priv_gifts_grants,frac_core_revenues_invest_return,frac_core_revenues_other,endowment_assests,state_abbreviation,degreegranting_status,longitude,latitude,calendar_system,sat_math_25,sat_math_75,sat_reading_75,sat_reading_25,student_to_faculty_ratio
2014,Albany State University,NA,NA,NA,NA,NA,NA,NA,0,NA,138716,Public,4-year,29048,19044,19044,21288,21288,31292,10726,10726,20730,0.47,69,3316,2780,0.88,0.01,0,0.07,0,0.05,0.01,0.9,0.97,0.03,0,3910,2988,40,0.97,0.88,0.26,0.32,0,0.39,0.01,0,0.02,506,GA,1,-84.14306,31.571395,Semester,400,460,480,420,16
2015,Albany State University,NA,NA,NA,NA,NA,NA,NA,0,NA,138716,Public,4-year,29736,19488,19488,21404,21404,31652,11156,11156,21404,0.64,78,2991,2554,0.89,0.02,0,0.06,0,0.05,0.02,0.9,0.94,0.06,0,3492,2745,31,0.91,0.75,0.28,0.34,0,0.37,0,0,0.01,537,GA,1,-84.14306,31.571395,Semester,410,470,480,430,18
2016,Albany State University,NA,NA,NA,NA,NA,NA,NA,0,NA,138716,Public,4-year,27646,17398,17398,21270,21270,31518,10648,10648,20896,0.5,67,2594,2194,0.89,0.02,0,0.06,0,0.05,0.02,0.9,0.88,0.12,0,3041,2409,31,0.92,0.75,0.25,0.37,0,0.37,0,0,0.01,596,GA,1,-84.141825,31.56928,Semester,410,488,488,430,19
2017,Albany State University,5,3,25,45,6,3,3,0,0,138716,Public,4-year,29530,19069,19069,21395,21395,31856,10955,10955,21416,NA,71,6262,3927,0.7,0.02,0.01,0.22,0.01,0.23,0.02,0.69,0.93,0.07,0,6615,4093,22,0.94,0.85,0.24,0.39,0,0.3,0.04,0,0.02,431,GA,1,-84.141825,31.56928,Semester,NA,NA,NA,NA,17
2018,Albany State University,4,8,38,35,2,8,0,0,1,138716,Public,4-year,29594,19133,19133,21975,21975,32436,11175,11175,21636,0.9,62,6001,4190,0.72,0.04,0.01,0.16,0.01,0.16,0.05,0.72,0.93,0.07,0,6371,4367,19,0.96,0.83,0.16,0.32,0,0.25,0.04,0,0.23,438,GA,1,-84.141825,31.56928,Semester,370,440,460,380,18
2019,Albany State University,5,4,17,34,2,4,1,0,2,138716,Public,4-year,30356,19634,19634,22684,22684,33406,11544,11544,22266,0.66,61,5778,4109,0.74,0.05,0.01,0.14,0,0.13,0.05,0.74,0.92,0.08,0,6122,4275,23,NA,NA,0.21,0.37,0,0.36,0.02,0,0.04,600,NA,NA,-84.141825,31.56928,Semester,360,430,460,380,19
2014,Arkansas State University-Main Campus,4,128,53,105,54,128,7,0,1,106458,Public,4-year,26854,21094,21094,30604,30604,36364,13344,13344,19104,0.72,75,9857,7465,0.14,0.02,0.01,0.74,0.01,0.75,0.02,0.14,0.86,0.1,0.04,13144,8126,39,0.95,0.54,0.24,0.35,0,0.28,0.01,0.01,0.11,3772,AR,1,-90.680478,35.842779,Semester,480,560,500,420,17
2015,Arkansas State University-Main Campus,5,114,75,105,70,114,25,0,3,106458,Public,4-year,28103,22103,22103,22792,22792,28792,13963,13963,19963,0.7,76,9592,7295,0.13,0.02,0.01,0.75,0.01,0.75,0.03,0.13,0.84,0.11,0.06,13410,8031,40,0.94,0.52,0.24,0.35,0,0.28,0.01,0,0.12,4492,AR,1,-90.680478,35.842779,Semester,470,540,540,400,17
2016,Arkansas State University-Main Campus,8,148,80,124,72,148,19,0,4,106458,Public,4-year,28068,22008,22008,23449,23449,29509,14539,14539,20599,0.7,75,9839,7305,0.13,0.02,0.01,0.74,0.01,0.75,0.03,0.13,0.8,0.12,0.08,14085,8061,45,0.92,0.57,0.25,0.34,0,0.28,0.01,0,0.12,4345,AR,1,-90.679988,35.842388,Semester,500,620,585,433,18
2017,Arkansas State University-Main Campus,7,141,82,58,60,141,12,0.10684931506849316,2,106458,Public,4-year,28786,22486,22486,23817,23817,30117,14817,14817,21117,0.66,73,9604,6894,0.13,0.03,0.01,0.75,0.01,0.76,0.03,0.13,0.82,0.16,0.02,13930,7597,48,0.97,0.57,0.27,0.36,0,0.29,0.02,0.01,0.05,5018,AR,1,-90.679988,35.842388,Semester,508,625,605,508,17
