university,death_no_moratorium,death_w_or_wo_moratorium,only_top_fifty
Albany State University,0,0,1
SUNY at Albany,1,1,0
University of Arizona,0,0,1
Arkansas State University-Main Campus,0,0,1
Ball State University,0,0,1
University of California-Berkeley,0,0,1
University at Buffalo,0,0,1
California Polytechnic State University-San Luis Obispo,0,0,1
University of Central Florida,0,0,1
California State University-Chico,0,0,1
Clemson University,0,0,1
College of Charleston,0,0,1
Delaware State University,1,1,0
DePauw University,0,0,1
East Carolina University,0,0,1
Emory University,0,0,1
Ferrum College,1,1,0
Florida Atlantic University,0,0,1
Florida International University,0,0,1
Florida State University,0,0,1
Hampden-Sydney College,1,1,0
University of Idaho,0,0,1
Indiana University-Bloomington,0,0,1
University of Iowa,0,0,1
University of California-Irvine,1,1,0
James Madison University,0,0,1
University of Kansas,0,0,1
University of Kentucky,1,1,0
University of Louisiana at Lafayette,1,1,0
Louisiana State University and Agricultural & Mechanical College,0,0,1
Marshall University,0,0,1
Michigan State University,0,0,1
University of Michigan-Ann Arbor,0,0,1
University of Mississippi,0,0,1
University of Missouri-Columbia,0,0,1
Monmouth University,0,0,1
Murray State University,0,0,1
North Carolina State University at Raleigh,0,0,1
North Carolina Central University,0,0,1
University of Nebraska-Lincoln,1,1,0
University of Nevada-Reno,1,1,0
University of New Mexico-Main Campus,0,0,1
Ohio State University-Main Campus,0,0,1
Ohio University-Main Campus,0,0,1
University of Pittsburgh-Pittsburgh Campus,0,0,1
Prairie View A & M University,0,0,1
Rollins College,0,0,1
Rutgers University-New Brunswick,0,0,1
San Diego State University,0,0,1
University of South Carolina-Columbia,1,1,0
Southern Methodist University,0,0,1
Syracuse University,0,0,1
The University of Texas at Austin,1,1,0
Texas Christian University,1,1,0
Texas State University,0,0,1
Texas A & M University-College Station,1,1,0
Tufts University,0,0,1
University of Arkansas,0,0,1
University of California-Riverside,1,1,0
University of California-Santa Barbara,0,0,1
University of Delaware,0,0,1
University of Illinois Urbana-Champaign,0,0,1
University of Southern California,1,1,0
University of Vermont,0,0,1
University of Virginia-Main Campus,0,0,1
West Virginia University,0,0,1
University of Wisconsin-Madison,0,0,1
Washington State University,0,0,1
