Report Date,Report Time,Location,Offense Description,Earliest Date,Latest Date,Status,Incident
1/1/13 12:51,1/1/13 12:51,Campus Wide,Suspicious Person,1/1/13 12:51,1/1/13 12:51,Closed,13-00002
1/1/13 19:15,1/1/13 19:15,Campus Wide,PNG Issued on this person for the ASU Campus,1/1/13,1/1/13,Closed,13-00001
1/2/13 8:37,1/2/13 8:37,101 N Caraway Road,Burglary Alarm,1/2/13 7:59,1/2/13 8:00,Closed,13-00007
1/2/13 10:17,1/2/13 10:17,2105 Aggie Road,Sick or Injured person,1/2/13 9:54,1/2/13 9:55,Closed,13-00008
1/2/13 13:51,1/2/13 13:51,101 N Caraway Road,Sick or Injured person,1/2/13 11:38,1/2/13 12:00,Closed,13-00009
1/2/13 17:37,1/2/13 17:37,2617 Cherokee ST,DOMESTIC DISTURBANCE,1/2/13 17:15,1/2/13 17:30,Closed,13-00010
1/2/13 17:37,1/2/13 17:37,2617 Cherokee ST,University Referral - Disorderly Conduct,1/2/13 17:15,1/2/13 17:30,Closed,13-00010
1/3/13 14:32,1/3/13 14:32,1203 University Loop East,"THEFT $1,000 OR LESS - FROM VEHICLE",1/2/13 21:00,1/3/13 12:30,Closed,13-00011
1/3/13 18:16,1/3/13 18:16,315 University Loop West CRC,ACCIDENT-PARKING LOT,1/3/13 16:30,1/3/13 16:30,Closed,13-00012
1/4/13 4:55,1/4/13 4:55,Marion Berry Pkwy & Aggie Rd,CRIMINAL MISCHIEF - 2ND DEGREE / RECKLESSLY DESTROYS,1/4/13 0:01,1/4/13 0:39,Closed,13-00013
1/4/13 4:55,1/4/13 4:55,Marion Berry Pkwy & Aggie Rd,Leaving the Scene of an Accident,1/4/13 0:01,1/4/13 0:39,Closed,13-00013
1/4/13 9:19,1/4/13 9:19,2412 Quapaw Way Road,"THEFT $1,000 OR LESS - FROM BUILDING",12/18/12 8:00,1/3/13 8:00,Closed,13-00014
1/4/13 17:13,1/4/13 17:13,Aggie / Staidum,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE,1/4/13 15:26,1/4/13 17:27,Closed,13-00015
1/4/13 17:13,1/4/13 17:13,Aggie / Staidum,PASSING A STOPPED SCHOOL BUS,1/4/13 15:26,1/4/13 17:27,Closed,13-00015
1/5/13 11:20,1/5/13 11:20,115 Academic DR,UNLAWFUL BURNING,1/5/13 9:45,1/5/13 10:30,Closed,13-00016
1/6/13 0:35,1/6/13 0:35,,,1/6/13 0:35,1/6/13 0:35,Closed,13-00017
1/6/13 2:08,1/6/13 2:08,Aggie Rd. / Stadium Blvd.,DUI - UNDER AGE DUI LAW / MORE THAN .02% BUT LESS THAN .08%,1/5/13 23:40,1/6/13 1:12,Closed,13-00018
1/7/13 14:57,1/7/13 14:57,Aggie Road,DISORDERLY CONDUCT,1/7/13 13:38,1/7/13 14:30,Closed,13-00019
1/7/13 14:57,1/7/13 14:57,Aggie Road,No Proof of Liability Insurance,1/7/13 13:38,1/7/13 14:30,Closed,13-00019
1/8/13 9:14,1/8/13 9:14,315 University Loop West CRC,Suspicious Person,1/6/13 16:00,1/6/13 16:00,Closed,13-00020
1/8/13 18:27,1/8/13 18:27,2517 Danner  ST,"THEFT $1,000 OR LESS - ALL OTHERS",1/8/13 17:45,1/8/13 18:00,Closed,13-00022
1/8/13 22:01,1/8/13 22:01,2718 Iroquois ST,Welfare Concern,1/8/13 19:50,1/8/13 21:53,Closed,13-00023
1/9/13 0:34,1/9/13 0:34,2605 A ST,"BREAKING OR ENTERING / OTHER SIMILAR CONTAINER, APPARATUS, OR EQUIPMENT",1/9/13 0:25,1/9/13 0:35,Closed,13-00024
1/9/13 0:34,1/9/13 0:34,2605 A ST,"THEFT $5,000 OR LESS BUT GREATER THAN $1000 - ALL OTHERS",1/9/13 0:25,1/9/13 0:35,Closed,13-00024
1/9/13 0:34,1/9/13 0:34,2605 A ST,CARELESS AND PROHIBITED DRIVING,1/9/13 0:25,1/9/13 0:35,Closed,13-00024
1/9/13 13:35,1/9/13 13:35,2509 Aggie Road,Found Article/Property,12/14/12 12:00,12/14/12 13:35,Closed,13-00025
