date_reported,time_reported,incident,case_number,university,date_occurred,location,time_occurred
01/01/2014,10:43:08,Theft,2014-00000012519,Ball State University,NA,NA,NA
01/01/2014,20:12:58,Criminal Mischief,2014-000000261411,Ball State University,NA,NA,NA
01/07/2014,20:52:51,Drug Investigation,2014-000002531601,Ball State University,NA,NA,NA
01/09/2014,17:05:47,Drug Investigation,2014-000003891515,Ball State University,NA,NA,NA
01/10/2014,10:37:05,Criminal Mischief,2014-00000442200,Ball State University,NA,NA,NA
01/10/2014,17:14:17,Theft,2014-000004621700,Ball State University,NA,NA,NA
01/10/2014,21:13:07,Drug Investigation,2014-00000480304,Ball State University,NA,NA,NA
01/11/2014,01:36:38,Intoxicated Person,2014-000005001515,Ball State University,NA,NA,NA
01/11/2014,23:28:15,Theft,2014-000005471610,Ball State University,NA,NA,NA
01/12/2014,02:43:11,Theft,2014-000005721524,Ball State University,NA,NA,NA
01/12/2014,15:51:49,Theft,2014-00000591615,Ball State University,NA,NA,NA
01/13/2014,12:52:30,Theft,2014-00000617901,Ball State University,NA,NA,NA
01/13/2014,15:52:09,Theft,2014-000006251700,Ball State University,NA,NA,NA
01/14/2014,22:58:00,Intoxicated Person,2014-000007101600,Ball State University,NA,NA,NA
01/14/2014,22:58:00,Intoxicated Person,2014-000007101600,Ball State University,NA,NA,NA
01/15/2014,23:53:24,Drug Investigation,2014-000007771301,Ball State University,NA,NA,NA
01/16/2014,23:57:24,Intoxicated Person,2014-000008371301,Ball State University,NA,NA,NA
01/17/2014,01:05:35,Noise Complaint,2014-00000842920,Ball State University,NA,NA,NA
01/17/2014,08:47:46,Criminal Mischief,2014-00000856920,Ball State University,NA,NA,NA
01/17/2014,19:20:13,Drug Investigation,2014-000008891515,Ball State University,NA,NA,NA
01/18/2014,00:46:06,Intoxicated Person,2014-000008981010,Ball State University,NA,NA,NA
01/18/2014,13:24:43,Drug Investigation,2014-000009203015,Ball State University,NA,NA,NA
01/18/2014,18:42:13,Fight,2014-000009241017,Ball State University,NA,NA,NA
01/18/2014,18:42:13,Fight,2014-000009241017,Ball State University,NA,NA,NA
01/18/2014,18:42:13,Fight,2014-000009241017,Ball State University,NA,NA,NA
01/19/2014,02:32:42,Intoxicated Driver,2014-000009472200,Ball State University,NA,NA,NA
01/19/2014,02:32:42,Intoxicated Driver,2014-000009472200,Ball State University,NA,NA,NA
01/19/2014,03:45:57,Assault,2014-000009522401,Ball State University,NA,NA,NA
01/19/2014,03:45:57,Assault,2014-000009522401,Ball State University,NA,NA,NA
01/20/2014,04:35:27,Intoxicated Person,2014-000009761550,Ball State University,NA,NA,NA
01/20/2014,04:35:27,Intoxicated Person,2014-000009761550,Ball State University,NA,NA,NA
01/20/2014,04:35:27,Intoxicated Person,2014-000009761550,Ball State University,NA,NA,NA
01/21/2014,07:51:58,Theft,2014-000010051550,Ball State University,NA,NA,NA
01/21/2014,22:06:10,Disturbance Domestic,2014-000010391700,Ball State University,NA,NA,NA
01/24/2014,00:43:55,Drug Investigation,2014-000011641301,Ball State University,NA,NA,NA
01/24/2014,12:57:30,Criminal Mischief,2014-000011911675,Ball State University,NA,NA,NA
01/25/2014,02:10:58,Intoxicated Person,2014-000012361100,Ball State University,NA,NA,NA
01/25/2014,02:10:58,Intoxicated Person,2014-000012361100,Ball State University,NA,NA,NA
01/25/2014,02:25:30,Intoxicated Person,2014-000012371400,Ball State University,NA,NA,NA
01/25/2014,02:25:30,Intoxicated Person,2014-000012371400,Ball State University,NA,NA,NA
01/26/2014,00:05:33,Suspicious Activity,2014-00001275,Ball State University,NA,NA,NA
01/26/2014,00:05:33,Suspicious Activity,2014-00001275,Ball State University,NA,NA,NA
01/26/2014,02:07:05,Assist Other Agency,2014-00001279,Ball State University,NA,NA,NA
01/26/2014,02:07:05,Assist Other Agency,2014-00001279,Ball State University,NA,NA,NA
01/26/2014,02:07:05,Assist Other Agency,2014-00001279,Ball State University,NA,NA,NA
01/27/2014,16:42:06,Drug Investigation,2014-000013591515,Ball State University,NA,NA,NA
01/29/2014,18:32:58,Theft,2014-000014561515,Ball State University,NA,NA,NA
01/31/2014,23:19:57,Intoxicated Person,2014-000015951401,Ball State University,NA,NA,NA
02/01/2014,01:45:58,Intoxicated Person,2014-00001604,Ball State University,NA,NA,NA
02/01/2014,14:17:41,Theft,2014-00001626902,Ball State University,NA,NA,NA
02/01/2014,15:11:37,Theft,2014-000016271515,Ball State University,NA,NA,NA
02/04/2014,20:43:27,Harassment,2014-000017621301,Ball State University,NA,NA,NA
02/05/2014,20:11:30,Drug Investigation,2014-000018091515,Ball State University,NA,NA,NA
02/05/2014,21:39:14,Assault,2014-000018121401,Ball State University,NA,NA,NA
02/05/2014,21:39:14,Assault,2014-000018121401,Ball State University,NA,NA,NA
02/05/2014,21:39:14,Assault,2014-000018121401,Ball State University,NA,NA,NA
02/06/2014,09:02:00,Assault,2014-00001836409,Ball State University,NA,NA,NA
02/07/2014,13:13:35,Burglary,2014-000019302000,Ball State University,NA,NA,NA
02/07/2014,14:56:06,Theft,2014-000019421100,Ball State University,NA,NA,NA
02/08/2014,01:48:44,Intoxicated Person,2014-000019811515,Ball State University,NA,NA,NA
02/08/2014,02:14:15,Assist Other Agency,2014-00001986300,Ball State University,NA,NA,NA
02/09/2014,01:54:39,Intoxicated Person,2014-00002039,Ball State University,NA,NA,NA
02/09/2014,01:54:39,Intoxicated Person,2014-00002039,Ball State University,NA,NA,NA
02/09/2014,20:19:24,Theft,2014-000020723015,Ball State University,NA,NA,NA
02/11/2014,00:28:38,Threats,2014-000021303808,Ball State University,NA,NA,NA
02/11/2014,11:40:00,Identity Deception,2014-000021551708,Ball State University,NA,NA,NA
02/12/2014,08:26:07,Intimidation,2014-000022041100,Ball State University,NA,NA,NA
02/13/2014,15:19:04,Theft,2014-000022851700,Ball State University,NA,NA,NA
02/14/2014,03:01:51,Intoxicated Driver,2014-00002327409,Ball State University,NA,NA,NA
02/14/2014,03:01:51,Intoxicated Driver,2014-00002327409,Ball State University,NA,NA,NA
02/14/2014,03:01:51,Intoxicated Driver,2014-00002327409,Ball State University,NA,NA,NA
02/14/2014,11:47:48,Burglary,2014-000023451515,Ball State University,NA,NA,NA
02/14/2014,15:35:00,Sex Offense,2014-00002364401,Ball State University,NA,NA,NA
02/14/2014,22:26:03,Alcohol Violation,2014-000023821401,Ball State University,NA,NA,NA
02/15/2014,13:22:15,Theft,2014-000024051010,Ball State University,NA,NA,NA
02/16/2014,17:29:29,Criminal Mischief,2014-000024631025,Ball State University,NA,NA,NA
02/17/2014,03:06:41,Motor Vehicle Theft,2014-00002482704,Ball State University,NA,NA,NA
02/18/2014,22:12:25,Theft,2014-00002565830,Ball State University,NA,NA,NA
02/19/2014,07:47:53,Burglary,2014-000025761612,Ball State University,NA,NA,NA
02/20/2014,11:10:24,Theft,2014-000026381809,Ball State University,NA,NA,NA
02/21/2014,10:19:34,Drug Investigation,2014-00002695801,Ball State University,NA,NA,NA
02/22/2014,03:37:34,Theft,2014-000027641524,Ball State University,NA,NA,NA
02/22/2014,04:05:02,Intoxicated Person,2014-000027651401,Ball State University,NA,NA,NA
02/22/2014,23:07:33,Suspicious Activity,2014-000027942504,Ball State University,NA,NA,NA
02/23/2014,01:11:55,Assist Other Agency,2014-00002800,Ball State University,NA,NA,NA
02/23/2014,01:11:55,Assist Other Agency,2014-00002800,Ball State University,NA,NA,NA
02/23/2014,01:11:55,Assist Other Agency,2014-00002800,Ball State University,NA,NA,NA
02/23/2014,01:11:55,Assist Other Agency,2014-00002800,Ball State University,NA,NA,NA
02/23/2014,01:11:55,Assist Other Agency,2014-00002800,Ball State University,NA,NA,NA
02/23/2014,01:11:55,Assist Other Agency,2014-00002800,Ball State University,NA,NA,NA
02/23/2014,15:30:41,Criminal Mischief,2014-00002814108,Ball State University,NA,NA,NA
02/23/2014,17:35:35,Trespass,2014-000028201700,Ball State University,NA,NA,NA
02/23/2014,17:35:35,Trespass,2014-000028201700,Ball State University,NA,NA,NA
02/24/2014,16:59:43,Theft,2014-00002866901,Ball State University,NA,NA,NA
02/24/2014,18:53:12,Theft,2014-000028711515,Ball State University,NA,NA,NA
02/26/2014,13:25:27,Theft,2014-000029621101,Ball State University,NA,NA,NA
02/26/2014,16:00:27,Drug Investigation,2014-000029681401,Ball State University,NA,NA,NA
02/26/2014,21:48:49,Criminal Mischief,2014-00002977207,Ball State University,NA,NA,NA
02/28/2014,09:33:37,Counterfeit,2014-000030751101,Ball State University,NA,NA,NA
03/01/2014,00:40:48,Intoxicated Person,2014-000031081604,Ball State University,NA,NA,NA
03/01/2014,00:40:48,Intoxicated Person,2014-000031081604,Ball State University,NA,NA,NA
03/01/2014,01:33:10,Fight,2014-000031153751,Ball State University,NA,NA,NA
03/01/2014,16:46:23,Criminal Mischief,2014-00003154300,Ball State University,NA,NA,NA
03/02/2014,02:50:57,Dating Violence,2014-000031781515,Ball State University,NA,NA,NA
03/02/2014,03:57:50,Theft,2014-000031791515,Ball State University,NA,NA,NA
03/02/2014,04:00:27,Intoxicated Person,2014-000031811601,Ball State University,NA,NA,NA
03/02/2014,22:33:57,Criminal Mischief,2014-000032061100,Ball State University,NA,NA,NA
03/04/2014,11:03:52,Theft,2014-000032611810,Ball State University,NA,NA,NA
03/04/2014,11:03:52,Theft,2014-000032611810,Ball State University,NA,NA,NA
03/05/2014,12:16:44,Theft,2014-000033121810,Ball State University,NA,NA,NA
03/05/2014,16:25:44,Criminal Mischief,2014-000033231601,Ball State University,NA,NA,NA
03/05/2014,18:49:24,Sex Offense,2014-000033261600,Ball State University,NA,NA,NA
03/06/2014,15:06:57,Theft,2014-000033662001,Ball State University,NA,NA,NA
03/06/2014,19:06:44,Theft,2014-000033751101,Ball State University,NA,NA,NA
03/06/2014,20:07:32,Burglary,2014-00003379401,Ball State University,NA,NA,NA
03/08/2014,02:20:00,Fight,2014-00003465701,Ball State University,NA,NA,NA
03/08/2014,02:20:00,Fight,2014-00003465701,Ball State University,NA,NA,NA
03/08/2014,02:20:00,Fight,2014-00003465701,Ball State University,NA,NA,NA
03/08/2014,05:30:00,Intoxicated Driver,2014-000034702401,Ball State University,NA,NA,NA
03/08/2014,05:30:00,Intoxicated Driver,2014-000034702401,Ball State University,NA,NA,NA
03/08/2014,05:30:00,Intoxicated Driver,2014-000034702401,Ball State University,NA,NA,NA
03/08/2014,05:30:00,Intoxicated Driver,2014-000034702401,Ball State University,NA,NA,NA
03/08/2014,05:30:00,Intoxicated Driver,2014-000034702401,Ball State University,NA,NA,NA
03/13/2014,02:36:00,Suspicious Activity,2014-00003660,Ball State University,NA,NA,NA
03/13/2014,02:36:00,Suspicious Activity,2014-00003660,Ball State University,NA,NA,NA
03/13/2014,02:36:00,Suspicious Activity,2014-00003660,Ball State University,NA,NA,NA
03/13/2014,02:36:00,Suspicious Activity,2014-00003660,Ball State University,NA,NA,NA
03/17/2014,18:39:09,Identity Deception,2014-00003936200,Ball State University,NA,NA,NA
03/17/2014,18:39:09,Identity Deception,2014-00003936200,Ball State University,NA,NA,NA
03/18/2014,01:07:15,Assist Other Agency,2014-00003963,Ball State University,NA,NA,NA
03/18/2014,17:18:00,Sex Offense,2014-000040081515,Ball State University,NA,NA,NA
03/19/2014,12:46:52,Theft,2014-000040591100,Ball State University,NA,NA,NA
03/20/2014,14:20:39,Theft,2014-0000412110904,Ball State University,NA,NA,NA
03/21/2014,19:54:29,Intoxicated Person,2014-00004185,Ball State University,NA,NA,NA
03/21/2014,21:40:59,Intoxicated Person,2014-00004191,Ball State University,NA,NA,NA
03/22/2014,04:22:41,Intoxicated Person,2014-000042241524,Ball State University,NA,NA,NA
03/22/2014,04:22:41,Intoxicated Person,2014-000042241524,Ball State University,NA,NA,NA
03/22/2014,06:47:03,Intoxicated Person,2014-000042271400,Ball State University,NA,NA,NA
03/22/2014,06:47:03,Intoxicated Person,2014-000042271400,Ball State University,NA,NA,NA
03/23/2014,01:04:00,Noise Complaint,2014-00004263,Ball State University,NA,NA,NA
03/23/2014,01:04:00,Noise Complaint,2014-00004263,Ball State University,NA,NA,NA
03/23/2014,01:04:00,Noise Complaint,2014-00004263,Ball State University,NA,NA,NA
03/23/2014,01:04:00,Noise Complaint,2014-00004263,Ball State University,NA,NA,NA
03/24/2014,12:21:46,Theft,2014-000043331652,Ball State University,NA,NA,NA
03/24/2014,13:48:29,Theft,2014-000043401700,Ball State University,NA,NA,NA
03/24/2014,15:57:30,Fraud,2014-00004347200,Ball State University,NA,NA,NA
03/25/2014,10:47:43,Theft,2014-000043821100,Ball State University,NA,NA,NA
03/26/2014,16:24:59,Criminal Mischief,2014-000044371401,Ball State University,NA,NA,NA
03/26/2014,17:44:39,Sex Offense,2014-000044443716,Ball State University,NA,NA,NA
03/27/2014,01:28:20,Intoxicated Person,2014-000044681600,Ball State University,NA,NA,NA
03/27/2014,03:32:08,Assault,2014-000044733113,Ball State University,NA,NA,NA
03/27/2014,10:14:58,Theft,2014-000044801114,Ball State University,NA,NA,NA
03/27/2014,15:50:54,Harassment,2014-00004496200,Ball State University,NA,NA,NA
03/28/2014,08:09:19,Criminal Mischief,2014-000045262201,Ball State University,NA,NA,NA
03/28/2014,09:57:33,Theft,2014-000045333014,Ball State University,NA,NA,NA
03/28/2014,20:05:28,Drug Investigation,2014-000045521550,Ball State University,NA,NA,NA
03/28/2014,22:18:32,Drug Investigation,2014-000045541401,Ball State University,NA,NA,NA
03/28/2014,22:18:32,Drug Investigation,2014-000045541401,Ball State University,NA,NA,NA
03/29/2014,01:23:25,Assist Other Agency,2014-000045681000,Ball State University,NA,NA,NA
03/29/2014,01:40:58,Suspicious Activity,2014-000045711717,Ball State University,NA,NA,NA
03/29/2014,01:54:51,Noise Complaint,2014-000045722101,Ball State University,NA,NA,NA
03/29/2014,01:54:51,Noise Complaint,2014-000045722101,Ball State University,NA,NA,NA
03/29/2014,01:54:51,Noise Complaint,2014-000045722101,Ball State University,NA,NA,NA
03/29/2014,04:59:43,Burglary,2014-000045861710,Ball State University,NA,NA,NA
03/30/2014,03:54:16,Intoxicated Person,2014-000046311515,Ball State University,NA,NA,NA
03/30/2014,05:11:07,Suspicious Activity,2014-000046331401,Ball State University,NA,NA,NA
03/30/2014,05:11:07,Suspicious Activity,2014-000046331401,Ball State University,NA,NA,NA
03/30/2014,05:11:07,Suspicious Activity,2014-000046331401,Ball State University,NA,NA,NA
03/30/2014,15:05:42,Harassment,2014-000046401601,Ball State University,NA,NA,NA
03/30/2014,17:05:48,Harassment,2014-00004641200,Ball State University,NA,NA,NA
03/30/2014,21:17:35,Theft,2014-000046541700,Ball State University,NA,NA,NA
03/30/2014,23:59:00,Disturbance Domestic,2014-000046592317,Ball State University,NA,NA,NA
03/30/2014,23:59:00,Disturbance Domestic,2014-000046592317,Ball State University,NA,NA,NA
03/30/2014,23:59:00,Disturbance Domestic,2014-000046592317,Ball State University,NA,NA,NA
03/30/2014,23:59:00,Disturbance Domestic,2014-000046592317,Ball State University,NA,NA,NA
03/31/2014,15:54:06,Theft,2014-000046881524,Ball State University,NA,NA,NA
04/02/2014,00:20:28,Intoxicated Person,2014-000047921515,Ball State University,NA,NA,NA
04/02/2014,18:10:22,Theft,2014-000048383051,Ball State University,NA,NA,NA
04/03/2014,17:55:29,Threats,2014-000048942111,Ball State University,NA,NA,NA
