incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Traffic Stop            ,2015-00004318,03-19-2015,0:18,Ball State University,NA,NA,NA
Accident                ,2015-00004378,03-20-2015,1:21,Ball State University,NA,NA,NA
Theft                   ,2015-00004400,03-20-2015,0:17,Ball State University,NA,NA,NA
Intoxicated Person      ,2015-00004468,03-21-2015,7:37,Ball State University,NA,NA,NA
Flag                    ,2015-00004486,03-22-2015,2:56,Ball State University,NA,NA,NA
Narcotics               ,2015-00004496,03-22-2015,2:37,Ball State University,NA,NA,NA
Intoxicated Person      ,2015-00004498,03-22-2015,3:01,Ball State University,NA,NA,NA
Suspicious Person       ,2015-00004509,03-22-2015,0:32,Ball State University,NA,NA,NA
Speak to Officer        ,2015-00004575,03-23-2015,0:03,Ball State University,NA,NA,NA
Theft                   ,2015-00004586,03-23-2015,3:24,Ball State University,NA,NA,NA
Sexual Assault          ,2015-00004593,03-23-2015,5:08,Ball State University,NA,NA,NA
Shoplifting             ,2015-00004653,03-24-2015,3:01,Ball State University,NA,NA,NA
Harrassment             ,2015-00004664,03-24-2015,6:53,Ball State University,NA,NA,NA
Speak to Officer        ,2015-00004708,03-25-2015,1:17,Ball State University,NA,NA,NA
Speak to Officer        ,2015-00004771,03-26-2015,1:24,Ball State University,NA,NA,NA
Suspicious Activity     ,2015-00004875,03-28-2015,1:29,Ball State University,NA,NA,NA
Criminal Mischief       ,2015-00004898,03-28-2015,5:03,Ball State University,NA,NA,NA
Criminal Mischief       ,2015-00004909,03-28-2015,7:46,Ball State University,NA,NA,NA
Criminal Mischief       ,2015-00004910,03-28-2015,8:13,Ball State University,NA,NA,NA
Flag                    ,2015-00004916,03-28-2015,0:08,Ball State University,NA,NA,NA
Criminal Mischief       ,2015-00004930,03-29-2015,0:31,Ball State University,NA,NA,NA
Criminal Mischief       ,2015-00004933,03-29-2015,0:52,Ball State University,NA,NA,NA
Traffic Stop            ,2015-00004944,03-29-2015,4:00,Ball State University,NA,NA,NA
