DAILY CRIME LOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2018            to      01/02/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/18,2:20,,,,,ALL OTHER OFFENSES,,,,,,"DISTURBING
PEACE-ENTERTAINMENT",,,,,,,UNIVERSITY VILLAGE ALBANY,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,
1/1/18,3:25,,,,,PEDESTRIAN STOP,,,,,,SUSPECT STOP,,,,,,,MAX MARTINEZ,,,,,,,,,,,,,,,,,,,,,,,,FIELD IDENTIFICATION CARD,
1/1/18,3:39,,,,,TRAFFIC STOP,,,,,,TRAFFIC STOP,,,,,,,SHATTUCK/BANCROFT,,,,,,,,,,,,,,,,,,,,,,,,WARNING ISSUED,
1/1/18,9:32,,,,,VEHICLE CODE VIOLATION,,,,,,VEHICLE CODE VIOLATION,,,,,,,865 KINKEAD WAY,,,,,,,,,,,,,,,,,,,,,,,,CLOSED BY CITATION,
1/1/18,11:09,,,,,OUTSIDE ASSIST,,,,,,OUTSIDE ASSIST - BPD,,,,,,,SHATTUCK/ALLSTON,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,
1/1/18,13:38,,,,,SUSPICIOUS EVENT,,,,,,SUSPICIOUS CIRCUMSTANCE,,,,,,,EUCALYPTUS GROVE,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,
1/1/18,15:06,,,,,SUSPICIOUS EVENT,,,,,,SUSPICIOUS CIRCUMSTANCE,,,,,,,HAVILAND HALL,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,
1/1/18,15:10,,,,,PEDESTRIAN STOP,,,,,,PEDESTRIAN STOP,,,,,,,HEARST FIELD ANNEX,,,,,,,,,,,,,,,,,,,,,,,,WARNING ISSUED,
