DAILY CRIME LOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/01/2019             to       01/01/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time        Case #,,,,,,,Category,,Incident Description,,,,,,,,,,Location,,,Synopsis                                                                                               Disposition,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2019,0:07,,,,,,,,,,SHOT SPOTTER NOTIFICATION,,,,,,,,2176 KITTREDGE ST,,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,,,
1/1/2019,1:37,,,,,SUSPICIOUS EVENT,,,,,SUSPICIOUS VEHICLE,,,,,,,,WITTER FIELD LOT,,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,,,
1/1/2019,1:38,,,,,PEDESTRIAN STOP,,,,,SUSPECT STOP,,,,,,,,UNIV HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,,,
1/1/2019,2:38,,,,,TRAFFIC STOP,,,,,TRAFFIC STOP,,,,,,,,2500 BANCROFT,,,,,,,,,,,,,,,,,,,,,,,,,WARNING ISSUED,,,
1/1/2019,7:58,,19-00001,,,BURGLARY,,,,,BURGLARY -REPORT,,,,,,,,BIRGE HALL,,,,,,,"OCCD 12/21/2018-1/1/2019 UNK TIME
(MW-42-E) REPORTS BURGLARY VIA WINDOW SMASH TO SEVERAL ROOMS, BIRGE HALL.  UNKNOWN LOSS AT THIS TIME.",,,,,,,,,,,,,,,,,,UNDER INVESTIGATION,,,
1/1/2019,10:41,,,,,SUSPICIOUS EVENT,,,,,SUSPICIOUS PERSON,,,,,,,,530 KINKEAD,,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,,,
1/1/2019,11:12,,,,,VEHICLE CODE VIOLATION,,,,,VEHICLE CODE VIOLATION,,,,,,,,420 KULA GULF WAY,,,,,,,,,,,,,,,,,,,,,,,,,CLOSED BY CITATION,,,
1/1/2019,14:36,,,,,OUTSIDE ASSIST,,,,,OUTSIDE ASSIST - BPD,,,,,,,,DURANT ELLESWORTH,,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,,,
1/1/2019,14:47,,,,,SUSPICIOUS EVENT,,,,,SUSPICIOUS CIRCUMSTANCE,,,,,,,,LHS VISTA LOT,,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,,,
1/1/2019,15:27,,,,,TRAFFIC STOP,,,,,TRAFFIC STOP,,,,,,,,WEST CIR,,,,,,,,,,,,,,,,,,,,,,,,,WARNING ISSUED,,,
1/1/2019,17:43,,,,,PEDESTRIAN STOP,,,,,SUSPECT STOP,,,,,,,,GRINNELL PATH,,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,,,
1/1/2019,18:40,,,,,PEDESTRIAN STOP,,,,,SUSPECT STOP,,,,,,,,GIANNINI HALL,,,,,,,,,,,,,,,,,,,,,,,,,FIELD IDENTIFICATION CARD,,,
1/1/2019,20:59,,19-00002,,,PEDESTRIAN STOP,,,,,SUSPECT STOP,,,,,,,,PEOPLES PARK,,,,,,,"YOUNG, JOSHUA (MW-22-O) CITED FOR HAVING A DOG LOOSE, PEOPLES PARK",,,,,,,,,,,,,,,,,,CLOSED BY ARREST,,,
1/1/2019,20:59,,,,,MAINTENANCE ISSUE,,,,,"CAMPUS CONDITION
-SECURITY",,,,,,,,NORTH GATE,,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,,,
1/1/2019,22:18,,,,,LARCENY/THEFT,,,,,"AUTO BURGLARY
-REPORT",,,,,,,,STRUCTURE C,,,,,,,,,,,,,,,,,,,,,,,,,CLOSED,,,
Date/Time        Case #,,,,,,,Category,,Incident Description,,,,,,,,,,Location,,,Synopsis                                                                                               Disposition,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAILY CRIME LOG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2019             to       01/02/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date/Time        Case #,,,,,,,Category,,Incident Description,,,,,,,,,,Location,,,Synopsis                                                                                               Disposition,,,,,,,,,,,,,,,,,,,,,,,,,
