date_reported,time_reported,location,date_occurred,time_occurred,case_number,university,incident
2013-01-01,12:51,Campus Wide,2013-01-01,12:51,13-00002,Arkansas State University-Main Campus,Suspicious Person
2013-01-01,19:15,Campus Wide,2013-01-01,NA,13-00001,Arkansas State University-Main Campus,PNG Issued on this person for the ASU Campus
2013-01-02,08:37,101 N Caraway Road,2013-01-02,07:59,13-00007,Arkansas State University-Main Campus,Burglary Alarm
2013-01-02,10:17,2105 Aggie Road,2013-01-02,09:54,13-00008,Arkansas State University-Main Campus,Sick or Injured person
2013-01-02,13:51,101 N Caraway Road,2013-01-02,11:38,13-00009,Arkansas State University-Main Campus,Sick or Injured person
2013-01-02,17:37,2617 Cherokee ST,2013-01-02,17:15,13-00010,Arkansas State University-Main Campus,DOMESTIC DISTURBANCE University Referral - Disorderly Conduct
2013-01-03,14:32,1203 University Loop East,2013-01-02,21:00,13-00011,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM VEHICLE"
2013-01-03,18:16,315 University Loop West CRC,2013-01-03,16:30,13-00012,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2013-01-04,04:55,Marion Berry Pkwy & Aggie Rd,2013-01-04,00:01,13-00013,Arkansas State University-Main Campus,CRIMINAL MISCHIEF - 2ND DEGREE / RECKLESSLY DESTROYS Leaving the Scene of an Accident
2013-01-04,09:19,2412 Quapaw Way Road,2012-12-18,08:00,13-00014,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - FROM BUILDING"
2013-01-04,17:13,Aggie / Staidum,2013-01-04,15:26,13-00015,Arkansas State University-Main Campus,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE PASSING A STOPPED SCHOOL BUS
2013-01-05,11:20,115 Academic DR,2013-01-05,09:45,13-00016,Arkansas State University-Main Campus,UNLAWFUL BURNING
2013-01-06,00:35,NA,2013-01-06,00:35,13-00017,Arkansas State University-Main Campus,"NA"
2013-01-06,02:08,Aggie Rd. / Stadium Blvd.,2013-01-05,23:40,13-00018,Arkansas State University-Main Campus,DUI - UNDER AGE DUI LAW / MORE THAN .02% BUT LESS THAN .08%
2013-01-07,14:57,Aggie Road,2013-01-07,13:38,13-00019,Arkansas State University-Main Campus,DISORDERLY CONDUCT No Proof of Liability Insurance
2013-01-08,09:14,315 University Loop West CRC,2013-01-06,16:00,13-00020,Arkansas State University-Main Campus,Suspicious Person
2013-01-08,18:27,2517 Danner  ST,2013-01-08,17:45,13-00022,Arkansas State University-Main Campus,"THEFT $1,000 OR LESS - ALL OTHERS"
2013-01-08,22:01,2718 Iroquois ST,2013-01-08,19:50,13-00023,Arkansas State University-Main Campus,Welfare Concern
2013-01-09,00:34,2605 A ST,2013-01-09,00:25,13-00024,Arkansas State University-Main Campus,"BREAKING OR ENTERING / OTHER SIMILAR CONTAINER, APPARATUS, OR EQUIPMENT THEFT $5,000 OR LESS BUT GREATER THAN $1000 - ALL OTHERS CARELESS AND PROHIBITED DRIVING"
2013-01-09,13:35,2509 Aggie Road,2012-12-14,12:00,13-00025,Arkansas State University-Main Campus,Found Article/Property
2013-01-09,14:00,Marion Berry,2013-01-09,13:00,13-00026,Arkansas State University-Main Campus,DRIVING ON A SUSPENDED/CANCELLED/REVOKED LICENSE
2013-01-09,15:51,101 N Caraway Road,2013-01-07,08:00,13-00027,Arkansas State University-Main Campus,LOST ARTICLE/PROPERTY
2013-01-10,13:10,330 University Loop West,2013-01-10,12:35,13-00028,Arkansas State University-Main Campus,Fire Alarm
2013-01-10,21:35,330 University Loop West,2013-01-10,21:35,13-00029,Arkansas State University-Main Campus,Fire Alarm
2013-01-12,17:14,1115 University Loop East Building #4,2013-01-12,15:38,13-00030,Arkansas State University-Main Campus,ACCIDENT-PARKING LOT
2013-01-12,21:29,2407 Quapaw Way,2013-01-12,21:29,13-00031,Arkansas State University-Main Campus,Fire Alarm
2013-01-13,04:18,2509 Aggie Road,2013-01-13,02:10,13-00032,Arkansas State University-Main Campus,University Referral - Alcohol Violation
2013-01-14,13:46,Marion Berry Parkway,2013-01-14,07:00,13-00033,Arkansas State University-Main Campus,STOP SIGNS AND YIELD SIGNS TERRORISTIC THREATENING - 2ND DEGREE/THREATENS PROPERTY DAMAGE DISORDERLY CONDUCT DWI (UNLAWFUL ACT) PNG Issued on this person for the ASU Campus
2013-01-15,04:08,120 Dean  ST,2013-01-15,03:37,13-00034,Arkansas State University-Main Campus,Sick or Injured person
2013-01-15,19:40,1115 University Loop East Building #4,2013-01-15,19:00,13-00035,Arkansas State University-Main Campus,University Referral - Drug Violation
2013-01-16,12:58,Driver ST,2013-01-16,12:58,13-00036,Arkansas State University-Main Campus,Found Article/Property
2013-01-16,13:50,2604 Quapaw Way,2013-01-16,12:10,13-00037,Arkansas State University-Main Campus,The Arkansas Clean Air on Campus Act of 2009
2013-01-16,16:15,101 N Caraway Road,2013-01-16,13:05,13-00038,Arkansas State University-Main Campus,Sick or Injured person
2013-01-16,21:05,2730 Iroquois ST,2013-01-16,21:05,13-00039,Arkansas State University-Main Campus,Accident - Hit and Run
2013-01-17,02:03,Eldridge / Marion Berry Pkwy,2013-01-17,01:00,13-00040,Arkansas State University-Main Campus,POSSESSION OF DRUG PARAPHERNALIA - MISDEMEANOR University Referral - Drug Violation
2013-01-17,09:42,119 Dean ST,2013-01-17,09:22,13-00041,Arkansas State University-Main Campus,Fire Alarm
