date_reported,case_number,incident,location,date_occurred,time_occurred,time_reported,university
2014-01-01,14-00001,LIQUOR VIOLATIONS--MINOR IN POSS OF ALCOHOL,UPPER SPROUL PLAZA,2014-01-01,1:48,NA,University of California-Berkeley
2014-01-01,14-00002,DRUG VIOLATIONS--POSS LESS THAN 28.5GR,SIGNPOST-15,2014-01-01,19:52,NA,University of California-Berkeley
2014-01-01,14-00003,DRUG VIOLATIONS--POSS LESS THAN 28.5GR,SIGNPOST-15,2014-01-01,19:52,NA,University of California-Berkeley
2014-01-02,14-00004,FORGERY AND--FRAUDULENT USE OF CREDIT,HAAS BUSINESS SCHOOL,2013-12-28,0:00,NA,University of California-Berkeley
2014-01-02,14-00005,MISC. SERVICE--PROPERTY DAMAGE,UPPER SPROUL PLAZA,2014-01-02,11:30,NA,University of California-Berkeley
2014-01-02,14-00007,VANDALISM--MALICIOUS MISCHIEF - REPORT,CKC-1,2013-12-21,10:00,NA,University of California-Berkeley
2014-01-02,14-00008,MISC. SERVICE--LOST UC KEYS,HAAS BUSINESS SCHOOL,2014-01-02,12:00,NA,University of California-Berkeley
2014-01-02,14-00006,SUSPICIOUS EVENT--SUSPICIOUS CIRCUMSTANCE,UCPD,2013-12-17,0:00,NA,University of California-Berkeley
2014-01-02,14-00009,LARCENY/THEFT--PETTY THEFT - REPORT,REC SPRT FAC,2014-01-02,15:15,NA,University of California-Berkeley
2014-01-02,14-00010,DISORDERLY CONDUCT--DRUNK IN PUBLIC,2500 TELEGRAPH AV,2014-01-02,17:40,NA,University of California-Berkeley
2014-01-02,14-00011,MEDICAL EVENT--INJURY OR ILLNESS,HEARST GYM,2013-12-31,12:30,NA,University of California-Berkeley
2014-01-02,14-00012,MISC. SERVICE--SMOKE INVESTIGATION,DAVIS HALL,2014-01-02,20:48,NA,University of California-Berkeley
2014-01-02,14-00013,MEDICAL EVENT--INJURY OR ILLNESS,945 OHLONE AVE,2014-01-02,23:13,NA,University of California-Berkeley
2014-01-03,14-00014,ALL OTHER OFFENSES--EXCLUSION FROM CAMPUS,DWINELLE HALL,2014-01-03,4:00,NA,University of California-Berkeley
2014-01-03,14-00015,MEDICAL EVENT--INJURY OR ILLNESS,LBNL-71W,2014-01-03,7:36,NA,University of California-Berkeley
2014-01-03,14-00016,SUSPICIOUS EVENT--SUSPICIOUS CIRCUMSTANCE,360 HEARST MINING,2014-01-03,7:54,NA,University of California-Berkeley
2014-01-03,14-00017,MEDICAL EVENT--INJURY OR ILLNESS,MCLAUGHLIN HALL,2014-01-03,9:39,NA,University of California-Berkeley
2014-01-03,14-00018,LARCENY/THEFT--PETTY THEFT -REPORT,EVANS HALL,2014-01-02,9:30,NA,University of California-Berkeley
2014-01-03,14-00019,SUSPICIOUS EVENT--SUSPICIOUS PERSON,LBNL-6,2014-01-03,10:33,NA,University of California-Berkeley
2014-01-03,14-00020,MISC. SERVICE--CIVIL ADVICE,725 WARFIELD AVE,2014-01-02,20:15,NA,University of California-Berkeley
2014-01-03,14-00021,DRUG VIOLATIONS--POSS LESS THAN 28.5GR,BANCROFT FULTON,2014-01-03,16:10,NA,University of California-Berkeley
2014-01-03,14-00022,LARCENY/THEFT--GRAND THEFT -BIKE REPORT,WURSTER HALL,2014-01-03,15:00,NA,University of California-Berkeley
2014-01-03,14-00023,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,REC SPRT FAC,2014-01-03,16:30,NA,University of California-Berkeley
2014-01-03,14-00024,LARCENY/THEFT--PETTY THEFT -BIKE REPORT,HILDEBRAND HALL,2014-01-03,17:50,NA,University of California-Berkeley
2014-01-04,14-00025,DRUG VIOLATIONS--POSS LESS THAN 28.5GR,WEST CRESCENT,2014-01-04,14:07,NA,University of California-Berkeley
2014-01-04,14-00026,LARCENY/THEFT--AUTO BURGLARY -REPORT,LHS LOT,2014-01-04,13:00,NA,University of California-Berkeley
2014-01-05,14-00027,MISC. SERVICE--PROPERTY DAMAGE,LBNL-51,2014-01-05,8:04,NA,University of California-Berkeley
2014-01-05,14-00028,OUTSIDE ASSIST--OUTSIDE ASSIST -,GRIZZLY PEAK BLVD,2014-01-05,18:36,NA,University of California-Berkeley
2014-01-05,14-00029,DRUG VIOLATIONS--UNDER INFLU CONTROLLED,PEOPLES PARK,2014-01-05,22:14,NA,University of California-Berkeley
2014-01-05,14-00030,ALL OTHER OFFENSES--DISTURBING THE PEACE ON,PEOPLES PARK,2014-01-05,23:37,NA,University of California-Berkeley
2014-01-06,14-00031,ANIMAL CASE--ANIMAL CASE,OAKLEY,2013-12-30,9:30,NA,University of California-Berkeley
2014-01-06,14-00032,MISC. SERVICE--LOST UC KEYS,BERKELEY,2013-12-23,13:30,NA,University of California-Berkeley
2014-01-06,14-00033,MISC. SERVICE--SECURITY SWEEP,MOTCO,2013-12-30,7:30,NA,University of California-Berkeley
2014-01-06,14-00035,MEDICAL EVENT--INJURY OR ILLNESS,1995 UNIVERSITY AV,2014-01-06,13:18,NA,University of California-Berkeley
2014-01-06,14-00034,MISC. SERVICE--LOST UC KEYS,CONCORD,2013-08-01,9:00,NA,University of California-Berkeley
2014-01-06,14-00036,WELFARE CHECK--WELFARE CHECK,UVA-133,2014-01-06,14:54,NA,University of California-Berkeley
2014-01-06,14-00037,LARCENY/THEFT--PETTY THEFT -REPORT,HAAS PAVILION,2014-01-06,15:27,NA,University of California-Berkeley
2014-01-06,14-00038,ROBBERY--ROBBERY -IN PROGRESS,UPPER SPROUL PLAZA,2014-01-06,21:25,NA,University of California-Berkeley
2014-01-07,14-00040,MISC. SERVICE--PROPERTY DAMAGE,UNIVERSITY VILLAGE,2014-01-07,7:39,NA,University of California-Berkeley
2014-01-07,14-00039,MISC. SERVICE--CIVIL ADVICE,UCPD,2014-01-07,7:53,NA,University of California-Berkeley
2014-01-07,14-00041,MISC. SERVICE--PROPERTY DAMAGE,UNDERHILL LOT,2014-01-07,9:45,NA,University of California-Berkeley
2014-01-07,14-00042,MEDICAL EVENT--INJURY OR ILLNESS,LBNL-26,2014-01-07,11:03,NA,University of California-Berkeley
