case_number,date_reported,time_reported,date_occurred,time_occurred,location,university,incident
"0CA
2014-0002",2014-01-04,01:27,2014-01-04,01:27,"Reade & 4th
Sts PVA",East Carolina University,"Warrant Service Other
Agency"
"0CA
2014-0003",2014-01-04,22:38,2014-01-04,22:38,Fifth & Founders Sts.,East Carolina University,Provisional DWI Transport Open Container Speeding
"0CA
2014-0004",2014-01-06,09:31,2013-11-01,08:00,"Brody Medical
PVA",East Carolina University,"Larceny of License
Tag"
"0CA
2014-0005",2014-01-06,12:01,2013-12-31,03:58,"Ficklen
Stadium",East Carolina University,"Injury to Personal
Property"
"0CA
2014-0008",2014-01-08,08:50,2012-09-28,12:00,So Tech Bldg.,East Carolina University,Larceny
2016-0506,2016-04-30,01:14,2016-04-30,01:12,"Pva of Jenkins Art
Building",East Carolina University,"Possession of Marijuana <1/2 oz (2)
Possession of Drug
Paraphernalia (2)"
2017-0946,NA,13:24,NA,13:24,Labratory School-South Greenville Elementary School,East Carolina University,Employee
"Anomymous
Report",2015-09-24,18:15,2015-09-23,03:00,Sexual Assault,East Carolina University,"NA"
"Ayden PD
2016-005029",2016-08-20,22:00,2016-08-22,22:00,"Dowdy-Ficklen
Stadium",East Carolina University,"First Degree
Trespassing"
CASE #,NA,NA,NA,NA,GENERAL LOCATION,East Carolina University,INCIDENT
"ECO
2017-0546",2017-06-03,10:40,2017-06-03,10:40,Charles Boulevard & Forest Hill Drive,East Carolina University,Possession of Marijuana <1/2 oz Driving While License Revoked
"ECO
2017-0547",2017-06-03,13:50,2017-06-03,13:50,"Tenth & College Hill
Drive",East Carolina University,Possession of Marijuana <1/2 oz Driving While License Revoked
GPD,2016-03-17,02:21,2016-03-17,02:15,"Near West End
Dining",East Carolina University,Aggravated Assault
GPD Case,2018-09-09,01:30,2018-09-09,01:30,"Alley Way
behind Sup Dogs",East Carolina University,Shooting
"GPD OCA
2019-028251",2019-09-29,13:58,2019-09-29,02:57,"1000
Lawrence St.",East Carolina University,"Attempted Common Law
Robbery"
N.A,NA,NA,NA,NA,Tyler Hall,East Carolina University,Fondling
N/A,2015-01-25,21:35,2014-09-19,23:00,Faternity House,East Carolina University,"Attempted Forcible
Sex Offense"
N/A,2016-02-15,15:31,2015-12-08,22:00,"Gateway West
Res. Hall",East Carolina University,Forcible Sex Offense
N/A,2016-02-20,03:30,2016-02-20,03:30,"Fifth & Elizabeth
Sts.",East Carolina University,Sexual Assault
N/A,2016-04-25,14:23,2016-01-16,NA,Umstead Hall,East Carolina University,Rape
N/A,2016-05-05,18:00,2015-10-22,23:27,Clement Hall,East Carolina University,Sexual Assault
N/A,2016-05-23,10:32,2016-04-09,04:00,"Fletcher Residence
Hall",East Carolina University,Rape
N/A,2016-09-06,10:29,2016-09-05,03:00,White Hall,East Carolina University,Rape
N/A,2016-09-26,17:16,2016-09-18,NA,Legacy Hall,East Carolina University,Sexual Battery
N/A,2016-09-26,17:16,2016-09-24,NA,White Hall,East Carolina University,Rape
N/A,2017-05-10,NA,NA,NA,"Winston-Salem, NC",East Carolina University,Forcible Rape
N/A,2017-09-27,NA,2017-08-26,01:00,5th Street Distillery,East Carolina University,Aggravated Assault
N/A,2017-09-28,NA,2017-09-18,NA,Scott Hall,East Carolina University,Fondling
N/A,2017-10-22,13:34,NA,NA,"4th St. & Jarvis
St.",East Carolina University,Sexual Assault
N/A,2018-03-23,02:33,2018-03-23,01:16,Five Points Plaza,East Carolina University,Sexual Assault
N/A,2018-09-30,18:00,2018-09-30,16:15,Greene Street,East Carolina University,Armed Robbery
N/A,2019-01-16,22:08,NA,NA,Jones Hall,East Carolina University,Sexual Battery
N/A,2019-11-05,12:40,2019-11-05,12:40,Main Campus Student Center Parking Deck,East Carolina University,Intimidation
N/A,NA,NA,2015-08-22,23:00,"Residence
Hall",East Carolina University,Forcible Sex Offense
N/A,NA,NA,2017-08-26,03:00,Cotton Hall,East Carolina University,Rape
N/A,NA,NA,2017-08-26,03:00,Fleming Hall,East Carolina University,Fondling
N/A,NA,NA,2017-09-23,01:57,Legacy Hall,East Carolina University,Voyerism
N/A,NA,NA,2017-09-26,15:30,Tyler Hall,East Carolina University,Fondling
N/A,NA,NA,2017-09-30,01:00,"5th St. & Reade
St.",East Carolina University,Simple Assault
N/A,NA,NA,2017-10-22,02:00,Gateway East,East Carolina University,Second Degree Rape
N/A,NA,NA,2017-10-27,22:00,Phi Kappa Phi,East Carolina University,Rape
N/A,NA,NA,2017-10-31,23:00,Phi Kappa Tau Fraternity House,East Carolina University,Simple Assault
N/A,NA,NA,2017-11-17,01:20,Garrett Hall,East Carolina University,Rape
N/A,NA,NA,2017-12-02,02:00,"Near B-Lot at
10th St. & College Hill Dr.",East Carolina University,Rape
N/A,NA,NA,2017-12-03,01:00,"Campus
Towers",East Carolina University,Rape
N/A,NA,NA,2017-12-05,NA,"Curry Court
PVA",East Carolina University,Stalking
N/A,NA,NA,2018-01-08,17:15,Sci & Tech Bldg.,East Carolina University,Aggravated Assault & Intimidation
N/A,NA,NA,2018-01-19,NA,Still Life Club,East Carolina University,Fondling & Stalking
N/A,NA,NA,2018-01-31,NA,Bate Bldg.,East Carolina University,Stalking
N/A,NA,NA,2018-02-02,17:15,Sci & Tech Bldg.,East Carolina University,Robbery & Intimidation
N/A,NA,NA,2018-02-25,01:30,Jarvis Hall,East Carolina University,Rape
N/A,NA,NA,2018-02-25,02:30,Tyler Hall,East Carolina University,Stalking
N/A,NA,NA,2018-03-23,10:00,Garrett Hall,East Carolina University,Dating Violence
N/A,NA,NA,2018-06-28,11:09,Harris Bldg.,East Carolina University,Stalking
N/A,NA,NA,2018-08-13,NA,"Dixie Camp- Fayetteville, NC",East Carolina University,Fondling
N/A,NA,NA,2018-09-24,NA,Fletcher Hall,East Carolina University,Rape (4counts)
N/A,NA,NA,2018-10-01,14:50,Flanagan Bldg.,East Carolina University,Stalking
N/A,NA,NA,2018-10-23,01:00,Scott Hall,East Carolina University,Stalking
N/A,NA,NA,2018-10-28,21:15,Scott Hall,East Carolina University,Stalking
N/A,NA,NA,2018-11-04,02:00,Jarvis Hall,East Carolina University,Fondling
N/A,NA,NA,2018-11-17,05:25,Jones Hall,East Carolina University,Dating Violence
N/A,NA,NA,2018-12-01,02:00,Scott Hall,East Carolina University,Dating Violence
