case_number,incident,date_reported,location,date_occurred,time_occurred,time_reported,university
NA,NA,NA,NA,NA,NA,NA,Emory University
1400003,"THEFT BY TAKING (FROM BLDG, VALUED OVER $1500)",2014-01-01,"PEACHTREE BUILDING, EMORY UNIVERSITY HOSPITAL MIDTOWN",NA,NA,NA,Emory University
1400039,FINANCIAL TRANSACTION CARD FRAUD,2014-01-06,DOMINOS PIZZA,NA,NA,NA,Emory University
1400078,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-08,WOODRUFF PHYSICAL EDUCATION CENTER (C),NA,NA,NA,Emory University
1400079,BATTERY (VISIBLE BODILY HARM TO ANOTHER),2014-01-08,N DECATUR RD at  N Decatur Ctr,NA,NA,NA,Emory University
1400106,"BURGLARY, SECOND DEGREE, FORCIBLE ENTRY",2014-01-10,WOODRUFF LIBRARY (C),NA,NA,NA,Emory University
1400107,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-10,WINSHIP CANCER CLINIC,NA,NA,NA,Emory University
1400121,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-11,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1400122,ATLANTA ORDINANCE:  MONETARY SOLICITATION,2014-01-11,AAA PARKING,NA,NA,NA,Emory University
1400139,"THEFT BY TAKING (OTHER, VALUED OVER $1500)",2014-01-13,WINSHIP CLINIC VALET PARKING,NA,NA,NA,Emory University
1400142,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-13,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1400148,ENTERING AN AUTO,2014-01-13,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400167,THEFT OF LOST OR MISLAID PROPERTY (OVER $500),2014-01-14,Dobbs University Center (C),NA,NA,NA,Emory University
1400171,"THEFT BY TAKING (BICYCLE, VALUED $1500 OR LESS)",2014-01-14,Dobbs University Center (C),NA,NA,NA,Emory University
1400181,"THEFT BY TAKING (BICYCLE, VALUED $1500 OR LESS)",2014-01-15,TURMAN HALL,NA,NA,NA,Emory University
1400183,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-15,DAVIS FISCHER BUILDING,NA,NA,NA,Emory University
1400184,SIMPLE BATTERY,2014-01-15,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1400199,ENTERING AN AUTO,2014-01-16,EMORY WEST (BRIARCLIFF CAMPUS),NA,NA,NA,Emory University
1400200,ENTERING AN AUTO,2014-01-16,EMORY WEST (BRIARCLIFF CAMPUS),NA,NA,NA,Emory University
1400201,ENTERING AN AUTO,2014-01-16,EMORY WEST (BRIARCLIFF CAMPUS),NA,NA,NA,Emory University
1400203,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-16,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1400205,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-01-16,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1400206,"CRIMINAL TRESPASS, PROPERTY DAMAGE",2014-01-16,EMORY WEST (BRIARCLIFF CAMPUS),NA,NA,NA,Emory University
1400223,"CRIMINAL TRESPASS, PROPERTY DAMAGE",2014-01-17,SORORITY VILLAGE,NA,NA,NA,Emory University
1400239,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-01-18,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
1400242,ENTERING AN AUTO,2014-01-18,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400247,ENTERING AN AUTO,2014-01-18,APD LOT,NA,NA,NA,Emory University
1400250,ENTERING AN AUTO,2014-01-18,ALLEN MEMORIAL UNITED METHODIST CHURCH,NA,NA,NA,Emory University
1400259,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-19,Dobbs University Center (C),NA,NA,NA,Emory University
1400288,ENTERING AN AUTO,2014-01-21,EMORY WEST (BRIARCLIFF CAMPUS),NA,NA,NA,Emory University
1400290,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-01-21,ASBURY CIR (PRIVATE),NA,NA,NA,Emory University
1400302,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-22,EMORY UNIVERSITY HOSPITAL,NA,NA,NA,Emory University
1400314,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-23,EMORY CLINIC A,NA,NA,NA,Emory University
1400322,"CRIMINAL TRESPASS, PROPERTY DAMAGE",2014-01-23,Branham Hall,NA,NA,NA,Emory University
1400328,"CRIMINAL TRESPASS, INDIVIDUAL",2014-01-24,EMORY CLINIC B,NA,NA,NA,Emory University
1400330,FIRE,2014-01-24,HARRIS HALL,NA,NA,NA,Emory University
1400331,"CRIMINAL TRESPASS, PROPERTY DAMAGE",2014-01-24,Branham Hall,NA,NA,NA,Emory University
1400367,"THEFT BY TAKING (OTHER, VALUED $1500 OR LESS)",2014-01-26,11-J EAGLE ROW,NA,NA,NA,Emory University
1400421,ENTERING AN AUTO,2014-01-29,SUMMIT PARKING DECK,NA,NA,NA,Emory University
1400425,THEFT OF LOST OR MISLAID PROPERTY ($500 OR LESS),2014-01-29,WOODRUFF LIBRARY (C),NA,NA,NA,Emory University
1400433,"THEFT BY TAKING (FROM BLDG, VALUE $1500 OR LESS)",2014-01-30,EMORY UNIVERSITY HOSPITAL MIDTOWN,NA,NA,NA,Emory University
