case_number,time_occurred,time_reported,university,date_reported,date_occurred,location,incident
13000001,00:47,00:47,University of Iowa,2013-01-01,2013-01-01,SPORTS COLUMN BAR,"CITY,IN BARS AFTER HOURS"
13000002,00:52,00:52,University of Iowa,2013-01-01,2013-01-01,"10 BLK S DUBUQUE, ALLEY","PUBLIC INTOX INTERFERENCE W/OFFICIAL ACTS CITY,PUBLIC URINATION & DEFECATION"
13000003,00:48,00:48,University of Iowa,2013-01-01,2013-01-01,LOT 2,INTOXICATED SUBJECTS
13000004,01:29,01:29,University of Iowa,2013-01-01,2013-01-01,CAPITOL ST RAMP,OWI/DRUGGED 1ST OFFENSE
13000005,01:24,01:24,University of Iowa,2013-01-01,2013-01-01,BLOOMINGTON/LINN,OWI/DRUGGED 1ST OFFENSE
13000006,01:58,01:58,University of Iowa,2013-01-01,2013-01-01,CAPITOL ST RAMP,OWI/DRUGGED 2ND OFFENSE
13000007,02:17,02:17,University of Iowa,2013-01-01,2013-01-01,"BURGE HALL, SIDEWALK",POSSESSION/SUPPLY ALCOHOL U/21 PUBLIC INTOX
13000010,09:28,09:28,University of Iowa,2013-01-02,2013-01-02,"HOSPITAL, 1 JPE",HARASSMENT 3RD DEGREE
13000011,13:43,13:44,University of Iowa,2013-01-02,2013-01-02,JESSUP HALL,DAMAGED UI PROPERTY PROPERTY DAMAGE
13000014,09:23,09:23,University of Iowa,2013-01-03,2013-01-03,HWY 6 E/BOYRUM ST,1050PD:POLICE VEH/MOTOR VEH
13000015,00:00,10:18,University of Iowa,2013-01-03,2012-12-27,HOSPITAL,SUSPICIOUS PERSONS/ACTIVITY
13000016,00:00,09:21,University of Iowa,2013-01-03,2012-12-27,"HOSPITAL, PFP 2ND FL",THEFT 5TH DEGREE
13000017,10:07,10:07,University of Iowa,2013-01-03,2013-01-03,HOPE LODGE,DEATH
13000021,21:25,21:25,University of Iowa,2013-01-03,2013-01-03,"HOSPITAL, ETC",SMOKING IN PROHIBITED AREA
