case_number,date_occurred,date_reported,incident,location,university,time_occurred,time_reported
U15‐14615,2013-01-01,2015-08-19,KU MISCELLANEOUS (INFO),1535 15TH,University of Kansas,NA,NA
U14‐10347,2013-05-28,2014-05-28,KU MISCELLANEOUS (INFO),1425 JAYHAWK,University of Kansas,NA,NA
U14‐07491,2013-12-31,2014-04-18,THEFT: MISDEMEANOR,1530 15TH,University of Kansas,NA,NA
U14‐03969,2013-09-01,2014-02-27,KU MISCELLANEOUS (INFO),1530 15TH,University of Kansas,NA,NA
U14‐02675,2013-09-10,2014-02-11,KU MISCELLANEOUS (INFO),1501 CRESTLINE,University of Kansas,NA,NA
U14‐03328,2013-11-22,2014-02-19,THEFT: MISDEMEANOR,1502 IOWA,University of Kansas,NA,NA
U14‐01225,2013-12-02,2014-01-21,KU INVESTIGATIVE,500 11TH,University of Kansas,NA,NA
U14‐01239,2013-12-18,2014-01-21,THEFT OF PROPERTY OR SERVICES; VALU ,34 ENGEL,University of Kansas,NA,NA
U14‐01239,2013-12-18,2014-01-21,THEFT OF PROPERTY OR SERVICES; VALU ,34 ENGEL,University of Kansas,NA,NA
U14‐01164,2013-12-20,2014-01-20,THEFT: MISDEMEANOR,1815 NAISMITH,University of Kansas,NA,NA
U14‐01364,2013-12-22,2014-01-23,"STALKING; MISD, FELONY OR UNKNOW ",01 CRESTLINE,University of Kansas,NA,NA
U14‐01599,2013-12-18,2014-01-26,The of property or services; Value less ,32 ENGEL,University of Kansas,NA,NA
U13‐23204,2013-12-06,2013-12-10,KU OTHER AGENCY ASSIST,1501 CRESTLINE,University of Kansas,NA,NA
U13‐23301,2013-12-12,2013-12-12,Failure to appear.,1301 JAYHAWK,University of Kansas,NA,NA
U13‐23157,2013-12-09,2013-12-09,POSSESSION OF DRUG PARAPHERNALIA ,32 ENGEL,University of Kansas,NA,NA
U13‐23315,2013-12-12,2013-12-12,KU INVESTIGATIVE,1603 15TH,University of Kansas,NA,NA
U13‐23329,2013-11-02,2013-12-12,,15 NAISMITH,University of Kansas,NA,NA
U13‐23295,2013-12-12,2013-12-12,KU MISCELLANEOUS (INFO),1200 SCHWEGLER,University of Kansas,NA,NA
U13‐23352,2013-11-16,2013-12-13,SEXUAL BATTERY,1815 NAISMITH,University of Kansas,NA,NA
U13‐23377,2013-12-10,2013-12-13,KU MISCELLANEOUS (INFO),1815 NAISMITH,University of Kansas,NA,NA
U13‐23412,2013-12-14,2013-12-14,KU INVESTIGATIVE,1530 ENGEL,University of Kansas,NA,NA
