case_number,date_reported,date_occurred,incident,time_reported,university,time_occurred,location
20140102-001,2014-01-02,2014-01-02,966 - drug law violation,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140102-002,2014-01-02,2013-12-18,62 - burglary,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140102-003,2014-01-02,2014-01-02,suspicious person,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140102-004,2014-01-02,2014-01-02,s & r info o - s & r information report only,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140102-005,2014-01-02,2014-01-02,d34 - lost and found property,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140103-001,2014-01-03,2014-01-03,966 - simple possession of marijuana,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140103-002,2014-01-03,2014-01-03,s & r info o - s & r information report only,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140103-003,2014-01-03,2014-01-03,s & r info o - s & r information report only,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140104-001,2014-01-04,2014-01-04,drug law violation,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140104-002,2014-01-04,2014-01-01,damage to property info only,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140106-001,2014-01-06,2014-01-06,traffic stop -,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140106-002,2014-01-06,2014-01-06,24-medical emergency,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140106-003,2014-01-06,2014-01-06,suspicious person,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140107-001,2014-01-07,2014-01-07,107p - suspicious person,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140107-002,2014-01-07,2014-01-06,d34 - lost and found property,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140108-001,2014-01-08,2014-01-08,67 - theft,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140108-002,2014-01-08,2014-01-08,67 - theft,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140109-001,2014-01-09,2014-01-09,24 - medical emergency,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140109-002,2014-01-09,2014-01-09,67 - theft,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140109-003,2014-01-09,2014-01-09,62 - burglary,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140110-001,2014-01-10,2014-01-10,medical emergency,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140110-002,2014-01-10,2014-01-03,burglary,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140112-001,2014-01-11,2014-01-11,traffic stop -,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140112-002,2014-01-12,2014-01-12,s & r info o - s & r information report only,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140113-001,2014-01-13,2014-01-13,s & r info o - s & r information report only,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140113-002,2014-01-13,2014-01-13,107p - suspicious person,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140113-003,2014-01-13,2014-01-13,20 - traffic crash,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140114-001,2014-01-14,2014-01-14,20 - traffic crash,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140114-002,2014-01-14,2014-01-14,traffic crash,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140114-003,2014-01-14,2013-12-14,criminal tresspass,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
20140114-004,2014-01-14,2013-11-19,67 - theft,NA,Louisiana State University and Agricultural & Mechanical College,NA,NA
