incident,case_number,date_reported,date_occurred,time_occurred,location,university,time_reported
Possession of Marijuana,C13-0000098.A16,2013-01-02,2013-01-02,01:15,500 Block / 22nd Street,Marshall University,NA
Duty Upon Striking Unattended Vehicle,C13-0000101.A25,2013-01-02,2013-01-02,15:00,1600 Block / 6th Ave,Marshall University,NA
Possession of Marijuana,C13-0000316.A31,2013-01-05,2013-01-05,22:15,Twin Towers West,Marshall University,NA
Destruction of Property,C13-0000460.A34,2013-01-08,2013-01-08,00:51,3rd Ave Parking Garage,Marshall University,NA
Breaking & Entering,C13-0000575.A35,2013-01-09,2013-01-09,18:42,Bias Property,Marshall University,NA
Larceny,C13-0000973.A22,2013-01-15,2013-01-15,20:43,Willis Hall,Marshall University,NA
Destruction of Property,C13-0001028.A18,2013-01-16,2013-01-16,18:10,Corbly Hall,Marshall University,NA
Battery,C13-0001045.A27,2013-01-16,2013-01-16,21:49,Twin Towers East,Marshall University,NA
Grand Larceny,C13-0001067.A27,2013-01-16,2013-01-16,23:20,Campus Christian Center,Marshall University,NA
Robbery,CSA Report,2013-01-19,2013-01-19,22:00,1900 Block Maple Ave,Marshall University,NA
Unlawful Drinking Under 21,C13-0001187.A17,2013-01-19,2013-01-19,03:02,Buskirk,Marshall University,NA
Unlawful Drinking Under 21,C13-0001255.A33,2013-01-20,2013-01-20,03:32,South Residence Hall,Marshall University,NA
Sexual Assault,CSA Report,2013-01-21,2013-01-21,23:00,500 Block / 20th Street,Marshall University,NA
Assault,C13-0001317.A30,2013-01-21,2013-01-21,10:23,Bryd Clinic,Marshall University,NA
Petit Larceny,C13-0001378.A25,2013-01-22,2013-01-22,12:12,3rd Ave Parking Garage,Marshall University,NA
Fraudulent Use of a Credit Card,C13-0001452.A24,2013-01-23,2013-01-23,12:45,Drinko Library,Marshall University,NA
Possession of Marijuana,C13-0001481.A27,2013-01-23,2013-01-23,22:26,Haymaker Hall,Marshall University,NA
