case_number,date_reported,time_reported,incident,location,university,date_occurred,time_occurred
123660082,2012-12-31,12:23,Ambulance request,CLARENCE COOK LITTLE SCIENCE,University of Michigan-Ann Arbor,NA,NA
123660094,2012-12-31,14:16,Ambulance request,NORTHWOOD IV,University of Michigan-Ann Arbor,NA,NA
123660112,2012-12-31,16:59,Larceny from a building,CRISLER CENTER,University of Michigan-Ann Arbor,NA,NA
123660142,2012-12-31,22:29,Assist other agency,NA,University of Michigan-Ann Arbor,NA,NA
123660153,2012-12-31,23:52,Obstructing Justice,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
130010016,2013-01-01,02:05,Suspicious circumstances,WEST HALL,University of Michigan-Ann Arbor,NA,NA
130010021,2013-01-01,02:58,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
130010025,2013-01-01,03:28,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
130010050,2013-01-01,08:37,Violation of controlled substances,U HOSPITAL EMERGENCY ROOM,University of Michigan-Ann Arbor,NA,NA
130020010,2013-01-02,00:57,Assist other agency,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
130020073,2013-01-02,10:03,Assist other agency,SALINE PD,University of Michigan-Ann Arbor,NA,NA
130020079,2013-01-02,10:28,Property damage (accidental),FLETCHER HALL,University of Michigan-Ann Arbor,NA,NA
130020118,2013-01-02,14:48,Ambulance request,MICHIGAN UNION,University of Michigan-Ann Arbor,NA,NA
130020124,2013-01-02,15:53,Larceny from a building,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
130020130,2013-01-02,17:02,Ambulance request,TAUBMAN HEALTH CARE CENTER,University of Michigan-Ann Arbor,NA,NA
130020131,2013-01-02,17:08,Property damage (accidental),MED SCI RESEARCH BLDG III,University of Michigan-Ann Arbor,NA,NA
130020136,2013-01-02,17:24,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
130020137,2013-01-02,17:35,Larceny from a building,ADMINISTRATIVE SERVICES,University of Michigan-Ann Arbor,NA,NA
130030048,2013-01-03,06:40,"Traffic accident, (on roadway)",LOT M-75,University of Michigan-Ann Arbor,NA,NA
130030132,2013-01-03,17:28,Traffic Accident (off roadway),LOT NC-65,University of Michigan-Ann Arbor,NA,NA
130030141,2013-01-03,18:52,Ambulance request,TRACK  BUILDING,University of Michigan-Ann Arbor,NA,NA
130030145,2013-01-03,19:14,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
130030162,2013-01-03,22:10,Assist other agency,HIDDEN VALLEY CLUB DR,University of Michigan-Ann Arbor,NA,NA
130040027,2013-01-04,02:55,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
130040050,2013-01-04,06:22,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
130040063,2013-01-04,08:30,Fraudulent activities,523 SOUTH DIVISION BUILDING,University of Michigan-Ann Arbor,NA,NA
130040080,2013-01-04,10:12,Personal injury (non-traffic),COUZENS HALL,University of Michigan-Ann Arbor,NA,NA
130040093,2013-01-04,11:06,Larceny from a building,ARBOR LAKES BLDG 2/MCIT ONLY**,University of Michigan-Ann Arbor,NA,NA
130040104,2013-01-04,12:22,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
130040109,2013-01-04,12:45,Larceny from a building,SPINE CLINIC-SUITE 100/200 **,University of Michigan-Ann Arbor,NA,NA
130040120,2013-01-04,13:57,Larceny from a building,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
130040129,2013-01-04,14:45,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
130040148,2013-01-04,16:34,Traffic accident (hit & run),LOT W-18,University of Michigan-Ann Arbor,NA,NA
130040150,2013-01-04,16:59,Malicious destruction,NA,University of Michigan-Ann Arbor,NA,NA
130050157,2013-01-05,21:24,"Assault, non-aggravated",UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
130050168,2013-01-05,22:48,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
130060062,2013-01-06,11:58,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
130060064,2013-01-06,12:23,Ordinance - Soliciting in Buildings,NA,University of Michigan-Ann Arbor,NA,NA
130060070,2013-01-06,13:52,Malicious destruction,LOT SC-7,University of Michigan-Ann Arbor,NA,NA
130060084,2013-01-06,17:16,Larceny from a building,ALUMNI MEMORIAL HALL,University of Michigan-Ann Arbor,NA,NA
130060086,2013-01-06,18:00,Obstructing Justice,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
130060098,2013-01-06,21:15,Personal injury (non-traffic),MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130060106,2013-01-06,22:48,Larceny from a building,U HOSPITAL EMERGENCY ROOM,University of Michigan-Ann Arbor,NA,NA
130070017,2013-01-07,07:55,"Traffic accident, (on roadway)",NA,University of Michigan-Ann Arbor,NA,NA
130070032,2013-01-07,09:30,Malicious destruction,THAYER CARPORT,University of Michigan-Ann Arbor,NA,NA
130070043,2013-01-07,10:58,Assist other agency,NA,University of Michigan-Ann Arbor,NA,NA
130070048,2013-01-07,11:36,Larceny from a building,NORTHWOOD II,University of Michigan-Ann Arbor,NA,NA
130070054,2013-01-07,12:16,Larceny from a building,BIOMEDICAL SCI RESEARCH BLDG,University of Michigan-Ann Arbor,NA,NA
130070056,2013-01-07,13:44,Property damage (accidental),CVC PARKING M-85,University of Michigan-Ann Arbor,NA,NA
130070067,2013-01-07,15:13,Traffic Accident (off roadway),LOT NW-43,University of Michigan-Ann Arbor,NA,NA
130080005,2013-01-08,00:36,Minors in possession of alcohol,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130080014,2013-01-08,02:59,Resisting and Obstructing,ALICE LLOYD HALL,University of Michigan-Ann Arbor,NA,NA
130080028,2013-01-08,08:00,Traffic Accident (off roadway),M-18 P3 SOUTH SIDE,University of Michigan-Ann Arbor,NA,NA
130080041,2013-01-08,09:50,Ambulance request,THE CHILD CARE CENTER **,University of Michigan-Ann Arbor,NA,NA
130080075,2013-01-08,15:08,Traffic Accident (off roadway),LOT NC-4,University of Michigan-Ann Arbor,NA,NA
130080080,2013-01-08,15:30,Assist other agency,MICHIGAN UNION,University of Michigan-Ann Arbor,NA,NA
130080108,2013-01-08,20:38,Larceny from a building,CENTRAL CAMPUS RECREATION,University of Michigan-Ann Arbor,NA,NA
130080113,2013-01-08,21:23,Larceny from a building,CENTRAL CAMPUS RECREATION,University of Michigan-Ann Arbor,NA,NA
130080115,2013-01-08,21:47,Traffic accident (hit & run),SC20,University of Michigan-Ann Arbor,NA,NA
130090012,2013-01-09,02:14,Minors in possession of alcohol,NA,University of Michigan-Ann Arbor,NA,NA
130090067,2013-01-09,10:50,Obstructing police,M-22 CARPORT,University of Michigan-Ann Arbor,NA,NA
130090069,2013-01-09,11:09,Ambulance request,HORACE RACKHAM GRADUATE STUDIE,University of Michigan-Ann Arbor,NA,NA
130090082,2013-01-09,12:40,Violation of controlled substances,FLETCHER HALL,University of Michigan-Ann Arbor,NA,NA
130090089,2013-01-09,13:40,Larceny from a building,TRANSPORTATION SERVICES,University of Michigan-Ann Arbor,NA,NA
130090109,2013-01-09,16:02,Property damage (accidental),FULLER POOL PARKING,University of Michigan-Ann Arbor,NA,NA
130090114,2013-01-09,16:46,Suspicious circumstances,THAYER CARPORT,University of Michigan-Ann Arbor,NA,NA
130090121,2013-01-09,17:45,Ordinance - Soliciting on Grounds,CRISLER CENTER,University of Michigan-Ann Arbor,NA,NA
130090122,2013-01-09,17:45,Ordinance - Alcohol Stadium/Arena,CRISLER CENTER,University of Michigan-Ann Arbor,NA,NA
130090127,2013-01-09,18:40,Larceny from a building,MEDICAL INN,University of Michigan-Ann Arbor,NA,NA
130090128,2013-01-09,19:11,Ordinance - Soliciting on Grounds,CRISLER CENTER,University of Michigan-Ann Arbor,NA,NA
130090133,2013-01-09,19:29,Ordinance - Soliciting in Buildings,CRISLER CENTER,University of Michigan-Ann Arbor,NA,NA
130090136,2013-01-09,19:47,Ambulance request,CRISLER CENTER,University of Michigan-Ann Arbor,NA,NA
130090140,2013-01-09,20:50,"Smoke, smell of",EAST ANN ARBOR MED CENTER**,University of Michigan-Ann Arbor,NA,NA
130090147,2013-01-09,22:10,Malicious destruction,M-22 CARPORT,University of Michigan-Ann Arbor,NA,NA
130090156,2013-01-09,23:10,Violation of controlled substances,NA,University of Michigan-Ann Arbor,NA,NA
130100011,2013-01-10,00:50,Minors in possession of alcohol,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
130100025,2013-01-10,02:52,Ambulance request,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130100033,2013-01-10,04:19,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
130100049,2013-01-10,08:41,Malicious destruction,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130100055,2013-01-10,09:16,Larceny (other),LOT NC-9,University of Michigan-Ann Arbor,NA,NA
130100069,2013-01-10,11:28,Malicious destruction,HILL AUDITORIUM,University of Michigan-Ann Arbor,NA,NA
130100084,2013-01-10,13:40,Traffic Accident (off roadway),LOT M-25,University of Michigan-Ann Arbor,NA,NA
130100104,2013-01-10,16:29,Larceny from a building,KELLOGG EYE CENTER,University of Michigan-Ann Arbor,NA,NA
130100130,2013-01-10,21:29,Personal injury (non-traffic),YOST ICE ARENA,University of Michigan-Ann Arbor,NA,NA
130100131,2013-01-10,21:38,Violation of controlled substances,NORTHWOOD III,University of Michigan-Ann Arbor,NA,NA
130100134,2013-01-10,21:44,Malicious destruction,M-22 CARPORT,University of Michigan-Ann Arbor,NA,NA
130100140,2013-01-10,22:20,Burglary W/O Force (INTENT),LAW QUAD,University of Michigan-Ann Arbor,NA,NA
130100150,2013-01-10,23:02,Violation of controlled substances,NORTHWOOD III,University of Michigan-Ann Arbor,NA,NA
130110004,2013-01-11,00:17,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
130110024,2013-01-11,01:40,Assist other agency,U HOSPITAL EMERGENCY ROOM,University of Michigan-Ann Arbor,NA,NA
130110028,2013-01-11,01:56,Suspicious circumstances,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130110034,2013-01-11,02:08,Violation of controlled substances,STOCKWELL HALL,University of Michigan-Ann Arbor,NA,NA
130110055,2013-01-11,07:43,Traffic Accident (off roadway),M-22 CARPORT,University of Michigan-Ann Arbor,NA,NA
130110061,2013-01-11,08:36,MDOP - other grafitti,FLETCHER HALL,University of Michigan-Ann Arbor,NA,NA
130110075,2013-01-11,09:59,Personal injury (non-traffic),MODERN LANGUAGES BUILDING,University of Michigan-Ann Arbor,NA,NA
130110078,2013-01-11,10:50,Ambulance request,MODERN LANGUAGES BUILDING,University of Michigan-Ann Arbor,NA,NA
130110088,2013-01-11,11:45,Larceny from a building,MASON HALL,University of Michigan-Ann Arbor,NA,NA
130110095,2013-01-11,13:12,Assist other agency,NA,University of Michigan-Ann Arbor,NA,NA
130110099,2013-01-11,13:48,Personal injury (non-traffic),TURNER SENIOR RESOURCE **,University of Michigan-Ann Arbor,NA,NA
130110125,2013-01-11,17:20,Obstructing Justice,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
130110147,2013-01-11,20:24,Larceny from a building,DUDERSTADT BLDG,University of Michigan-Ann Arbor,NA,NA
130110168,2013-01-11,22:43,Traffic Accident (off roadway),M-18 P3 SOUTH SIDE,University of Michigan-Ann Arbor,NA,NA
130110171,2013-01-11,23:04,Assist other agency,SHAPIRO UNDERGRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
130110179,2013-01-11,23:51,Minors in possession of alcohol,NA,University of Michigan-Ann Arbor,NA,NA
130120008,2013-01-12,00:24,Minors in possession of alcohol,CAMPUS SAFETY SERVICES,University of Michigan-Ann Arbor,NA,NA
130120010,2013-01-12,00:28,Ambulance request,NA,University of Michigan-Ann Arbor,NA,NA
130120028,2013-01-12,01:38,Ambulance request,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
130120029,2013-01-12,01:45,Ordinance - Urinating in Public,SCHOOL OF SOCIAL WORK,University of Michigan-Ann Arbor,NA,NA
130120084,2013-01-12,08:37,Property damage (accidental),NA,University of Michigan-Ann Arbor,NA,NA
130120097,2013-01-12,10:24,Assist other agency,SC20,University of Michigan-Ann Arbor,NA,NA
130120101,2013-01-12,11:26,Violation of controlled substances,THAYER CARPORT,University of Michigan-Ann Arbor,NA,NA
130120133,2013-01-12,14:19,Larceny from a building,MICHIGAN UNION,University of Michigan-Ann Arbor,NA,NA
130120149,2013-01-12,17:19,Assist other agency,CENTRAL CAMPUS RECREATION,University of Michigan-Ann Arbor,NA,NA
130120150,2013-01-12,17:33,Larceny from a building,MOTT CHILD VON VOIGTLANDER WMN,University of Michigan-Ann Arbor,NA,NA
130120195,2013-01-12,22:08,Violation of controlled substances,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
130130014,2013-01-13,00:35,Ambulance request,MARY MARKLEY RESIDENCE HALL,University of Michigan-Ann Arbor,NA,NA
130130024,2013-01-13,00:58,Ambulance request,WEST QUAD,University of Michigan-Ann Arbor,NA,NA
130130040,2013-01-13,01:47,Suspicious circumstances,NA,University of Michigan-Ann Arbor,NA,NA
130130045,2013-01-13,01:56,Ambulance request,COUZENS HALL,University of Michigan-Ann Arbor,NA,NA
130130048,2013-01-13,02:09,Obstructing police,NA,University of Michigan-Ann Arbor,NA,NA
130130049,2013-01-13,02:24,Ambulance request,STOCKWELL HALL,University of Michigan-Ann Arbor,NA,NA
130130051,2013-01-13,02:35,Minors in possession of alcohol,MOSHER-JORDAN HALL,University of Michigan-Ann Arbor,NA,NA
130130053,2013-01-13,02:40,Ambulance request,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
130130054,2013-01-13,02:42,Minors in possession of alcohol,STOCKWELL HALL,University of Michigan-Ann Arbor,NA,NA
130130055,2013-01-13,02:43,Ambulance request,SOUTH QUADRANGLE,University of Michigan-Ann Arbor,NA,NA
130130062,2013-01-13,04:00,Sexual assault,WEST QUAD,University of Michigan-Ann Arbor,NA,NA
130130066,2013-01-13,04:46,Ambulance request,SHAPIRO UNDERGRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
130130124,2013-01-13,17:00,Property damage (accidental),HERBERT H DOW BUILDING,University of Michigan-Ann Arbor,NA,NA
130130140,2013-01-13,21:38,Malicious destruction,HATCHER GRADUATE LIBRARY,University of Michigan-Ann Arbor,NA,NA
130140066,2013-01-14,09:40,Property damage (accidental),ARBOR LAKES BLDG 2/MCIT ONLY**,University of Michigan-Ann Arbor,NA,NA
130140074,2013-01-14,10:46,Personal injury (non-traffic),EISENHOWER PARK WAREHOUSE **,University of Michigan-Ann Arbor,NA,NA
130140079,2013-01-14,11:56,MDOP - other graffiti,WOLVERINE TOWERS,University of Michigan-Ann Arbor,NA,NA
130140095,2013-01-14,13:35,Larceny from a building,UNIVERSITY HOSPITAL,University of Michigan-Ann Arbor,NA,NA
130140112,2013-01-14,14:57,"Assault, non-aggravated",MOTT CHILD VON VOIGTLANDER WMN,University of Michigan-Ann Arbor,NA,NA
130140113,2013-01-14,15:12,Larceny from a building,BURSLEY HALL,University of Michigan-Ann Arbor,NA,NA
130140117,2013-01-14,16:17,Suspicious circumstances,SCHOOL OF DENTISTRY,University of Michigan-Ann Arbor,NA,NA
130140120,2013-01-14,16:43,Personal injury (non-traffic),MARTHA COOK RESIDENCE,University of Michigan-Ann Arbor,NA,NA
130140143,2013-01-14,19:52,Ambulance request,COUZENS HALL,University of Michigan-Ann Arbor,NA,NA
130140165,2013-01-14,23:36,Suspicious circumstances,MICHIGAN UNION,University of Michigan-Ann Arbor,NA,NA
130150030,2013-01-15,05:43,Traffic violation (criminal),NA,University of Michigan-Ann Arbor,NA,NA
130150037,2013-01-15,07:01,Traffic Accident w/Injuries,NA,University of Michigan-Ann Arbor,NA,NA
130150046,2013-01-15,08:10,Larceny (other),PIERPONT  COMMONS,University of Michigan-Ann Arbor,NA,NA
130150052,2013-01-15,08:24,Personal injury (non-traffic),ADMINISTRATIVE SERVICES,University of Michigan-Ann Arbor,NA,NA
130150054,2013-01-15,08:26,Violation of controlled substances,NORTHWOOD III,University of Michigan-Ann Arbor,NA,NA
130150064,2013-01-15,09:33,Larceny from a building,NEUROSCIENCE HOSPITAL,University of Michigan-Ann Arbor,NA,NA
130150081,2013-01-15,11:42,Larceny from a building,DUDERSTADT BLDG,University of Michigan-Ann Arbor,NA,NA
130150086,2013-01-15,12:23,Suspicious circumstances,STUDENT ACTIVITIES BUILDING,University of Michigan-Ann Arbor,NA,NA
130150088,2013-01-15,12:47,Property damage (accidental),LOT W-1,University of Michigan-Ann Arbor,NA,NA
130150105,2013-01-15,14:02,Suspicious circumstances,NORTHWOOD COMMUNITY CENTER,University of Michigan-Ann Arbor,NA,NA
130150144,2013-01-15,20:43,Violation of controlled substances,NORTHWOOD 3,University of Michigan-Ann Arbor,NA,NA
130150146,2013-01-15,21:09,Larceny from a building,CENTRAL CAMPUS RECREATION,University of Michigan-Ann Arbor,NA,NA
130150168,2013-01-15,23:54,Trespassing,PIERPONT  COMMONS,University of Michigan-Ann Arbor,NA,NA
130160052,2013-01-16,08:58,Ambulance request,SCHOOL OF PUBLIC HEALTH 1,University of Michigan-Ann Arbor,NA,NA
130160054,2013-01-16,09:03,Traffic Accident (off roadway),LOT NC-4,University of Michigan-Ann Arbor,NA,NA
130160065,2013-01-16,10:21,Suspicious circumstances,GODDARD HOUSE,University of Michigan-Ann Arbor,NA,NA
130160081,2013-01-16,12:24,Larceny (other),NA,University of Michigan-Ann Arbor,NA,NA
130160100,2013-01-16,14:27,Traffic Accident (off roadway),M-18 P2 NORTH SIDE,University of Michigan-Ann Arbor,NA,NA
130160104,2013-01-16,15:03,Larceny (other),LAW QUAD,University of Michigan-Ann Arbor,NA,NA
130160152,2013-01-16,20:45,Suspicious circumstances,CENTRAL CAMPUS RECREATION,University of Michigan-Ann Arbor,NA,NA
