case_number,date_reported,time_reported,date_occurred,time_occurred,incident,location,university
2013-00000007,2013-01-01,00:45,2013-01-01,00:45,Not Counted For UCR,KENTUCKY BLVD / MO163 Columbia MO,University of Missouri-Columbia
2013-00000012,2013-01-01,02:34,2013-01-01,02:34,Driving Under The Influence,S PROVIDENCE Columbia MO 65203,University of Missouri-Columbia
2013-00000012,2013-01-01,02:34,2013-01-01,02:34,Not Counted For UCR,S PROVIDENCE Columbia MO 65203,University of Missouri-Columbia
2013-00000012,2013-01-01,02:34,2013-01-01,02:34,Not Counted For UCR,S PROVIDENCE Columbia MO 65203,University of Missouri-Columbia
2013-00000198,2013-01-03,00:25,2013-01-03,00:25,Not Counted For UCR,200 S PROVIDENCE Columbia MO 65203,University of Missouri-Columbia
2013-00000286,2013-01-03,17:50,2013-01-03,17:48,All Other Offenses (Except Traffic),HOSPITAL Columbia MO 0,University of Missouri-Columbia
2013-00000434,2013-01-04,19:46,2013-01-04,17:30,Theft Non-Motor Vehicle,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00000434,2013-01-04,19:46,2013-01-04,17:30,Theft Non-Motor Vehicle,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00000434,2013-01-04,19:46,2013-01-04,17:30,Theft Non-Motor Vehicle,3  HOSPITAL Columbia MO 65201,University of Missouri-Columbia
2013-00000441,2013-01-04,22:03,2013-01-04,22:03,Liquor Laws,304 S COLLEGE Columbia MO 65201,University of Missouri-Columbia
2013-00000462,2013-01-05,00:59,2013-01-05,00:59,Driving Under The Influence,111 S PROVIDENCE Columbia MO 65203,University of Missouri-Columbia
2013-00000462,2013-01-05,00:59,2013-01-05,00:59,Not Counted For UCR,111 S PROVIDENCE Columbia MO 65203,University of Missouri-Columbia
2013-00000463,2013-01-05,01:23,2013-01-05,01:23,Driving Under The Influence,TIGER AVE/MO 740 Columbia MO,University of Missouri-Columbia
2013-00000463,2013-01-05,01:23,2013-01-05,01:23,Not Counted For UCR,TIGER AVE/MO 740 Columbia MO,University of Missouri-Columbia
2013-00000532,2013-01-05,13:52,2013-01-05,13:52,Not Counted For UCR,MICK DEAVER/ PROVIDENCE Columbia MO,University of Missouri-Columbia
2013-00000532,2013-01-05,13:52,2013-01-05,13:52,Not Counted For UCR,MICK DEAVER/ PROVIDENCE Columbia MO,University of Missouri-Columbia
2013-00000532,2013-01-05,13:52,2013-01-05,13:52,Not Counted For UCR,MICK DEAVER/ PROVIDENCE Columbia MO,University of Missouri-Columbia
2013-00000532,2013-01-05,13:52,2013-01-05,13:52,Not Counted For UCR,MICK DEAVER/ PROVIDENCE Columbia MO,University of Missouri-Columbia
2013-00000555,2013-01-05,19:21,2013-01-05,19:19,Not Counted For UCR,HITT Columbia MO 65201,University of Missouri-Columbia
2013-00000555,2013-01-05,19:21,2013-01-05,19:19,Not Counted For UCR,HITT Columbia MO 65201,University of Missouri-Columbia
2013-00000589,2013-01-06,01:54,2013-01-06,01:54,Driving Under The Influence,BINGHAM Columbia MO 65203,University of Missouri-Columbia
2013-00000589,2013-01-06,01:54,2013-01-06,01:54,Not Counted For UCR,BINGHAM Columbia MO 65203,University of Missouri-Columbia
