date_reported,date_occurred,time_occurred,time_reported,case_number,location,incident,university
2013-01-02,2013-01-02,14:15,14:15,2013mu00031,redwood hall,student misconduct,Monmouth University
2013-01-09,2013-01-09,13:15,13:15,2013mu00162,mupd,student misconduct,Monmouth University
2013-01-22,2013-01-22,01:53,01:53,2013mu00474,mullaney hall,student misconduct,Monmouth University
2013-01-23,2013-01-22,10:30,11:17,2013mu00532,wilson hall annex,theft,Monmouth University
2013-01-23,2013-01-23,21:17,21:17,2013mu00548,pinewood hall,student misconduct,Monmouth University
2013-01-24,2013-01-24,15:00,16:22,2013mu00583,boylan gym,theft,Monmouth University
2013-01-25,2013-01-25,01:51,01:51,2013mu00604,cedar hall,pula w/alcohol/student misconduct,Monmouth University
2013-01-25,2013-01-25,20:07,20:07,2013mu00637,ifo maplewood hall,student misconduct,Monmouth University
2013-01-25,2013-01-25,20:59,20:59,2013mu00638,cedar hall,pula w/alcohol/student misconduct,Monmouth University
2013-01-26,2013-01-26,08:00,12:38,2013mu00654,plangere,harassment (via email),Monmouth University
2013-01-27,2013-01-27,02:34,02:34,2013mu00674,redwood hall,criminal mischief/student misconduct,Monmouth University
2013-01-30,2013-01-30,19:20,20:52,2013mu00847,mac,theft,Monmouth University
2013-02-01,2013-02-01,05:27,05:27,2013mu00856,redwood hall,consumption of alcohol by pula/student misc.,Monmouth University
2013-02-02,2013-01-31,19:00,21:13,2013mu00901,bike hut,theft/recovered,Monmouth University
2013-02-05,2013-02-05,12:42,12:42,2013mu00984,parking lot 8,student misconduct,Monmouth University
2013-02-05,2013-02-05,12:10,13:17,2013mu00985,boylan gym,theft by unlawful taking,Monmouth University
2013-02-06,2013-02-06,19:54,19:54,2013mu01026,pinewood hall,"poss of marijuana under 50g, poss of drug paraphernalia, stu misc.",Monmouth University
2013-02-07,2013-02-07,15:35,15:35,2013mu01052,mupd,pssn of false id/stud misconduct,Monmouth University
2013-02-07,2013-02-01,17:00,16:22,2013mu01053,dining hall,theft by unlawful taking,Monmouth University
2013-02-08,2013-02-08,00:45,00:51,2013mu01067,shadows restaurant,"simple assault domestic violence, harassment, stu misc.",Monmouth University
2013-02-08,2013-02-08,01:35,01:35,2013mu01069,mullaney hall,possession/consumption of alcohol under legal age,Monmouth University
2013-02-10,2013-02-10,02:05,02:05,2013mu01126,mullaney hall,underage consumption of alcohol (1st offense),Monmouth University
2013-02-11,2013-02-11,11:15,11:58,2013mu01161,dining hall,theft by unlawful taking,Monmouth University
2013-02-14,2013-02-11,14:30,12:52,2013mu01264,parking lot 23,burglary to veh./theft,Monmouth University
2013-02-15,2013-02-15,02:59,02:59,2013mu01288,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
2013-02-15,2013-02-15,05:30,06:58,2013mu01292,600 building,poss. of cds,Monmouth University
2013-02-17,2013-02-17,16:49,16:49,2013mu01371,elmwood hall,"poss. of marijuana under 50 g, poss. of drug paraphernalia, poss. of alcohol while underage, stu. misc.",Monmouth University
2013-02-21,2013-02-20,14:20,09:12,2013mu01497,alumni house,credit card fraud,Monmouth University
2013-02-22,2013-02-22,03:37,03:37,2013mu01534,pinewood hall,pula w/alcohol/student misconduct,Monmouth University
2013-02-22,2013-02-22,08:40,17:40,2013mu01555,parking lot 15,criminal mischief,Monmouth University
2013-02-22,2013-02-22,02:02,02:02,2013mu01564,willow hall,"underage consumption of alcoho, stu misc.",Monmouth University
2013-02-23,2013-02-23,02:20,02:20,2013mu01565,laurel hall,"underage consumption of alcohol (1st offense), stu. misc.",Monmouth University
2013-02-25,2013-02-20,15:36,13:56,2013mu01637,long branch,"forgery, bad check",Monmouth University
2013-02-25,2013-02-25,20:16,20:16,2013mu01650,elmwood hall,"criminal mischief, stu misc.",Monmouth University
2013-03-06,2013-02-28,13:00,12:45,2013mu01951,lot 23,criminal mischief,Monmouth University
2013-03-02,2013-03-01,01:45,15:07,2013mu01953,long branch,student misconduct,Monmouth University
2013-03-07,2013-03-07,02:52,02:52,2013mu01975,pinewood hall,consumption of alcohol by pula/student misc.,Monmouth University
2013-03-07,2013-03-01,03:00,15:16,2013mu01997,redwood hall,disorderly conduct,Monmouth University
2013-03-08,2013-03-08,07:00,11:00,2013mu02025,monmouth university,student misconduct,Monmouth University
2013-03-08,2013-03-08,16:30,18:20,2013mu02039,boylan gym,theft of movable property,Monmouth University
2013-03-08,2013-03-08,21:09,21:09,2013mu02048,larchwood/palmer ave.,damage to university property,Monmouth University
2013-03-08,2013-03-08,22:07,22:07,2013mu02050,laurel hall,"poss. of marijuana under 50 g,  student misconduct",Monmouth University
2013-03-09,2013-03-09,06:27,06:27,2013mu02060,mullaney hall,alcohol violation/student misconduct,Monmouth University
2013-03-13,2013-03-12,17:00,20:25,2013mu02216,mullaney hall,burglary/theft,Monmouth University
2013-03-15,2013-03-15,04:14,04:14,2013mu02266,pinewood hall,pula w/alcohol/student misconduct,Monmouth University
2013-03-25,2013-03-25,09:34,09:34,2013mu02507,facilities management,harassment (via text message),Monmouth University
2013-03-26,2013-03-26,21:00,23:02,2013mu02560,boylan gym,theft,Monmouth University
2013-03-27,2013-03-15,04:15,13:30,2013mu02574,birch hall,theft,Monmouth University
2013-03-29,2013-03-29,02:06,02:06,2013mu02627,elmwood hall,alcohol violation/student misconduct,Monmouth University
2013-03-31,2013-03-31,02:00,21:02,2013mu02735,oakwood hall,burglary/theft,Monmouth University
2013-03-31,2013-03-30,16:00,21:23,2013mu02736,redwood hall,burglary/theft,Monmouth University
2013-04-01,2013-03-28,21:00,14:36,2013mu02752,parking lot,theft from mv,Monmouth University
2013-04-01,NA,16:00,16:59,2013mu02755,oakwood hall,burglary/theft,Monmouth University
2013-04-03,2013-04-01,05:00,11:15,2013mu02820,howard hall,theft,Monmouth University
2013-04-05,2013-04-05,10:00,10:00,2013mu02884,lot 18,student misconduct,Monmouth University
2013-04-05,2013-04-05,11:30,11:42,2013mu02888,macfitness center,criminal mischief,Monmouth University
2013-04-06,2013-04-06,23:10,23:10,2013mu02936,cedar hall,student misconduct,Monmouth University
2013-04-10,2013-04-09,23:00,14:46,2013mu03046,boylan gym,theft by unlawful taking,Monmouth University
2013-04-12,2013-04-12,12:31,12:31,2013mu03106,parking lot 3,student misconduct,Monmouth University
2013-04-12,2013-04-12,23:24,23:24,2013mu03124,wilson hall,student misconduct,Monmouth University
2013-04-14,2013-04-14,00:49,00:49,2013mu03160,maplewood hall,pula w/alcohol/student misconduct,Monmouth University
2013-04-14,2013-04-14,01:03,01:03,2013mu03163,pinewood hall,pula w/alcohol/student misconduct,Monmouth University
2013-04-14,2013-04-14,01:52,01:52,2013mu03164,cedar hall,pula w/alcohol/student misconduct,Monmouth University
2013-04-16,2013-04-15,14:00,06:59,2013mu03224,wilson hall,criminal mischief,Monmouth University
2013-04-16,2013-04-12,13:00,10:07,2013mu03231,howard hall,student misconduct,Monmouth University
2013-04-16,2013-04-16,22:39,22:39,2013mu03251,oakwood hall,pssn of marijuana u/50;parahernalia;stud mis,Monmouth University
2013-04-17,2013-04-17,01:35,01:35,2013mu03255,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
2013-04-18,2013-04-18,14:46,14:46,2013mu03309,garden apts.,criminal mischief,Monmouth University
2013-04-19,2013-04-19,03:17,03:17,2013mu03327,redwood hall,simple assault/pula w/alcohol/stud mis,Monmouth University
2013-04-20,2013-04-20,05:06,05:06,2013mu03369,willow hall,pula w/alcohol/student misconduct,Monmouth University
2013-04-20,2013-04-15,10:00,13:07,2013mu03378,plangere,theft,Monmouth University
2013-04-21,2013-04-21,15:55,15:55,2013mu03411,spruce hall,harassment (domestic violence),Monmouth University
2013-04-21,2013-04-17,13:00,16:25,2013mu03418,elmwood hall,theft,Monmouth University
2013-04-26,2013-04-24,14:20,NA,2013mu03582,mac,theft of movable property,Monmouth University
2013-04-27,2013-04-27,01:30,01:30,2013mu03610,cedar ave/estate road,consumption of alcohol by pula/student misc.,Monmouth University
2013-04-27,2013-04-27,01:48,01:48,2013mu03612,parking lot 2,consumption of alcohol by pula/student misc.,Monmouth University
2013-04-27,2013-04-27,12:40,12:40,2013mu03627,parking lot 14,criminal mischief,Monmouth University
2013-04-28,2013-04-28,09:45,09:45,2013mu03657,lot 10,"possession of cds, marijuana under 50g,possession of drug paraphernalia",Monmouth University
2013-04-28,2013-04-28,22:57,22:57,2013mu03682,great lawn apts,minors in possession of alcohol/student misconduct,Monmouth University
2013-04-29,2013-04-20,NA,15:26,2013mu03705,softball field,theft,Monmouth University
2013-04-30,2013-04-30,19:46,19:46,2013mu03750,birch hall,pssn of cds/paraphernalia,Monmouth University
2013-05-01,2013-05-01,14:00,14:00,2013mu03774,pinewood hall,harassment,Monmouth University
2013-05-03,2013-04-28,22:00,12:25,2013mu03855,lot 12,criminal mischief,Monmouth University
2013-05-03,2013-05-03,09:47,19:52,2013mu03868,health center,criminal mischief,Monmouth University
2013-05-04,2013-05-04,10:24,10:24,2013mu03884,elmwood hall,criminal mischief,Monmouth University
2013-05-05,2013-05-05,15:49,15:49,2013mu03928,great lawn,simple assault (dv)/stud mis,Monmouth University
2013-05-06,2013-05-06,02:30,16:39,2013mu03963,great lawn apts,theft/student misconduct,Monmouth University
2013-05-11,2013-05-11,00:30,12:13,2013mu04140,elmwood hall,criminal mischief,Monmouth University
2013-05-11,2013-05-10,09:00,20:11,2013mu04155,oakwood hall,burglary,Monmouth University
2013-05-13,2013-05-10,16:30,09:28,2013mu04185,library,theft of textbooks,Monmouth University
2013-05-14,2013-05-14,01:48,01:48,2013mu04217,mullaney hall,pula w/alcohol/student misconduct,Monmouth University
2013-05-14,2013-05-14,17:17,17:17,2013mu04249,mullaney hall,pssn of marijuana u/50;parahernalia;stud mis,Monmouth University
2013-06-12,2013-06-12,19:23,19:23,2013mu05077,"university bluffs, lb",possible pssn of marijuana,Monmouth University
2013-06-13,2013-06-13,15:27,15:27,2013mu05097,mac,theft of cellphone and cred crd,Monmouth University
2013-06-14,2013-06-13,16:00,17:09,2013mu05103,mac,theft of cash,Monmouth University
2013-06-17,2013-06-17,19:07,19:07,2013mu05216,mupd,dv threats/harassment,Monmouth University
2013-06-19,2013-06-19,17:49,17:49,2013mu05272,"university bluffs, lb",pssn of marijuana u/50;parahernalia;stud mis,Monmouth University
2013-06-21,2013-06-20,14:45,09:31,2013mu05316,great lawn apts,criminal mischief,Monmouth University
2013-06-30,2013-06-23,22:00,20:37,2013mu05546,great lawn apts,theft,Monmouth University
2013-07-02,2013-07-01,14:00,16:20,2013mu05603,athletics,theft,Monmouth University
2013-07-20,2013-07-20,00:30,02:02,2013mu06060,spruce hall,criminal sexual contact et al.,Monmouth University
2013-07-20,2013-07-20,22:37,22:37,2013mu06081,spruce hall,pula w/alcohol/student misconduct,Monmouth University
2013-07-21,2013-07-21,23:20,23:20,2013mu06104,spruce hall,criminal mischief,Monmouth University
