incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
Burglary Residence,2019-0348,2019-12-28,12:02,2019-12-26,22:00,The Flats,University of North Florida
Theft,2019-0347,2019-12-26,13:45,2019-06-13,15:00,BLDG 59/Rm 1701,University of North Florida
Theft,2019-0344,2019-12-14,16:30,2019-11-22,15:00,Osprey Fountains,University of North Florida
Domestic Dispute with Violence,2019-0343,2019-12-14,15:00,2019-12-14,15:00,Osprey Fountains,University of North Florida
Drug Investigation,2019-0341,2019-12-12,12:15,2019-12-12,12:15,U N F Dr just south of,University of North Florida
Assault,2019-0338,2019-12-07,02:21,2019-12-07,01:50,LOT 55,University of North Florida
Theft,2019-0337,2019-12-05,07:51,2019-11-27,15:30,LOT 8,University of North Florida
Fraud Use Device Scheme to Defraud,2019-0336,2019-12-04,13:31,2019-12-03,13:03,I U N F Dr,University of North Florida
Vandalism,2019-0332,2019-12-02,09:19,2019-11-27,08:30,BLDG 4,University of North Florida
Vandalism,2019-0331,2019-12-02,03:10,2019-11-27,06:30,BLDG 2,University of North Florida
Theft,2019-0329,2019-11-29,16:34,2019-11-29,16:00,BLDG 14,University of North Florida
Theft,2019-0326,2019-11-22,15:15,2019-10-28,13:30,Osprey Crossings,University of North Florida
Sexual Batter,2019-0325,2019-11-22,14:00,2019-11-11,22:00,Osprey Fountains,University of North Florida
Vandalism,2019-0294,2019-11-20,17:39,2019-10-24,17:17,Osprey Fountains,University of North Florida
Burglary to Vehicle,2019-0321,NA,NA,2019-11-19,16:49,LOT 7,University of North Florida
Petit Theft,2019-0322,2019-11-19,17:50,2019-11-19,15:30,BLDG 8,University of North Florida
Burglary to Vehicle,2019-0321,2019-11-19,16:49,2019-11-19,16:49,BLDG 60,University of North Florida
Sexual Battery,2019-0320,2019-11-19,15:57,2019-09-27,12:00,1 U N F Dr,University of North Florida
Extortion,2019-0318,2019-11-15,19:28,2019-11-15,18:30,Osprey Crossing,University of North Florida
Theft,2019-0315,2019-11-13,16:00,2019-11-08,16:00,Lot 18,University of North Florida
Theft,2019-0314,2019-11-13,12:00,2019-11-05,17:30,BLDG 57,University of North Florida
Assault,2019-0256,2019-11-13,11:21,2019-09-21,01:00,1 U N F Dr S Bus Stop,University of North Florida
Theft,2019-0310,2019-11-09,16:23,NA,NA,BLDG 16 Skateboard,University of North Florida
