case_number,date_reported,time_reported,date_occurred,time_occurred,incident,location,university
15893,2014-07-12,00:00,2014-07-10,00:00,Theft,Harding Hospital,Ohio State University-Main Campus
15892,2014-07-12,00:00,2014-07-07,00:00,Theft,Ross Heart Hospital,Ohio State University-Main Campus
15870,2014-07-10,00:00,2014-06-28,00:00,Theft,James Cancer Hospital,Ohio State University-Main Campus
15855,2014-07-09,00:00,2014-06-27,00:00,Theft,OSU East Medical Center,Ohio State University-Main Campus
15848,2014-07-08,00:00,2014-07-08,00:00,Theft,UHE Tower,Ohio State University-Main Campus
15830,2014-07-07,00:00,2014-07-05,00:00,Theft,UHE Tower,Ohio State University-Main Campus
15812,2014-07-04,00:00,2014-07-04,00:00,Theft,Doan Hall,Ohio State University-Main Campus
15804,2014-07-03,00:00,2014-06-14,00:00,Theft,Rhodes Hall,Ohio State University-Main Campus
15801,2014-07-02,00:00,2014-07-01,00:00,Theft,Rhodes Hall,Ohio State University-Main Campus
15782,2014-06-30,00:00,2014-06-10,00:00,Theft,Doan Hall,Ohio State University-Main Campus
15772,2014-06-28,00:00,2014-06-12,00:00,Theft,UHE Tower,Ohio State University-Main Campus
15769,2014-06-28,00:00,2014-06-25,00:00,Theft,Emergency Department,Ohio State University-Main Campus
15767,2014-06-28,00:00,2014-06-23,00:00,Theft,UHE Tower,Ohio State University-Main Campus
15758,2014-06-27,00:00,2014-06-26,00:00,Theft,Harding Hospital,Ohio State University-Main Campus
15757,2014-06-27,00:00,2014-06-27,00:00,Theft,Ross Heart Hospital,Ohio State University-Main Campus
15744,2014-06-25,00:00,2014-06-20,00:00,Theft,UHE Tower,Ohio State University-Main Campus
15737,2014-06-24,00:00,2014-06-24,00:00,Theft,Rhodes Hall,Ohio State University-Main Campus
15636,2014-06-14,00:00,2014-06-14,00:00,Theft,OSU Medical Center 395 Building,Ohio State University-Main Campus
15632,2014-06-14,00:00,2014-06-13,00:00,Theft,Ross Heart Hospital,Ohio State University-Main Campus
15620,2014-06-13,00:00,2014-06-10,00:00,Theft,UHE Tower,Ohio State University-Main Campus
15587,2014-06-10,00:00,2014-06-10,00:00,Theft,Martha Moorhouse,Ohio State University-Main Campus
15571,2014-06-08,00:00,2014-06-07,00:00,Theft,Emergency Department,Ohio State University-Main Campus
15561,2014-06-07,00:00,2014-06-07,00:00,Theft,Rhodes Hall,Ohio State University-Main Campus
15546,2014-06-06,00:00,2014-06-06,00:00,Theft,Carepoint East,Ohio State University-Main Campus
