case_number,date_reported,time_reported,date_occurred,time_occurred,location,incident,university
CFS14-01-01-000003,2014-01-01,0:19,NA,NA,PEDEN STADIUM Common Name: PARKING LOT 132,"TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",Ohio University
CFS14-01-01-000004,2014-01-01,0:35,NA,NA,SOUTH GREEN DRIVE - WALTER HALL Common Name: PARKING LOT 134,"TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",Ohio University
CFS14-01-01-000005,2014-01-01,1:25,2014-01-01,1:25,MCKINLEY RESIDENTIAL LOT Common Name: PARKING LOT 50,"TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",Ohio University
CFS14-01-01-000007,2014-01-01,3:23,2014-01-01,3:23,69 SOUTH GREEN DRIVE Common Name: BROWN HALL,ALCOHOL OFFENSE,Ohio University
CFS14-01-02-000018,2014-01-02,12:05,2013-12-20,16:00,SHIVELY HALL Common Name: SHIVELY DINING HALL,DESTRUCTION OF PROPERTY,Ohio University
CFS14-01-02-000022,2014-01-02,17:08,NA,NA,46 EAST GREEN STREET Common Name: JEFFERSON HALL,FIRE ALARM,Ohio University
CFS14-01-04-000038,2014-01-04,1:52,NA,NA,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: @ WGDR,TRAFFIC SPEED 4511.21,Ohio University
CFS14-01-05-000068,2014-01-05,20:28,2014-01-05,20:28,S.G. DRIVE Common Name: SOUTH GREEN DRIVE,TRAFFIC FAILURE TO YIELD - DRIVEWAY OR LOT 4511.44,Ohio University
CFS14-01-07-000092,2014-01-07,0:44,NA,NA,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: BY ADAMS,TRAFFIC OBSTRUCTED VIEW 4511.70B,Ohio University
CFS14-01-07-000104,2014-01-07,14:13,2012-11-14,0:00,"E.CIRCLE DR, RIDGES Common Name: BUILDING 20",JUSTICE & PUB. ADMIN. OBSTRUCTING OFFICIAL BUSINESS 2921.31,Ohio University
CFS14-01-07-000107,2014-01-07,15:26,NA,NA,"THE RIDGES, BLDG. 25 Common Name: KONNEKER RESEARCH CENTER",FIRE ALARM,Ohio University
CFS14-01-07-000110,2014-01-07,16:21,NA,NA,SOUTH GREEN DRIVE Common Name: PARKING LOT 87,TRAFFIC VEHICLE LICENSE REGISTRATION,Ohio University
CFS14-01-07-000112,2014-01-07,17:34,2014-01-07,17:34,RICHLAND AVENUE Common Name: RESEARCH AND TECHNOLOGY C,FIRE ALARM,Ohio University
CFS14-01-07-000115,2014-01-07,18:35,NA,NA,49 EAST GREEN STREET Common Name: WASHINGTON HALL,TRAFFIC PROHIBITED PARKING 4511.68,Ohio University
CFS14-01-08-000125,2014-01-08,4:44,NA,NA,"BUILDING 1, THE RIDGES Common Name: KENNEDY MUSEUM OF AMERICA",FIRE ALARM,Ohio University
