incident,case_number,time_reported,date_reported,location,university,time_occurred,date_occurred
TRAFFIC STOP,13-000024,12:45,2013-01-01,"FORBES AVE AND S. BELLEFIELD AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
HARASSMENT-THREAT,13-000039,20:51,2013-01-01,"WPIC - 3811 O'HARA STREET PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-000040,21:01,2013-01-01,"FORBES AVE PITTSBURGH, PA 15217",University of Pittsburgh-Pittsburgh Campus,NA,NA
MARIJUANA/DISORDERLY CONDUCT,13-000054,02:37,2013-01-02,"BIGELOW BLVD AND 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
DRUG ACTIVITY,13-000055,03:05,2013-01-02,"ROBINSON ST AND 5TH AVE PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
HARASSMENT-THREAT,13-000070,08:26,2013-01-02,"CRAIG HALL - 200 SOUTH CRAIG STREET PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-000164,15:57,2013-01-03,"718 DEVONSHIRE ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
RECOVERED PROPERTY,13-000185,22:18,2013-01-03,"PUBLIC SAFETY BUILDING - 3412 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
TOWING VEHICLES,13-000188,23:10,2013-01-03,"S BOUQUET ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
FIRE-ALARM ACTIVATION,13-000222,09:35,2013-01-04,"CLAPP HALL - FIFTH AVE & RUSKIN AVENUE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY,13-000226,12:12,2013-01-04,"BOUNDARY ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
AIDED CASE,13-000231,14:20,2013-01-04,"PETERSEN EVENTS CENTER - 3719 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS ACTIVITY,13-000234,14:58,2013-01-04,"BQ LOT - 5TH AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
REPORT ISSUED IN ERROR,13-000254,17:37,2013-01-04,"SCAIFE HALL - 3550 TERRACE ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACTUAL FIRE,13-000261,20:50,2013-01-04,"EDWARD H. LITCHFIELD TOWER C - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
DUI,13-000273,23:00,2013-01-04,"BQ LOT - 5TH AVE AND N. BOUQUET ST PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
SUSPICIOUS ACTIVITY,13-000291,14:22,2013-01-05,"LOTHROP HALL - 190 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DISORDERLY CONDUCT,13-000329,01:25,2013-01-06,"5TH & ATWOOD - 5TH AVE AND ATWOOD ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - ASSAULT,13-000333,01:51,2013-01-06,"3807 FORBES AVE PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
DRUG ACTIVITY,13-000343,03:05,2013-01-06,"5TH AVE AND N. BOUQUET ST PITTSBURGH, PA",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOITERING,13-000346,03:47,2013-01-06,"EULER WAY PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-000348,05:02,2013-01-06,"EULER WAY PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - NO INJURY,13-000349,05:02,2013-01-06,"EULER WAY PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
ASSIST OTHER AGENCY - BURGLARY,13-000365,15:46,2013-01-06,"218 NORTH CRAIG ST PITTSBURGH, PA 15206",University of Pittsburgh-Pittsburgh Campus,NA,NA
ACCIDENT - HIT & RUN,13-000377,17:25,2013-01-06,"UPMC GARAGE - 200 LOTHROP ST PITTSBURGH, PA 15213",University of Pittsburgh-Pittsburgh Campus,NA,NA
MISCELLANEOUS NON-CRIMINAL INCIDENT,13-000378,17:25,2013-01-06,"EDWARD H. LITCHFIELD TOWER A - 3955 FORBES AVE PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
LOST PROPERTY REPORT,13-000409,01:09,2013-01-07,"GREYHOUND BUS STAION - PITTSBURGH, PA 15260",University of Pittsburgh-Pittsburgh Campus,NA,NA
