case_number,date_reported,time_reported,incident,location,university,time_occurred,date_occurred
21-012,2021-01-21,20:15,"BURGLARY, UNLAWFUL ENTRY-NO FORCE",Ward Hall,Rollins College,NA,NA
21-011,2021-01-21,11:25,FIRE ALARM - FIRE,Rollins Parking Garage,Rollins College,NA,NA
21-009,2021-01-20,16:00,CYBER STALKING,Campus Safety Office,Rollins College,NA,NA
21-008,2021-01-17,16:35,FIRE ALARM - NO FIRE,Corrin Hall,Rollins College,NA,NA
21-007,2021-01-16,00:00,FIRE ALARM - NO FIRE,Olin Library,Rollins College,NA,NA
21-003,2021-01-13,15:00,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
NA,NA,NA,NA,NA,Rollins College,NA,NA
20-319,2020-12-20,15:00,LARCENY/ THEFT,Campus Grounds,Rollins College,NA,NA
20-318,2020-12-19,13:20,"REFERRAL, DRUG",Corrin Hall,Rollins College,NA,NA
20-317,2020-12-19,11:15,"REFERRAL, DRUG",Lakeside,Rollins College,NA,NA
20-314,2020-12-16,12:15,FIRE ALARM - NO FIRE,Cornell Fine Arts Center/ CFAC,Rollins College,NA,NA
20-313,2020-12-15,17:00,FIRE ALARM - NO FIRE,Bush Science Center,Rollins College,NA,NA
20-312,2020-12-10,21:00,"REFERRAL, DRUG",Hooker Hall,Rollins College,NA,NA
20-311,2020-12-10,03:15,"REFERRAL, DRUG",Lakeside,Rollins College,NA,NA
20-307,2020-12-06,23:05,FIRE ALARM - NO FIRE,Fox Hall,Rollins College,NA,NA
20-306,2020-12-05,03:00,"THEFT, MOTOR VEHICLE-OTHER",Ollie Avenue Garage,Rollins College,NA,NA
20-303,2020-12-02,13:25,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-297,2020-11-23,13:45,LARCENY/ THEFT,Lakeside,Rollins College,NA,NA
20-296,2020-11-20,13:40,FIRE ALARM - NO FIRE,Sutton Apartments,Rollins College,NA,NA
20-294,2020-11-17,20:15,"THEFT, MOTOR VEHICLE-AUTO",Hauck Hall,Rollins College,NA,NA
20-292,2020-11-17,14:35,HARASSMENT,SunTrust Garage,Rollins College,NA,NA
20-290,2020-11-16,17:50,HARASSMENT,Ward Hall,Rollins College,NA,NA
20-286,2020-11-13,16:05,LARCENY/ THEFT,Pugsley Hall,Rollins College,NA,NA
20-284,2020-11-10,21:00,FIRE ALARM - NO FIRE,Keene Music,Rollins College,NA,NA
20-279,2020-11-07,19:00,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-277,2020-11-06,15:20,TRESPASS,Cornell Fine Arts Museum/ CFAM,Rollins College,NA,NA
20-271,2020-11-01,16:40,FIRE ALARM - FIRE,Lakeside,Rollins College,NA,NA
20-269,2020-10-30,20:10,"THEFT, MOTOR VEHICLE-OTHER",SunTrust Garage,Rollins College,NA,NA
20-266,2020-10-27,10:50,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-253,2020-10-17,08:00,LARCENY/ THEFT,Barker House,Rollins College,NA,NA
20-257,2020-10-16,19:45,FIRE ALARM - NO FIRE,SunTrust Plaza,Rollins College,NA,NA
20-251,2020-10-12,14:30,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-250,2020-10-11,05:30,"ASSAULT, SEXUAL - RAPE",Lyman Hall,Rollins College,NA,NA
20-248,2020-10-11,02:05,POLICE ASSIST,Off Campus,Rollins College,NA,NA
20-245,2020-10-09,15:30,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-254,2020-10-09,00:00,"ASSAULT, SIMPLE",Hume House/CDC,Rollins College,NA,NA
20-240,2020-10-07,18:05,TRESPASS,170 W. Fairbanks Bldg,Rollins College,NA,NA
20-234,2020-10-04,10:10,FIRE ALARM - FIRE,Cross Hall,Rollins College,NA,NA
20-233,2020-10-03,20:05,FIRE ALARM - NO FIRE,Rice Family Pavilion,Rollins College,NA,NA
20-232,2020-10-03,07:55,FIRE ALARM - NO FIRE,"Winter Park Plaza, 330",Rollins College,NA,NA
20-227,2020-10-01,02:35,TRESPASS,170 W. Fairbanks Bldg,Rollins College,NA,NA
20-226,2020-09-30,13:25,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-223,2020-09-26,21:20,"REFERRAL, DRUG",Pugsley Hall,Rollins College,NA,NA
20-218,2020-09-24,00:15,"REFERRAL, ALCOHOL",Corrin Hall,Rollins College,NA,NA
20-219,2020-09-24,00:00,FIRE ALARM - NO FIRE,Sutton Apartments,Rollins College,NA,NA
20-214,2020-09-21,08:45,HARASSMENT,Mayflower Hall,Rollins College,NA,NA
20-216,2020-09-17,13:00,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
20-212,2020-09-16,17:30,CYBER STALKING,Campus Safety Office,Rollins College,NA,NA
20-208,2020-09-14,08:25,HAZMAT,Cornell Fine Arts Center/ CFAC,Rollins College,NA,NA
20-205,2020-09-07,14:50,FIRE ALARM - NO FIRE,Pugsley Hall,Rollins College,NA,NA
20-202,2020-09-03,10:15,HAZMAT,Holt Ave./ Campus,Rollins College,NA,NA
20-198,2020-08-29,15:45,TRESPASS,Sutton Pool,Rollins College,NA,NA
20-197,2020-08-29,10:50,FIRE ALARM - NO FIRE,Rice Family Pavilion,Rollins College,NA,NA
20-196,2020-08-28,01:00,TRESPASS,170 W. Fairbanks Bldg,Rollins College,NA,NA
20-195,2020-08-27,19:10,FIRE ALARM - NO FIRE,Campus Center/ CCC/ Skillman,Rollins College,NA,NA
20-194,2020-08-27,13:30,VANDALISM,Lakeside,Rollins College,NA,NA
20-192,2020-08-25,00:00,FIRE ALARM - NO FIRE,Lakeside,Rollins College,NA,NA
