case_number,date_reported,time_reported,date_occurred,time_occurred,location,university,incident
13-1029,2013-07-12,09:18,2013-07-12,08:00,"Dede Alpert Ctr For Community En, 4283 El Cajon Bl, San Diego",San Diego State University,Petty Theft
13-1055,2013-07-20,08:57,NA,NA,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1058,2013-07-20,01:25,2013-07-20,01:25,"5700 Lindo Paseo Av, San Diego",San Diego State University,Under Influence Cntl Sub Possess Unlawful Paraphernalia
13-1064,2013-07-21,03:22,2013-07-21,03:22,"Aztec Corner Apartments 5700, 5700 Montezuma Rd, San Diego",San Diego State University,Robbery
13-1078,2013-07-24,03:55,2013-07-24,03:55,"Language Academy Elementary, 4961 64TH St, San Diego",San Diego State University,Obstruct/Resist Exec Off
13-1095,2013-07-29,08:25,2013-07-26,08:25,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1114,2013-08-02,08:13,2013-08-02,08:10,"Formerly Delta Gamma Sorority, 5804 Montezuma Rd, San Diego",San Diego State University,Petty Theft Felony comttd while relsd on Bail;2ndary offense
13-1121,2013-08-05,03:29,2013-08-05,03:29,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Attempted Auto Burglary Vandalism:damage Property
13-1137,2013-08-09,08:31,2013-08-09,08:30,"Parking Structure 6, 5205 East Campus Dr, San Diego",San Diego State University,Petty Theft Vandalism Less than $400 Conspiracy:commit Crime
13-1148,2013-08-11,04:22,2013-08-11,04:22,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Vandalism:damage Property
13-1153,2013-08-12,07:57,2013-08-12,07:57,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1159,2013-08-13,06:31,2013-08-13,05:45,"Parking Structure 1, 5355 College Av, San Diego",San Diego State University,Vehicle Theft
13-1162,2013-08-14,09:01,2013-08-14,09:01,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Possess Unlawful Paraphernalia Commit Mail Theft
13-118,2013-01-25,02:00,2013-01-25,02:59,"College West Apartments, 5445 55TH St, San Diego",San Diego State University,Burglary:first Degree
13-1182,2013-08-17,04:11,2013-08-17,04:11,"Parking Structure 1, 5355 College Av, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-1185,2013-08-18,07:39,2013-08-18,07:39,"Starbucks, 6700 El Cajon Bl, San Diego",San Diego State University,Possess Unlawful Paraphernalia Outside Agency Bench Warrant Violation Of Parole:fel
13-1187,2013-08-18,05:13,2013-08-18,05:13,"Parking Lot X, 5545 Canyon Crest Dr, San Diego",San Diego State University,Possess Stolen Vehicle Obstruct Public Officer
13-1196,2013-08-20,09:16,2013-08-20,09:54,"5151 70TH St, La Mesa",San Diego State University,Possess Unlawful Paraphernalia
13-1208,2013-08-23,07:39,2013-08-23,08:04,"Mts Transit Center, 5178 College Avenue, San Diego",San Diego State University,Under Influence Cntl Sub
13-1209,2013-08-22,01:20,NA,NA,"Hepner Hall, 5405 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1210,2013-08-23,02:44,NA,NA,"Aztec Campus Apartments, 5650 Hardy Avenue",San Diego State University,Grnd Thft:prop/Etc $950+
13-1214,2013-08-24,01:03,2013-08-24,01:03,"Chapultepec Residence Hall, 5400 Remington Rd, San Diego",San Diego State University,Vandalism ($400 or More)-Fel Disord Conduct:alcohol
13-1260,2013-08-27,05:05,2013-08-27,05:05,"Alberts College Apartments Palm Plaza, 5450 55TH St, San Diego",San Diego State University,Attempted Auto Burglary
13-1264,2013-08-28,02:36,2013-08-28,02:35,"Montezuma Rd/Yerba Santa Dr, San Diego",San Diego State University,Transp/Etc Cntl Sub Poss Cntl Sub For Sale Possess Unlawful Paraphernalia
13-1281,2013-08-29,07:39,2013-08-29,07:00,"Parking Structure 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vehicle Theft
13-1306,2013-08-31,02:00,2013-08-31,02:00,"Cuicacalli Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
13-1308,2013-08-31,00:12,2013-08-31,00:21,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Under Influence Cntl Sub
13-1314,2013-08-31,03:15,2013-08-31,03:15,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Obstruct/Resist Exec Off Battery Against Police Officer
13-1319,2013-09-01,04:28,2013-09-01,03:30,"Pita Pit, 5131 College Av, San Diego",San Diego State University,Vehicle Theft
13-1320,2013-09-01,08:02,2013-08-31,01:00,"Parking Structure 5, 5100 55TH St, San Diego",San Diego State University,Vehicle Theft
13-1342,2013-09-04,00:03,2013-09-04,00:03,"Chemical Sciences Laboratory, 6095 Canyon Crest Dr, San Diego",San Diego State University,Vandalism ($400 or More)-Fel Petty Theft
13-1353,2013-09-05,00:53,2013-09-05,00:53,"5700 Lindo Paseo Av, San Diego",San Diego State University,Drive W/License Suspended
13-1364,2013-09-06,03:14,2013-09-06,03:00,"Parking Structure 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vandalism:damage Property
13-1383,2013-09-08,00:38,2013-09-08,00:54,"Campanile Dr/Lindo Paseo Av, San Diego",San Diego State University,Dui Alcohol/0.08 Percent
13-1405,2013-09-10,08:09,2013-09-09,08:30,"Adams Humanities, 5305 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
13-1408,2013-09-10,04:06,2013-09-10,02:30,"Ps 4, 5530 Aztec Circle Dr, San Diego",San Diego State University,Vehicle Theft
13-1409,2013-09-10,07:06,NA,NA,"Arts And Letters, 5700 Avenue Of Arts, San Diego",San Diego State University,Vandalism ($400 or More)-Fel Petty Theft
13-1414,2013-09-11,08:39,NA,NA,"Parking Structure 3, 5105 East Campus Dr, San Diego",San Diego State University,Vandalism: Deface Property
13-143,2013-01-29,02:07,2013-01-29,02:30,"4500 College Avenue, San Diego",San Diego State University,Possess Narcotic Cntl Sub
13-1467,2013-09-17,01:06,2013-09-17,01:06,"5000 55TH St, San Diego",San Diego State University,Rec Knwn Stoln Prop -$950 Outside Agency Warrant Outside Agency Warrant
