location,case_number,date_occurred,time_occurred,date_reported,time_reported,university,incident
1 carousel center dr,00002885,NA,09:29,NA,09:29,Syracuse University,info-police information     
1 carousel center dr,00027472,NA,01:43,NA,01:43,Syracuse University,info-police information      
1 CAROUSEL CENTER DR,19-202500,2019-03-06,18:20,2019-03-18,10:43,Syracuse University,LARC-Larceny
1 CAROUSEL CENTER DR,19-467264,2019-09-22,20:00,2019-09-22,22:19,Syracuse University,ASLT-Assault
1 forestry dr,00022264,NA,01:15,NA,01:43,Syracuse University,astp-assist police agency      
1 FORESTRY DR,14-121072,NA,NA,2014-01-17,01:05,Syracuse University,INFO-Police Information INFO-Police Information INFO-Police Information INFO-Police Information
1 FORESTRY DR,15-556771,2015-11-24,00:20,2015-12-09,14:17,Syracuse University,DRUG Law Violation-UPM
1 MOUNT OLYMPUS DR,19-489835,2019-10-09,15:48,2019-10-09,20:38,Syracuse University,LARC-Larceny
1 su hillside lot,00017196,NA,05:55,NA,05:55,Syracuse University,cmis- criminal mischief     
1 SU HILLSIDE LOT,14-144764,2014-02-04,14:45,2014-02-05,09:25,Syracuse University,PDAA-Prop. Damage Auto Accident
1 SU HILLSIDE LOT,14-547350,2014-11-24,17:30,2014-11-24,23:57,Syracuse University,CMIS- Criminal Mischief
1 SU HILLSIDE LOT,19-198882,2019-03-15,08:30,2019-03-15,15:13,Syracuse University,PDAA-Prop. Damage Auto Accident
1 SU HILLSIDE LOT,19-490709,2019-10-10,13:39,2019-10-10,13:39,Syracuse University,Motor Vehicle Accident
10/24/2017 4:23:37 pm,NA,NA,NA,NA,NA,Syracuse University,"NA"
100 BUCKINGHAM AVE,DR# 15-295540,2015-05-27,02:40,2015-05-27,02:40,Syracuse University,ASTP-Assist Police Agency
100 clarendon st,00046759,NA,03:43,NA,00:22,Syracuse University,city ordin viol-open cont     
100 college pl,00010127,NA,09:15,NA,09:17,Syracuse University,motor vehicle accident      
100 college pl,00022871,NA,05:22,NA,05:22,Syracuse University,pinj-personal injury/injury   
100 college pl,00032488,NA,05:51,NA,05:51,Syracuse University,harr-harassment            
100 college pl,00035855,NA,08:00,NA,02:19,Syracuse University,larc-larceny            
100 college pl,00044616,NA,05:00,NA,05:17,Syracuse University,pinj-personal injury/injury   
100 college pl,00045068,NA,07:00,NA,00:01,Syracuse University,demo- demonstration         
100 college pl,00050762,2016-10-09,01:11,2016-10-09,01:11,Syracuse University,intx-intoxicated person     
100 COLLEGE PL,14-136191,2014-01-29,10:10,2014-01-29,10:10,Syracuse University,PINJ-Personal Injury/Injury
100 COLLEGE PL,14-150600,2014-02-10,05:15,2014-02-10,05:15,Syracuse University,Motor Vehicle Accident
100 COLLEGE PL,14-164596,2014-02-21,10:46,2014-02-21,10:49,Syracuse University,PINJ-Personal Injury/Injury
100 COLLEGE PL,14-196720,2014-03-13,11:13,2014-03-13,11:27,Syracuse University,PINJ-Personal Injury/Injury
100 COLLEGE PL,14-204789,2014-03-19,19:05,2014-03-19,19:06,Syracuse University,PINJ-Personal Injury/Injury
100 COLLEGE PL,14-237032,2014-04-13,00:23,2014-04-13,00:23,Syracuse University,DISP- Verbal Dispute
100 COLLEGE PL,14-281171,2014-05-15,12:25,2014-05-15,16:35,Syracuse University,LARC-Larceny
100 COLLEGE PL,14-449625,2014-09-11,23:09,2014-09-11,23:09,Syracuse University,INTX-Intoxicated Person
100 COLLEGE PL,14-471982,2014-09-28,03:30,2014-09-28,03:51,Syracuse University,HARR-Harassment
100 COLLEGE PL,14-554639,2014-11-26,09:00,2014-12-01,07:14,Syracuse University,LARC-Larceny
100 COLLEGE PL,15-126633,2015-01-14,11:15,2015-01-21,11:43,Syracuse University,INFO-Police Information
100 COLLEGE PL,15-133673,2015-01-26,23:03,2015-01-26,23:03,Syracuse University,TRES-Trespassing
100 COLLEGE PL,15-151277,2015-02-09,18:08,2015-02-09,18:08,Syracuse University,LARC-Larceny
100 COLLEGE PL,15-237100,2015-04-13,08:45,2015-04-15,11:54,Syracuse University,HAZD-Hazardous Situation
100 COLLEGE PL,17-228115,NA,NA,NA,NA,Syracuse University,INTX-Intoxicated Person
100 COLLEGE PL,17-234003,NA,NA,NA,NA,Syracuse University,PINJ-Personal Injury/Injury
100 COLLEGE PL,17-305251,NA,NA,NA,NA,Syracuse University,PDAM-Property Damage
100 COLLEGE PL,17126690,NA,NA,NA,NA,Syracuse University,LARC-Larceny
100 COLLEGE PL,19-101536,2019-01-01,07:45,2019-01-01,07:45,Syracuse University,PDAM-Property Damage
100 COLLEGE PL,19-126103,2019-01-20,01:45,2019-01-20,01:45,Syracuse University,INTX-Intoxicated Person
100 COLLEGE PL,19-241837,2019-04-15,18:46,2019-04-15,18:46,Syracuse University,ASTP-Assist Police Agency
100 COLLEGE PL,19-308910,2019-06-01,23:30,2019-06-01,23:30,Syracuse University,PDAM-Property Damage
100 COLLEGE PL,19-375829,2019-07-19,09:59,2019-07-19,09:59,Syracuse University,ASTC-Assist Citizen
100 COLLEGE PL,19-442003,2019-09-05,08:20,2019-09-05,08:20,Syracuse University,Motor Vehicle Accident
100 COLLEGE PL,19-456085,2019-09-14,21:28,2019-09-14,21:28,Syracuse University,SUSI-Suspicious Event/Incident
100 COLLEGE PL,19-469775,2019-09-24,16:49,2019-09-24,16:49,Syracuse University,PINJ-Personal Injury/Injury
100 COLLEGE PL,19-501458,2019-10-18,20:13,2019-10-18,20:13,Syracuse University,INTX-Intoxicated Person
100 COLLEGE PL,19-511440,2019-10-26,12:00,2019-10-26,12:03,Syracuse University,SUSP-Suspicious Person
100 COLLEGE PL,19-533427,2019-11-12,11:45,2019-11-12,11:46,Syracuse University,PINJ-Personal Injury/Injury
100 COLLEGE PL,19-536122,2019-11-14,12:36,2019-11-14,12:36,Syracuse University,HARR-Harassment
100 COLLEGE PL,Leads DR# 15-236662,2015-04-15,04:00,2015-04-15,04:00,Syracuse University,INTX-Intoxicated Person
100 crouse dr,00005917,NA,04:13,NA,04:13,Syracuse University,found property           
100 crouse dr,00023451,NA,00:18,NA,00:18,Syracuse University,ment- emot. disturbed person    
100 crouse dr,00035733,NA,01:21,NA,01:43,Syracuse University,pinj-personal injury/injury   
100 crouse dr,00041146,NA,08:48,NA,09:02,Syracuse University,larc-larceny             
100 crouse dr,00043605,NA,01:46,NA,01:46,Syracuse University,intx-intoxicated person      intx-intoxicated person      intx-intoxicated person     
100 crouse dr,00050873,2016-10-09,04:57,2016-10-09,04:57,Syracuse University,tres-trespassing          
