date_occurred,time_occurred,date_reported,case_number,incident,location,time_reported,university
2019-08-19,NA,2019-08-19,19025060,Public Intoxication,The Tower Hall,NA,Texas State University
2019-08-18,NA,2019-08-18,19025008,"ResistingArrest/Search/Transportation",Smith House,NA,Texas State University
2019-08-18,NA,2019-08-18,19024950,Graffiti,Alkek Parking Garage,NA,Texas State University
2019-08-17,NA,2019-08-18,19024984,Terroristic Threat,"J.C. Kellam AdministrationBuilding",NA,Texas State University
2019-08-17,NA,2019-08-17,19024844,Harassment,The Tower Hall,NA,Texas State University
2019-08-17,NA,2019-08-17,19024909,"Possession of DrugParaphernalia","Chautauqua/Gaillardia HousingComplex",NA,Texas State University
2019-08-16,NA,2019-08-16,19024820,"Possession of DrugParaphernalia",Meadows Center,NA,Texas State University
2019-08-15,NA,2019-08-16,19024725,Property Damage,Meadows Center,NA,Texas State University
2019-08-14,NA,2019-08-15,19024575,Harassment,San Marcos Hall,NA,Texas State University
2019-08-13,NA,2019-08-13,19024318,Reckless Driving,Bobcat Stadium Parking Lot,NA,Texas State University
2019-08-12,NA,2019-08-12,19024175,"Credit Card or DebitCard Abuse",Jones Dining Complex,NA,Texas State University
2019-08-12,NA,2019-08-12,19024199,"ResistingArrest/Search/Transportation",Student Center Drive,NA,Texas State University
2019-08-12,NA,2019-08-12,19024117,Burglary ‐ Building,Saltgrass Steak House,NA,Texas State University
2019-08-12,NA,2019-08-12,19024176,"Credit Card or DebitCard Abuse",Jones Dining Complex,NA,Texas State University
2019-08-11,NA,2019-08-11,19024001,Public Intoxication,Comal Building,NA,Texas State University
2019-08-10,NA,2019-08-10,19023855,"Criminal TrespassWarning",Evans Liberal Arts Building,NA,Texas State University
2019-08-10,NA,2019-08-10,19023857,"Reckless Damage orDestruction",River House,NA,Texas State University
2019-08-09,NA,2019-08-09,19023848,Public Intoxication,Moore Street,NA,Texas State University
2019-08-08,NA,2019-08-15,19024580,"Credit Card or DebitCard Abuse",Jones Dining Complex,NA,Texas State University
2019-08-07,NA,2019-08-07,19023313,"Duty on StrikingFixture/HighwayLandscape",Bobcat Stadium Parking Lot,NA,Texas State University
2019-08-07,NA,2019-08-07,19023387,"Accident InvolvingPersonal Injury orDeath",Peques Street,NA,Texas State University
2019-08-06,NA,2019-08-06,19023230,"Theft ‐ Property>=$100<$750",Student Recreation Center,NA,Texas State University
2019-08-06,NA,2019-08-06,19023276,"Possession of DrugParaphernalia",Bexar Hall,NA,Texas State University
2019-08-06,NA,2019-08-07,19023319,"CriminalMischief>=$100<$750",Bobcat Village Apartments,NA,Texas State University
2019-08-06,NA,2019-08-06,19023105,"Possession of DrugParaphernalia",Mill Street Lot,NA,Texas State University
2019-08-04,NA,2019-08-04,19022873,"Possession of DrugParaphernalia",Edward Gary Garage,NA,Texas State University
2019-08-03,NA,2019-08-03,19022814,"Theft ‐ Property>=$750>$2,500",Sewell Park,NA,Texas State University
2019-08-03,NA,2019-08-03,19022826,"Theft ‐ Property>=$750>$2,500",Sewell Park,NA,Texas State University
2019-08-02,NA,2019-08-02,19022589,"Possession of DrugParaphernalia",University Dr @ N. LBJ Dr.,NA,Texas State University
2019-08-01,NA,2019-08-15,19024576,Burglary of Vehicle,Sewell Park,NA,Texas State University
2019-08-01,NA,2019-08-01,19022478,"Criminal TrespassWarning",Alkek Library,NA,Texas State University
2019-08-01,NA,2019-08-01,19022429,"Criminal TrespassWarning",Sewell Park,NA,Texas State University
2019-07-31,NA,2019-07-31,19022361,Burglary of Vehicle,San Jacinto Hall Parking Garage,NA,Texas State University
2019-07-31,NA,2019-07-31,19022362,"CriminalMischief>=$100<$750",Meadows Center,NA,Texas State University
2019-07-31,NA,2019-07-31,19022352,"Duty on StrikingFixture/HighwayLandscape",LBJ Parking Garage,NA,Texas State University
2019-07-30,NA,2019-07-30,19022274,"Duty on StrikingUnattended Vehicle",Academy Street,NA,Texas State University
2019-07-30,NA,2019-07-30,19022194,"Driving WhileIntoxicated",Thornton House,NA,Texas State University
2019-07-29,NA,2019-07-29,19022144,"Criminal TrespassWarning",Sewell Park,NA,Texas State University
2019-07-25,NA,2019-07-25,19021513,"CriminalMischief>=$100<$750",1251 N IH35,NA,Texas State University
2019-07-24,NA,2019-07-24,19021382,"Property Found ‐Recovered",Sewell Park,NA,Texas State University
2019-07-23,NA,2019-07-23,19021178,Warrant Service,400 Block N.  LBJ,NA,Texas State University
2019-07-21,NA,2019-07-21,19020976,Public Intoxication,Smith House,NA,Texas State University
2019-07-20,NA,2019-07-20,19020780,"Criminal Trespass:Property, Building, orAircraft",Sewell Park,NA,Texas State University
2019-07-18,NA,2019-07-18,19020459,Burglary ‐ Habitation,Laurel Hall,NA,Texas State University
2019-07-18,NA,2019-07-18,19020466,Fire Call,James Street,NA,Texas State University
2019-07-17,NA,2019-07-17,19020311,"Possession of DrugParaphernalia",Edward Gary Garage,NA,Texas State University
2019-07-17,NA,2019-07-17,19020394,"Possession of DrugParaphernalia","Chautauqua/Gaillardia HousingComplex",NA,Texas State University
2019-07-16,NA,2019-07-16,19020172,"Duty on StrikingUnattended Vehicle",UEC Reserve Parking Lot,NA,Texas State University
