date_reported,incident,time_occurred,case_number,date_occurred,time_reported,location,university
2014-03-14,"theft from building, dewick macphie dining hall, 25 latin way, medford/somerville campus",18:00,14tum‐168‐of,2014-03-13,NA,NA,Tufts University
2014-03-13,"larceny, other type, wilson house, 136 curtis st, medford/somerville campus",17:34,14tum‐167‐of,2014-03-13,NA,NA,Tufts University
2014-03-12,"destruction / damage / vandalism of property, bromfield‐pearson building, 503 boston ave, medford/somerville campus",11:06,14tum‐164‐of,2014-03-12,NA,NA,Tufts University
2014-03-12,"burglary / breaking and entering, miller hall, 210 packard ave, medford/somerville campus",13:45,14tum‐166‐of,2014-03-12,NA,NA,Tufts University
2014-02-27,"theft from building, south hall, 30 lower campus rd, medford/somerville campus",02:00,14tum‐134‐of,2014-02-27,NA,NA,Tufts University
2014-02-26,"theft from building, mayer campus center, 44 professors row, medford/somerville campus",20:47,14tum‐132‐of,2014-02-26,NA,NA,Tufts University
2014-02-24,"trespass of real property, curtis hall, 474 boston ave, medford/somerville campus",23:25,14tum‐14‐ar,2014-02-24,NA,NA,Tufts University
2014-02-23,"traffic, town by‐law offenses, professors row, medford/somerville campus",00:46,14tum‐121‐of,2014-02-23,NA,NA,Tufts University
2014-02-21,"trespass of real property, lewis hall, 85 packard ave, medford/somerville campus",04:07,14tum‐9‐ar,2014-02-21,NA,NA,Tufts University
2014-02-17,"theft from building, tisch library, 35 professors row, medford/somerville campus",16:46,14tum‐106‐of,2014-02-17,NA,NA,Tufts University
2014-02-17,"trespass of real property, dewick macphie dining hall, 25 latin way, medford/somerville campus",17:36,14tum‐108‐of,2014-02-17,NA,NA,Tufts University
2014-02-16,"theft from building, alpha epsilon pi, 45 sawyer ave, medford/somerville campus",02:30,14tum‐103‐of,2014-02-16,NA,NA,Tufts University
2014-02-10,"destruction / damage / vandalism of property, tisch library, 35 professors row, medford/somerville campus",16:00,14tum‐86‐of,2014-02-07,NA,NA,Tufts University
2014-02-09,"liquor law violation, tisch library roof (alex's place), 5r the green , medford/somerville campus",03:06,14tum‐6‐ar,2014-02-09,NA,NA,Tufts University
2014-02-09,"traffic, town by‐law offenses, 92 professors row, medford/somerville campus",01:23,14tum‐82‐of,2014-02-09,NA,NA,Tufts University
2014-02-08,"simple assault, theta delta chi fraternity house, 123 packard ave, medford/somerville campus",01:15,14tum‐78‐of,2014-02-08,NA,NA,Tufts University
2014-02-02,"forcible rape, zeta beta tau fraternity house, 126 packard ave, medford/somerville campus",00:20,14tum‐67‐of,2014-02-02,NA,NA,Tufts University
2014-02-01,"driving under the influence, olin language center, 180 packard ave, medford/somerville campus",00:34,14tum‐58‐of,2014-02-01,NA,NA,Tufts University
2014-02-01,"simple assault, anthony house, 14 professors row, medford/somerville campus",23:43,14tum‐61‐of,2014-01-31,NA,NA,Tufts University
2014-01-26,"burglary / breaking and entering, off campus, curtis ave, somerville",03:21,14tum‐43‐of,2014-01-26,NA,NA,Tufts University
2014-01-25,"simple assault, tufts admin building day care, 165 holland st, medford/somerville campus",12:00,14tum‐42‐of,2012-05-30,NA,NA,Tufts University
