case_number,date_reported,date_occurred,time_occurred,location,time_reported,incident,university
P-14-0001,2020-01-01,2014-01-01,01:32,SC 93 AND CHERRY ROAD              C             Cleared by Arrest,01:32,"90G POSSESSION OF ALCOHOL BY PERSON UNDER 21, OPEN CONTAINER 950 DRIVING UNDER SUSPENSION 1ST",Clemson University
P-14-0002,2020-01-05,2013-12-13,17:00,LEVER HALL                         C             Not Cleared,16:12,23H   PETIT LARCENY,Clemson University
P-14-0004,2020-01-06,2014-01-06,15:23,11B LIGHTSEY BRIDGE                C             Not Cleared,15:41,991 INFORMATION ONLY,Clemson University
P-14-0005,2020-01-06,2014-01-06,19:52,633 JOHNSTONE HALL                 C             Cleared by Arrest,19:52,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0007,2020-01-07,2014-01-07,20:11,103A LIGHTSEY BRIDGE               C             Cleared by Arrest,20:11,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-14-0008,2020-01-07,2014-01-07,20:25,LITTLEJOHN COLISEUM                C             Not Cleared,20:35,991 INFORMATION ONLY,Clemson University
P-14-0010,2020-01-08,2014-01-08,08:59,HUGO DRIVE                         A             Not Cleared,08:59,23H PETIT LARCENY,Clemson University
P-14-0011,2020-01-08,2014-01-08,20:43,10D5 BYRNES HALL                   C             Not Cleared,20:44,991 INFORMATION ONLY,Clemson University
P-14-0012,2020-01-08,2014-01-08,22:14,106 SANDERS HALL                   C             Cleared by Arrest,22:14,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0013,2020-01-09,2014-01-09,04:11,CALHOUN MANSION                    C             Not Cleared,04:11,991 INFORMATION ONLY,Clemson University
P-14-0015,2020-01-09,2014-01-08,17:00,PENLEY GOLF TRAINING FACILITY      A             Not Cleared,10:31,220 BURGLARY,Clemson University
P-14-0018,2020-01-09,2014-01-09,14:50,JERVEY MEADOWS (LOT 4)             C             Not Cleared,21:17,23F PETIT LARCENY,Clemson University
P-14-0019,2020-01-10,2014-01-10,01:03,BRYAN MALL                         C             Cleared by Arrest,01:03,90E PUBLIC DISORDERLY CONDUCT 90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0020,2020-01-10,2014-01-10,02:44,HENDRIX STUDENT CENTER             C             Cleared by Arrest,02:44,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0021,2020-01-10,2014-01-09,13:30,JERVEY PARKING LOT                 C             Not Cleared,10:35,23F PETIT LARCENY,Clemson University
P-14-0023,2020-01-10,2014-01-10,15:30,SCHILLETTER DINING HALL            C             Not Cleared,16:01,991 INFORMATION ONLY,Clemson University
P-14-0026,2020-01-10,2014-01-10,20:51,DONALDSON HALL 1ST FLOOR           C             Not Cleared,20:51,991 INFORMATION ONLY,Clemson University
P-14-0027,2020-01-10,2014-01-10,20:52,DONALDSON HALL 2ND FLOOR           C             Cleared by Arrest,20:52,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0028,2020-01-10,2014-01-10,00:00,400 CLEMSON HOUSE                  C             Not Cleared,21:00,991 INFORMATION ONLY,Clemson University
P-14-0029,2020-01-10,2014-01-10,22:34,SC HIGHWAY 93 & US HIGHWAY 76      C             Not Cleared,22:34,991 INFORMATION ONLY,Clemson University
P-14-0030,2020-01-10,2014-01-10,23:39,BRYAN MALL                         C             Cleared by Arrest,23:39,90G POSS OF BEER BY PERSON UNDER 21 / UNLAWFUL TRANSFER,Clemson University
P-14-0031,2020-01-11,2014-01-11,00:08,JERSEY DRIVE & CHERRY ROAD         C             Cleared by Arrest,00:08,90D DRIVING UNDER THE INFLUENCE 950 DRIVING UNDER SUSPENSION,Clemson University
P-14-0032,2020-01-11,2014-01-11,01:41,SANDERS HALL                       C             Cleared by Arrest,01:41,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0033,2020-01-11,2014-01-11,02:01,HIGHWAY 93 & NEWMAN ROAD           C             Cleared by Arrest,02:03,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0034,2020-01-11,2014-01-11,00:43,SANDERS HALL                       C             Cleared by Arrest,00:43,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0035,2020-01-11,2014-01-11,22:17,101 WANNAMAKER HALL                C             Cleared by Arrest,22:17,35A SIMPLE POSSESSION OF MARIJUANA,Clemson University
P-14-0036,2020-01-12,2014-01-12,00:53,MILLS ROAD & MCMILLAN RD           C             Cleared by Arrest,00:53,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0037,2020-01-12,2014-01-12,01:00,N7S CALHOUN COURTS                 C             Not Cleared,01:02,991 INFORMATION ONLY,Clemson University
P-14-0038,2020-01-12,2014-01-12,00:55,LIGHTSEY BRIDGE 18                         C             Cleared by Arrest,01:06,13A ASSAULT AND BATTERY OF A HIGH AND AGGRAVATED NATURE 13B ASSAULT AND BATTERY 3RD DEGREE 90E PUBLIC DISORDERLY CONDUCT 90N RESISTING ARREST WITH ASSAULT ON POLICE OFFICER,Clemson University
P-14-0039,2020-01-12,2014-01-12,01:34,CALHOUN COURTS                             C             Cleared by Arrest,01:34,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0040,2020-01-11,2014-01-11,22:50,YOUNG HALL 4TH FLOOR                       C             Cleared by Arrest,22:50,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0041,2020-01-12,2014-01-12,02:21,LIGHTSEY BRIDGE 11                         C             Not Cleared,02:21,991 INFORMATION ONLY,Clemson University
P-14-0042,2020-01-12,2014-01-12,20:54,GREEK QUAD PARKING AREA                    C             Cleared by Arrest,21:00,240 PETIT LARCENY,Clemson University
P-14-0043,2020-01-13,2014-01-09,15:00,BRADLEY HALL                               C             Cleared by Arrest,10:15,240 PETIT LARCENY,Clemson University
P-14-0044,2020-01-13,2014-01-13,12:27,JERVEY PARKING LOT                         C             Not Cleared,12:30,991 INFORMATION ONLY,Clemson University
P-14-0046,2020-01-14,2014-01-14,09:13,LONG HALL                                  C             Not Cleared,09:16,991 INFORMATION ONLY,Clemson University
P-14-0048,2020-01-14,2014-01-14,22:54,N7E CALHOUN COURTS                         C             Cleared by Arrest,22:54,35A SIMPLE POSSESSION OF MARIJUANA 35B DRUG PARAPHERNALIA,Clemson University
P-14-0049,2020-01-15,2014-01-15,05:57,HUGO DR                                    A             Not Cleared,05:57,991 INFORMATION ONLY (SUSPICIOUS ACTIVITY),Clemson University
P-14-0051,2020-01-15,2014-01-15,19:55,CALHOUN COURTS S02H                        C             Not Cleared,19:55,991 INFORMATION ONLY,Clemson University
P-14-0052,2020-01-15,2014-01-15,22:23,A832 JOHNSTONE HALL                        C             Not Cleared,22:23,991 INFORMATION ONLY,Clemson University
P-14-0054,2020-01-16,2014-01-11,21:00,CLEMSON HOUSE MOTORCYCLE PARKING AREA      C             Not Cleared,11:50,240 PETIT LARCENY,Clemson University
P-14-0055,2020-01-16,2014-01-16,20:38,CENTENNIAL BLVD                            A             Not Cleared,20:38,26B FINANCIAL TRANSACTION CARD FRAUD,Clemson University
P-14-0056,2020-01-16,2014-01-16,21:40,052D LIGHTSEY APARTMENTS BRIDGE      C             Cleared by Arrest,21:35,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-14-0057,2020-01-16,2014-01-16,22:12,WANNAMAKER HALL                      C             Not Cleared,22:12,991 INFORMATION ONLY,Clemson University
P-14-0058,2020-01-16,2014-01-16,22:51,301 COPE HALL                        C             Cleared by Arrest,22:52,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA 90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0059,2020-01-17,2014-01-17,01:17,BOWMAN FIELD & SC HIGHWAY 93         C             Cleared by Arrest,01:18,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0060,2020-01-17,2014-01-14,00:00,IPTAY TICKET OFFICE                  C             Not Cleared,11:00,991 INFORMATION ONLY,Clemson University
P-14-0062,2020-01-17,2014-01-17,15:10,P-4 PARKING LOT                      C             Not Cleared,15:43,290 MALICIOUS INJURY TO PERSONAL PROPERTY,Clemson University
P-14-0063,2020-01-17,2014-01-17,21:25,BRYAN MALL PARKING AREA              C             Cleared by Arrest,21:25,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0064,2020-01-17,2014-01-17,21:46,BRYAN MALL PARKING AREA              C             Cleared by Arrest,21:26,90G POSSESSION OF BEER BY PERSON UNDER 21,Clemson University
P-14-0065,2020-01-17,2014-01-17,21:55,BRYAN MALL PARKING LOT               C             Cleared by Arrest,21:55,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0066,2020-01-17,2014-01-17,22:30,MANNING HALL 6TH FLOOR              C             Cleared by Arrest,22:30,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0067,2020-01-18,2014-01-18,00:26,SC HIGHWAY 93 & NEWMAN ROAD          C             Cleared by Arrest,00:26,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-14-0068,2020-01-18,2014-01-17,23:30,LIFE SCIENCE BUILDING SIDEWALK       C             Not Cleared,00:56,11A CRIMINAL SEXUAL CONDUCT,Clemson University
P-14-0069,2020-01-18,2014-01-18,20:24,FIKE RECREATION HALL                 C             Not Cleared,20:27,23D PETIT LARCENY,Clemson University
P-14-0070,2020-01-18,2014-01-18,22:43,CHI DRIVE                            C             Cleared by Arrest,22:43,90G POSSESSION OF ALCOHOL BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0071,2020-01-19,2014-01-19,00:30,JOHNSTONE HALL (9TH FLOOR)           C             Cleared by Arrest,00:30,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0072,2020-01-18,2014-01-18,18:00,103 SUMTER #114-F LANE               C             Not Cleared,18:00,991 INFORMATION ONLY,Clemson University
P-14-0074,2020-01-20,2014-01-20,20:13,4B4 BARNETT HALL                     C             Not Cleared,20:13,753 UNLAWFUL USE OF TELEPHONE,Clemson University
P-14-0075,2020-01-21,2014-01-21,13:02,HENDRIX STUDENT CENTER BUS STOP      C             Not Cleared,13:02,998 ASSISTING ANOTHER AGENCY,Clemson University
P-14-0076,2020-01-21,2014-01-21,13:58,C-1 PARKING LOT                      C             Not Cleared,14:05,290 MALICIOUS INJURY TO PERSONAL PROPERTY,Clemson University
P-14-0077,2020-01-21,2014-01-21,23:15,115 MILLS ROAD APT ALLEY             C             Not Cleared,23:15,991 INFORMATION ONLY,Clemson University
P-14-0078,2020-01-22,1984-11-23,20:00,MAULDIN HALL                         C             Not Cleared,10:57,11B CRIMINAL SEXUAL CONDUCT WITH A MINOR 90P CONTRIBUTING TO THE DELINQUENCY OF A MINOR,Clemson University
P-14-0079,2020-01-23,2014-01-23,01:49,BYRNES HALL 8TH FLOOR                C             Cleared by Arrest,01:49,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0080,2020-01-23,2014-01-16,08:00,LIGHTSEY BRIDGE PARKING AREA         C             Not Cleared,09:19,991 INFORMATION ONLY,Clemson University
P-14-0082,2020-01-23,2014-01-23,13:43,CENTENNIAL BLVD                      C             Not Cleared,13:47,991 INFORMATION ONLY,Clemson University
P-14-0083,2020-01-23,2014-01-23,16:29,MCMILLAN ROAD & MILLS ROAD           C             Cleared by Arrest,16:30,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0084,2020-01-24,2014-01-24,10:39,HENDRIX STUDENT CENTER               C             Cleared by Arrest,10:42,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0085,2020-01-24,2013-12-13,16:00,CLEMSON HOUSE BICYCLE RACK           C             Not Cleared,12:11,23H PETIT LARCENY,Clemson University
P-14-0087,2020-01-24,2014-01-24,12:50,REDFERN HEALTH CENTER                C             Not Cleared,13:11,991 INFORMATION ONLY,Clemson University
P-14-0088,2020-01-24,2013-12-20,16:00,CAMPUS BEACH BOAT HOUSE               C             Not Cleared,13:47,23H PETIT LARCENY,Clemson University
P-14-0089,2020-01-24,2014-01-24,21:31,303 BENET HALL                        C             Cleared by Arrest,21:31,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-14-0090,2020-01-24,2014-01-24,22:17,204 GEER HALL                         C             Cleared by Arrest,22:17,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0091,2020-01-25,2014-01-25,00:30,8B5 LEVER HALL                        C             Cleared by Arrest,00:31,90G POSSESSION OF BEER BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0092,2020-01-25,2014-01-25,00:45,7A5 LEVER HALL                        C             Cleared by Arrest,00:45,90G POSSESSION OF LIQUOR BY PERSON UNDER 21 YEARS OLD,Clemson University
P-14-0093,2020-01-25,2014-01-25,10:45,GOLF PRACTICE FIELD                   C             Not Cleared,15:12,991 INFORMATION ONLY,Clemson University
P-14-0094,2020-01-25,2014-01-25,16:56,INDOOR TRACK                          C             Not Cleared,16:59,991 INFORMATION ONLY,Clemson University
P-14-0095,2020-01-25,2014-01-25,21:18,412 SANDERS HALL                      C             Cleared by Arrest,21:19,90G POSSESSION OF LIQUOR BY PERSON UNDER 21,Clemson University
P-14-0097,2020-01-26,2014-01-25,18:30,S6F CALHOUN COURTS                    C             Not Cleared,13:17,23H PETIT LARCENY,Clemson University
P-14-0103,2020-01-28,2014-01-28,15:12,203 SANDERS HALL                      C             Not Cleared,15:13,991 INFORMATION ONLY,Clemson University
P-14-0104,2020-01-28,2014-01-05,08:00,TILLMAN HALL BICYCLE RACK             C             Not Cleared,22:21,23H PETIT LARCENY,Clemson University
P-14-0105,2020-01-29,2014-01-29,00:00,CLEMSON HOUSE LOBBY                   C             Cleared by Arrest,00:00,35A SIMPLE POSSESSION OF MARIJUANA 35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-14-0106,2020-01-28,2014-01-28,23:45,BYRNES HALL 4TH FLOOR BATHROOM        C             Cleared by Arrest,23:49,90E PUBLIC DISORDERLY CONDUCT,Clemson University
P-14-0107,2020-01-29,2014-01-29,00:48,WILLIAMSON ROAD & HEISMAN STREET      C             Cleared by Arrest,00:48,290 MALICIOUS INJURY TO STATE PROPERTY,Clemson University
P-14-0108,2020-01-29,2014-01-29,02:52,CLEMSON HOUSE                         C             Not Cleared,02:52,991 INFORMATION ONLY,Clemson University
P-14-0110,2020-01-29,2014-01-29,16:32,HIGHWAY 93 & SIKES HALL BUS STOP       C             Not Cleared,16:38,998 ASSISTING ANOTHER AGENCY,Clemson University
P-14-0112,2020-01-30,2014-01-30,14:30,316 SANDERS HALL                       C             Not Cleared,15:07,35B POSSESSION OF DRUG PARAPHERNALIA,Clemson University
P-14-0113,2020-01-30,2014-01-30,19:06,SCHILLETER DINING HALL                 C             Not Cleared,19:06,23D PETIT LARCENY,Clemson University
P-14-0114,2020-01-31,2014-01-31,01:30,BYRNES HALL LOBBY                      C             Cleared by Arrest,01:34,90E PUBLIC DISORDERLY CONDUCT,Clemson University
