case_number,date_reported,incident,date_occurred,time_occurred,location,university,time_reported
1904332,2019-12-30,"Criminal Trespass, Property Damage",2019-12-20,06:00,"Emory West Campus, 1256 Briarcliff Rd NE, Atlanta 30322",Emory University,NA
1904324,2019-12-29,"Aggravated Stalking; Criminal Trespass, Property Damage",2019-12-27,06:00,"Overlook Bldg, 855 Emory Point Dr, Atlanta 30329",Emory University,NA
1904316,2019-12-26,Theft by Deception ($1500 or Less),2019-12-26,12:19,"Emory Univ Hospital Tower, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904297,2019-12-23,"Criminal Trespass, Property Damage",2019-12-23,03:00,"Clairmont URC, Bldg D, 2405 Dooley Dr, Atlanta 30322",Emory University,NA
1904294,2019-12-21,Entering an Auto; Criminal Trespass-Property Damage,2019-12-21,11:30,"Children's Healthcare of Atlanta-Egleston Hospital, Parking Deck, 1405 Clifton Rd NE, Atlanta 30329",Emory University,NA
1904291,2019-12-21,Theft by Deception (Over $1500),2019-12-21,16:00,"Emory Point, 855 Emory Point Dr, Atlanta 30329",Emory University,NA
1904283,2019-12-20,Harassing Communications,2019-08-30,15:00,"Emory University, 201 Dowman Dr, Atlanta 30322",Emory University,NA
1904282,2019-12-20,Peeping Tom,2019-12-08,02:30,"Clairmont URC, Bldg A, 2405 Dooley Dr, Atlanta 30322",Emory University,NA
1904279,2019-12-20,"Criminal Trespass, Property Damage",2019-12-20,11:30,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904274,2019-12-20,Arrest: Criminal Trespass-Individual,2019-12-20,03:23,"Woodruff Memorial Bldg, 101 Woodruff Cir, Atlanta 30322",Emory University,NA
1904271,2019-12-19,Entering an Auto,2019-12-19,16:15,"Health Sciences Research Bldg Loading Dock, 1760 Haygood Dr, Atlanta 30322",Emory University,NA
1904269,2019-12-19,"Criminal Trespass, Property Damage",2019-12-19,14:02,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904267,2019-12-19,Entering an Auto; Criminal Trespass-Property Damage,2019-12-19,07:30,"Lowergate East Parking Deck, 1717 Lowergate Dr, Atlanta 30322",Emory University,NA
1904261,2019-12-19,Arrest: Disorderly Conduct,2019-12-19,02:15,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904259,2019-12-18,"Criminal Trespass, Property Damage",2019-12-18,16:11,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904255,2019-12-18,Financial Transaction Card Theft; Theft of Lost or Mislaid Property ($1500 or Less),2019-12-17,22:00,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1904253,2019-12-17,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-12-17,22:45,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1904245,2019-12-16,"Criminal Trespass, Property Damage",2019-12-16,16:27,"Starvine Parking Deck, 1945 Starvine Way, Atlanta 30322",Emory University,NA
1904244,2019-12-16,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-12-08,00:01,"Evans Hall, 4 Eagle Row, Atlanta 30322",Emory University,NA
1904243,2019-12-16,"Theft by Taking (Bicycle, Valued $1500 or Less)",2019-12-16,13:56,"Woodruff Residential Center, 1495 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904236,2019-12-15,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-12-15,20:30,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",Emory University,NA
1904233,2019-12-15,"Theft by Shoplifting, Felony",2019-12-15,15:42,"Barnes and Noble Bookstore, 1390 Oxford Rd, Atlanta 30322",Emory University,NA
1904229,2019-12-15,Peeping Tom,2019-12-15,02:30,"Clairmont URC, Bldg C, 2405 Dooley Dr, Atlanta 30322",Emory University,NA
1904225,2019-12-14,Battery,2019-12-14,16:10,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904223,2019-12-14,"Theft by Taking (From Bldg, Valued Over $1500)",2019-12-13,05:00,"Woodruff Library, 540 Asbury Cir, Atlanta 30322",Emory University,NA
1904212,2019-12-13,Arrest: Criminal Trespass-Individual,2019-12-13,19:46,"Student Activity and Academic Center, 1946 Starvine Way, Atlanta 30322",Emory University,NA
1904205,2019-12-13,Financial Transaction Card Theft,2019-12-12,14:00,"Emory Univ Hospital, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904203,2019-12-12,"Criminal Trespass, Property Damage",2019-12-12,19:41,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904193,2019-12-11,"Theft by Taking (From Bldg, Value $1500 or Less)",2019-12-11,16:00,"Claudia Nance Rollins School of Public Health, 401 Rollins Way, Atlanta 30322",Emory University,NA
1904192,2019-12-11,Financial Transaction Card Theft,2019-11-14,12:00,"Emory Univ Hospital Tower, Valet Parking, 1364 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904187,2019-12-10,"Criminal Trespass, Property Damage",2019-12-10,22:12,"Dickey Dr at Tarbutton Gate, Atlanta 30322",Emory University,NA
1904185,2019-12-10,Theft of Lost or Mislaid Property (Valued $1500 or Less),2019-12-02,00:00,"Budd Terrace, 1833 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904177,2019-12-10,"Simple Battery, Stalking, Dating Violence",2019-11-01,00:00,"Fraternity House, 10 Eagle Row, Atlanta 30322",Emory University,NA
1904176,2019-12-09,Theft by Taking (Motor Vehicle - Other Vehicles),2019-12-09,03:45,"Campus Crossings at Briarcliff, Parking Deck, 1649-1659 Briarcliff Rd NE, Atlanta 30306",Emory University,NA
1904174,2019-12-09,Entering an Auto,2019-12-04,00:00,"Peavine Parking Deck, 27 Eagle Row, Atlanta 30322",Emory University,NA
1904162,2019-12-08,Stalking,2019-12-08,22:45,"Cliff Shuttle Lot, 1834-1856 Johnson Rd, 30322",Emory University,NA
1904157,2019-12-08,"Criminal Trespass, Property Damage",2019-12-08,19:30,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904144,2019-12-07,Peeping Tom,2019-12-07,03:00,"Clairmont URC, Bldg A, 2405 Dooley Dr, Atlanta 30322",Emory University,NA
1904134,2019-12-06,Impersonating a Public Official,2019-12-06,14:41,"Modern Languages Bldg, 532 Kilgo Cir, Atlanta 30322",Emory University,NA
1904117,2019-12-05,Battery,2019-12-05,11:45,"Wesley Woods Hospital, 1821 Clifton Rd NE, Atlanta 30322",Emory University,NA
1904114,2019-12-05,Simple Battery,2019-12-05,08:05,"Emory Clinic A, Valet Parking, 1365-A Clifton Rd NE, Atlanta 30322",Emory University,NA
