Criminal Mischief,2015-01224,09/01/2015 00:00 A.M.,09/01/2015 00:00 A.M.,MMC,Apartments Bldg F,Closed
Arrest/TPW,2015-01226,09/01/2015 11:15 A.M.,09/01/2015 11:15 A.M.,MMC,Green Library,Closed
"",,,,,Hospitality,
Information Report,2015-01227,09/01/2015 12:32 P.M.,09/01/2015 12:32 P.M.,BBC,,Closed
"",,,,,Management,
"",,,,,Glen Hubert Library,
Property Damaged,2015-01230,09/01/2015 05:02 P.M.,09/01/2015 05:02 P.M.,BBC,,Closed
"",,,,,BBC,
Information Report,2015-01231,09/01/2015 06:31 P.M.,09/01/2015 06:31 P.M.,MMC,11200 SW 8TH ST,Closed
Information Report,2015-01232,09/01/2015 06:32 P.M.,09/01/2015 06:32 P.M.,MMC,11200 SW 8TH ST,Closed
Criminal Mischief,2015-01233,09/01/2015 08:18 P.M.,09/01/2015 08:18 P.M.,MMC,Lot 5,Closed
Information Report,2015-01237,09/02/2015 12:56 P.M.,09/02/2015 12:56 P.M.,MMC,Primera Casa,Closed
"",,,,,Wolfe University,
Arrest/Theft,2015-01238,09/02/2015 03:46 P.M.,09/02/2015 03:46 P.M.,BBC,,Closed
"",,,,,Center,
Narcotics Violation,2015-01240,09/02/2015 04:32 P.M.,09/02/2015 04:32 P.M.,MMC,Lakeview Housin North,Closed
Narcotics Violation,2015-01241,09/02/2015 05:42 P.M.,09/02/2015 05:42 P.M.,MMC,Lakeview Housin North,Closed
Information Report,2015-01242,09/02/2015 05:54 P.M.,09/02/2015 05:54 P.M.,MMC,Parkview Housing East,Closed
Disturbance/Criminal,,,,,Wolfe University,
"",2015-01244,09/02/2015 08:55 P.M.,09/02/2015 08:55 P.M.,BBC,,Open
Mischief,,,,,Center,
Fraud,2015-01248,09/03/2015 11:28 A.M.,09/03/2015 11:28 A.M.,MMC,Market Place,Open
Theft/Bookbag,2015-01249,09/03/2015 12:26 P.M.,09/03/2015 12:26 P.M.,MMC,Graham Center,Open
Conduct Investigation,2015-01250,09/03/2015 12:57 P.M.,09/03/2015 12:57 P.M.,MMC,Green Library,Closed
"",,,,OFF,1001 WASHINGTON,
Conduct Investigation,2015-01251,09/03/2015 02:04 P.M.,09/03/2015 02:04 P.M.,,,Closed
"",,,,CAMPUS,AVE,
"",,,,,Preforming Arts,
Theft/Bicycle,2015-01252,09/03/2015 04:11 P.M.,09/03/2015 04:11 P.M.,MMC,,Open
"",,,,,Center,
Theft/Iphone,2015-01253,09/03/2015 04:25 P.M.,09/03/2015 04:25 P.M.,MMC,Parking Garage 6,Open
"",,,,,Modesto A. Maidique,
Information Report,2015-01254,09/03/2015 07:47 P.M.,09/03/2015 07:47 P.M.,MMC,,Closed
"",,,,,Campus,
Information Report,2015-01256,09/04/2015 09:46 A.M.,09/04/2015 09:46 A.M.,MMC,Gold Garage,Closed
Theft/3 Paddle Boards,2015-01261,09/05/2015 02:33 P.M.,09/05/2015 02:33 P.M.,BBC,Aquatic Center,Open
"",,,,,SW 107TH AVE/SW,
Information Report,2015-01263,09/06/2015 04:57 A.M.,09/06/2015 04:57 A.M.,MMC,,Closed
"",,,,,8TH ST,
Information Report,2015-01264,09/06/2015 11:22 A.M.,09/06/2015 11:22 A.M.,BBC,Bay Vista Housing,Closed
Information Report,2015-01265,09/06/2015 07:22 P.M.,09/06/2015 07:22 P.M.,MMC,Owa Ehan,Closed
Conduct Investigation,2015-01266,09/06/2015 09:28 P.M.,09/06/2015 09:28 P.M.,MMC,Gold Garage,Closed
Conduct Investigation,2015-01267,09/06/2015 09:54 P.M.,09/06/2015 09:54 P.M.,MMC,Red Garage,Closed
"",,,,,US Century Bank,
Found Property/Bullet Casings,2015-01274,09/08/2015 01:29 P.M.,09/08/2015 01:29 P.M.,MMC,,Closed
"",,,,,Arena,
Conduct Investigation,2015-01275,09/08/2015 02:21 P.M.,09/08/2015 02:21 P.M.,CEAS,Engineering Center,Closed
Theft/Panther ID,2015-01279,09/08/2015 05:43 P.M.,09/08/2015 05:43 P.M.,MMC,Green Library,Open
Disturbance,2015-01280,09/08/2015 08:56 P.M.,09/08/2015 08:56 P.M.,MMC,University Tower,Closed
"",,,,,Modesto A. Maidique,
Information Report,2015-01288,09/10/2015 11:33 A.M.,09/10/2015 11:33 A.M.,MMC,,Closed
"",,,,,Campus,
Theft,2015-01289,09/10/2015 11:38 A.M.,09/10/2015 11:38 A.M.,MMC,Graham Center,Open
"",,,,,Hospitality,
Theft/Iphone,2015-01291,09/10/2015 01:08 P.M.,09/10/2015 01:08 P.M.,BBC,,Open
"",,,,,Management,
Theft/Debit Card,2015-01292,09/10/2015 01:29 P.M.,09/10/2015 01:29 P.M.,MMC,Market Place,Open
"",,,,,Panther Residence,
Information Report,2015-01295,09/10/2015 06:16 P.M.,09/10/2015 06:16 P.M.,MMC,,Closed
"",,,,,Hall,
Auto Theft,2015-01299,09/11/2015 11:26 A.M.,09/11/2015 11:26 A.M.,MMC,Lot 6,Open
Conduct Investigation,2015-01301,09/11/2015 02:28 P.M.,09/11/2015 02:28 P.M.,MMC,Green Library,Closed
Theft/Master Key,2015-01302,09/11/2015 02:12 P.M.,09/11/2015 02:12 P.M.,BBC,Glenn Hubert Library,Closed
