Burglary,2017-0101-0001,01/01/2017 00:56 A.M.,01/01/2017 00:56 A.M.,MMC,Owa Ehan,Cosed,Open
Burglary,2017-0103-0001,01/03/2017 11:49 A.M.,01/03/2017 11:49 A.M.,MMC,OWA EHAN,Open,Unknown
Conduct Investigation,2017-0104-0002,01/04/2017 10:58 A.M.,01/04/2017 10:58 A.M.,MMC,Modesto A. Maidique,Closed,No
"",,,,,Campus,,
Information Report,2017-0104-0003,01/04/2017 01:52 P.M.,01/04/2017 01:52 P.M.,MMC,Management & Advanced,Closed,No
"",,,,,Research,,
Burglary/Flashdrive and Ipad,2017-0105-0001,01/05/2017 10:56 A.M.,01/05/2017 10:56 A.M.,MMC,Wellness and Fitness,Open,No
"",,,,,Center,,
Locate Vehicle/Person,2017-0105-0002,01/05/2017 01:45 P.M.,01/05/2017 01:45 P.M.,BBC,Bayview Housing,Closed,Unknown
Sick/Injured Person,2017-0105-0003,01/05/2017 08:39 P.M.,01/05/2017 08:39 P.M.,MMC,Parkview East,Closed,Yes
Fraud,2017-0106-0001,01/06/2017 09:38 A.M.,01/06/2017 09:38 A.M.,MMC,PG5 Market Station,Open,Yes
Investigation with Possible Injuries,2017-0106-0003,01/06/2017 03:46 P.M.,01/06/2017 03:46 P.M.,EC,Engineering Center,Closed,No
"",,,,,(CEAS),,
Conduct Investigation,2017-0106-0004,01/06/2017 04:52 P.M.,01/06/2017 04:52 P.M.,MMC,Ernest R. Graham Center,Closed,Unknown
Sick/Injured Person,2017-0106-0005,01/06/2017 04:04 P.M.,01/06/2017 04:04 P.M.,MMC,Ernest R. Graham Center,Closed,No
Narcotics Investigation,2017-0108-0001,01/07/2017 11:44 P.M.,01/07/2017 11:44 P.M.,MMC,Panther Hall,Closed,Yes
Dead on Arrival,2017-0109-0001,01/09/2017 07:02 A.M.,01/09/2017 07:02 A.M.,MMC,Primera Casa-Charles,Closed,No
"",,,,,Perry,,
Stolen Vehicle,2017-0109-0002,01/09/2017 11:19 A.M.,01/09/2017 11:19 A.M.,MMC,Parkview West,Open,Yes
Information Report,2017-0109-0003,01/09/2017 10:53 A.M.,01/09/2017 10:53 A.M.,MMC,University Apartments,Closed,Yes
"",,,,,Bldg A,,
Information Report,2017-0109-0004,01/09/2017 03:06 P.M.,01/09/2017 03:06 P.M.,OFF CAMPUS,11323 SW 7TH ST,Closed,Unknown
Theft/FIU One Card,2017-0109-0007,01/09/2017 05:21 P.M.,01/09/2017 05:21 P.M.,MMC,Ernest R. Graham Center,Open,Yes
Conduct Investigation,2017-0109-0008,01/09/2017 08:28 P.M.,01/09/2017 08:28 P.M.,MMC,Student Academic,Open,Unknown
"",,,,,Success Center,,
Assault/Battery,2017-0109-0009,01/09/2017 10:36 P.M.,01/09/2017 10:36 P.M.,MMC,University Towers,Closed,Yes
Theft/Laptop,2017-0111-0003,01/11/2017 11:24 A.M.,01/11/2017 11:24 A.M.,MMC,Graham Center,Open,Yes
Arrest/DUI,2017-0111-0011,01/11/2017 11:03 P.M.,01/11/2017 11:03 P.M.,OFF CAMPUS,SW 107TH AVE/SW 16TH,Closed,Yes
"",,,,,ST,,
Conduct Investigation,2017-0111-0012,01/11/2017 11:46 P.M.,01/11/2017 11:46 P.M.,OFF CAMPUS,SW 107TH AVE/SW 16TH,Closed,Yes
"",,,,,ST,,
