RESISTING W/O VIOLENCE - ARREST,2019-0102-0003,1/2/19 2:23PM,1/2/19 2:23PM,MMC,PUBLIC SAFETY (PG5),CLOSED,NO
"",,,,,BISCAYNE BAY,,
SHOOTING W/POSSIBLE INJURIES,2019-0103-0001,1/3/19 1:35PM,1/3/19 1:35PM,BBC,,CLOSED,NO
"",,,,,CAMPUS,,
FRAUD,2019-0104-0002,1/4/19 3:29PM,1/4/19 3:29PM,MMC,PANTHER HALL,OPEN,YES
BICYCLE THEFT,2019-0107-0003,1/7/19 2:12PM,1/7/19 2:12PM,MMC,PRIMERA CASA (PC),OPEN,YES
"",,,,,MODESTO A,,
THEFT,2019-0108-0001,1/8/19 8:24AM,1/8/19 8:24AM,MMC,,CLOSED,YES
"",,,,,MAIDIQUE CAMPUS,,
CRIMINAL MISCHIEF,2019-0108-0002,1/8/19 10:42AM,1/8/19 10:42AM,MMC,BLUE GARAGE (PG2),OPEN,YES
"",,,,,GOLD GARAGE (PG1) -,,
HIT & RUN,2019-0108-0005,1/8/19 2:10PM,1/8/19 2:10PM,MMC,,OPEN,YES
"",,,,,1ST FLR,,
THEFT,2019-0108-0007,1/8/19 3:38PM,1/8/19 3:38PM,MMC,FROST MUSEUEM,OPEN,YES
NARCOTICS INVESTIGATION,2019-0109-0003,1/9/19 1:47PM,1/9/19 1:47PM,MMC,LAKEVIEW SOUTH,OPEN,UNKNOWN
NARCOTICS INVESTIGATION,2019-0109-0004,1/9/19 1:49PM,1/9/19 1:49PM,MMC,LAKEVIEW SOUTH,OPEN,UNKNOWN
STOLEN VEHICLE,2019-0109-0007,1/9/19 6:53PM,1/9/19 6:53PM,MMC,LOT 6 - 6D,OPEN,YES
TRESPASS WARNING ISSUED,2019-0110-0001,1/10/19 12:46AM,1/10/19 12:46AM,MMC,GREEN LIBRARY,CLOSED,NO
THEFT,2019-0110-0002,1/10/19 8:43AM,1/10/19 8:43AM,MMC,GREEN LIBRARY,OPEN,YES
NARCOTICS INVESTIGATION,2019-0110-0005,1/10/19 2:32PM,1/10/19 2:32PM,MMC,LOT 6 - 6C,CLOSED,YES
"",,,,,ENGINEERING,,
CRIMINAL MISCHIEF,2019-0110-0006,1/10/19 4:26PM,1/10/19 4:26PM,EC,,OPEN,YES
"",,,,,CENTER - LOT 1,,
"",,,,,GOLD GARAGE (PG1) -,,
HIT & RUN,2019-0110-0007,1/10/19 7:38PM,1/10/19 7:38PM,MMC,,OPEN,NO
"",,,,,1ST LEVEL,,
Assault - Arrest,2019-0111-0005,01/11/2019 12:06 P.M,01/11/2019 12:06 P.M,CEAS,Engineering Center,Closed,Yes
Narcotics Investigation,2019-0111-0007,01/11/2019 04:06 P.M,01/11/2019 04:06 P.M,MMC,Everglades Hall,Open,Yes
Hit and Run,2019-0111-0009,01/11/2019 06:14 P.M,01/11/2019 06:14 P.M,MMC,Parking Lot #9,Open,Yes
"",,,,,Parkview Housing -,,
Theft,2019-0111-0010,01/11/2019 06:12 P.M,01/11/2019 06:12 P.M,MMC,,Open,Yes
"",,,,,West,,
"",,,,,OCEAN BANK,,
Theft - bicycle,2019-0112-0004,01/12/2019 8:51 P.M.,01/12/2019 8:51 P.M.,MMC,CONVOCATION,OPEN,Y
"",,,,,CENTER,,
Hit & Run,2019-0114-0003,01/14/2019 1:40 P.M.,01/14/2019 1:40 P.M.,BBC,LOT 4 - BBC,OPEN,U
Sex Offense - Indecent Exposure,2019-0114-0004,01/14/2019 3:33 P.M.,01/14/2019 3:33 P.M.,MMC,WEST 1,OPEN,Y
Theft/Skateboard,2019-0115-0003,01/15/2019 12:36 P.M.,01/15/2019 12:36 P.M.,MMC,PG5 -  Market Station,Open,Yes
Theft,2019-0116-0002,01/16/2019  9:00 A.M,1/16/2019  9:00:00 A.M,MMC,GREEN LIBRARY,Open,Yes
"",,,,,Wellness & Fitness,,
Theft,2019-0116-0006,01/16/2019 2:28 P.M,01/16/2019 2:28 P.M,MMC,,Open,Yes
"",,,,,Center,,
"",,,,,Academic Health,,
Criminal Mischief,2019-0116-0009,01/16/2019 10:35 P.M,01/16/2019 10:35 P.M,MMC,,Open,Yes
"",,,,,Center #4,,
"",,,,,School of International,,
Theft/Cash,2019-0117-0001,01/17/2019 01:35 A.M.,01/17/2019 01:35 A.M.,MMC,,Open,Yes
"",,,,,& Public Affairs,,
"",,,,,Ernest R. Graham,,
Theft/Headphones,2019-0117-0002,01/17/2019 08:58 A.M.,01/17/2019 08:58 A.M.,MMC,,Open,Unknown
"",,,,,Center,,
"",,,,,Wellness & Fitness,,
Theft/Bookbag/iPad,2019-0117-0006,01/17/2019 03:35 P.M.,01/17/2019 03:35 P.M.,MMC,,Open,Yes
"",,,,,Center,,
"",,,,,SW 107TH Ave/SW,,
Arrest/Bench Warrant,2019-0118-0005,01/18/2019 07:10 A.M.,01/18/2019 07:10 A.M.,MMC,,Closed,No
"",,,,,11th St,,
"",,,,,Ernest R. Graham,,
Arrest/Fraud,2019-0118-0007,01/18/2019 02:45 P.M.,01/18/2019 02:45 P.M.,MMC,,Closed,Yes
"",,,,,Center,,
Arrest/Disorderly Conduct,2019-0118-0009,01/18/2019 04:30 P.M.,01/18/2019 04:30 P.M.,CEAS,Engineering Center,Closed,No
Conduct Investigation/Marijuana,2019-0118-0012,01/18/2019 08:16 P.M.,01/18/2019 08:16 P.M.,MMC,Lakeview North,UNKNOWN,UNKNOWN
Conduct Investigation/Stalking,2019-0118-0013,01/18/2019 08:51 P.M.,01/18/2019 08:51 P.M.,MMC,PG5 - Market Staion,UNKNOWN,Yes
Assault/Battery,2019-0121-0004,01/21/2019 07:12 P.M.,01/21/2019 07:12 P.M.,MMC,Everglades Hall,Open,Yes
"",,,,,Modesto A. Maidique,,
Fraud,2019-0122-0002,01/22/2019 12:56 P.M.,01/22/2019 12:56 P.M.,MMC,,Open,Yes
"",,,,,Campus,,
Theft,2019-0122-0004,01/22/2019 2:19 P.M.,01/22/2019 2:19 P.M.,MMC,Lakeview South,Open,Yes
"",,,,,Academic Health,,
Theft,2019-0122-0007,01/22/2019 10:32 P.M.,01/22/2019 10:32 P.M.,MMC,,Open,Yes
"",,,,,Center 2,,
Assault - Arrest,2019-0123-0006,01/23/2019 04:53 P.M.,01/23/2019 04:53 P.M.,BBC,Bayview Housing,Closed,Yes
Narcotics Investigation,2019-0124-0003,01/24/2019 02:03 P.M.,01/24/2019 02:03 P.M.,BBC,Bayview Housing,Closed,Unknown
Fraud,2019-0124-0004,01/24/2019 05:02 P.M.,01/24/2019 05:02 P.M.,MMC,Lakeview North,Closed,Yes
