id,date,description,location,address,disposition,narrative,status,latitude,longitude
1800000223,2018-01-01 23:00:00.0,TRAFFIC STOP,,GEDDES AVE / WASHTENAW AVE,VERBAL WARNING<br>,"During a traffic stop, the driver was warned for not having vehicle insurance and never registering the vehicle. The vehicle was impounded.",CASE FOLDER #1890300006 - CLOSED AS OF 11/04/2020 ,42.27743481,-83.73345224
1800000181,2018-01-01 19:28:00.0,PROPERTY DAMAGE - ACCIDENTAL,MUNGER GRADUATE RESIDENCES,540 THOMPSON ST,TOT MAINT<br>,"Interior exit sign was found damaged. No timeframe. 
",CASE FOLDER #1890300007 - CLOSED AS OF 01/16/2018 ,42.27468175,-83.74375100
1800000143,2018-01-01 15:54:00.0,TRAFFIC STOP / VCSA,,S STATE ST / BRIARWOOD CIR,<br>,"During a traffic stop, a subject was arrested and released pending warrant authorization for possession of marijuana. 
",CASE FOLDER #1890300005 - CLOSED AS OF 06/26/2018 WITH ARREST ON 01/01/2018,42.24087355,-83.73915762
1800000533,2018-01-02 23:43:00.0,DRUG VIOLATION - VCSA,SOUTH QUADRANGLE,600 E MADISON ST,GOA/UTL<br>,Report of smell of marijuana.  Source could not be located.,  ,42.27370450,-83.74213790
1800000529,2018-01-02 23:36:00.0,DRUG VIOLATION - VCSA,WEST QUADRANGLE,541 THOMPSON ST,GOA/UTL<br>,Report of smell of marijuana.  Source could not be located.,  ,42.27493073,-83.74257361
1800000505,2018-01-02 21:51:00.0,DRUG VIOLATION - VCSA,SOUTH QUADRANGLE,600 E MADISON ST,GOA/UTL<br>,Report of smell of marijuana.  Source could not be located.,  ,42.27370450,-83.74213790
1800000493,2018-01-02 20:58:00.0,PROPERTY DAMAGE - ACCIDENTAL,400 NORTH INGALLS BUILDING,400 N INGALLS ST,TOT MAINT<br>,"Water leaking found from frozen water pipe. Turned over to maintenance for response. 
",CASE FOLDER #1890300019 - CLOSED AS OF 01/17/2018 ,42.28401716,-83.73773340
1800000486,2018-01-02 20:37:00.0,PROPERTY DAMAGE - ACCIDENTAL,NORTH CAMPUS RESEARCH COMPLEX BUILDING 10,2800 PLYMOUTH RD,TOT MAINT<br>,"Water found in area determined to originate from a cooler, which was taken out of service. 
",  ,42.30038908,-83.70673732
1800000473,2018-01-02 20:14:00.0,DRUG VIOLATION - VCSA,LLOYD ALICE CROCKER HALL,100 S OBSERVATORY ST,UTL/GOA<br>,Report of smell of marijuana.  Source could not be located.,  ,42.28127172,-83.73167473
1800000415,2018-01-02 15:46:00.0,FRAUDULENT ACTIVITY,GALLERIA BUILDING,1214 S UNIVERSITY AVE,SRMS UPDATE<br>,"Employee reported a fraudulent unemployment claim had been made using her personal information. 
",  ,42.27467877,-83.73387941
1800000394,2018-01-02 14:08:00.0,LARCENY,MASON HALL,419 S STATE ST,<br>,"Subject reported a personal check had been stolen from her backpack in Nov 2017 and fraudulently cashed. 
",CASE FOLDER #1890300017 - CLOSED AS OF 02/15/2018 ,42.27708068,-83.73948858
1800000393,2018-01-02 13:55:00.0,CRASH - OFF ROAD,LOT NC13,2100 BONISTEEL BLVD,<br>,Two-vehicle crash resulted in no injuries. ,CASE FOLDER #1890300016 - CLOSED AS OF 01/17/2018 ,42.29011463,-83.71867378
1800000302,2018-01-02 08:12:00.0,CRASH ,WALL STREET EAST PARKING STRUCTURE,1041 WALL ST,<br>,"Vehicle reportedly struck a parked vehicle Dec 29 and then left without reporting. Minor damage to vehicle. 
",CASE FOLDER #1890300014 - CLOSED AS OF 01/17/2018 ,42.28817941,-83.73516468
1800000300,2018-01-02 08:07:00.0,CRASH - OFF ROAD,LOT NC63,2901 HUBBARD RD,<br>,"Vehicle struck a parked vehicle resulting in no injuries. 
",CASE FOLDER #1890300010 - CLOSED AS OF 01/12/2018 ,42.29569137,-83.70212259
