Report Number,Date Reported (Reported on),Time Reported (Reported on),Date  Occurred (Incident From),Time Occurred (Incident From),Incident Type,Location
15893,7/12/14,0:00,7/10/14,0:00,Theft,Harding Hospital
15892,7/12/14,0:00,7/7/14,0:00,Theft,Ross Heart Hospital
15870,7/10/14,0:00,6/28/14,0:00,Theft,James Cancer Hospital
15855,7/9/14,0:00,6/27/14,0:00,Theft,OSU East Medical Center
15848,7/8/14,0:00,7/8/14,0:00,Theft,UHE Tower
15830,7/7/14,0:00,7/5/14,0:00,Theft,UHE Tower
15812,7/4/14,0:00,7/4/14,0:00,Theft,Doan Hall
15804,7/3/14,0:00,6/14/14,0:00,Theft,Rhodes Hall
15801,7/2/14,0:00,7/1/14,0:00,Theft,Rhodes Hall
15782,6/30/14,0:00,6/10/14,0:00,Theft,Doan Hall
15772,6/28/14,0:00,6/12/14,0:00,Theft,UHE Tower
15769,6/28/14,0:00,6/25/14,0:00,Theft,Emergency Department 
15767,6/28/14,0:00,6/23/14,0:00,Theft,UHE Tower
15758,6/27/14,0:00,6/26/14,0:00,Theft,Harding Hospital
15757,6/27/14,0:00,6/27/14,0:00,Theft,Ross Heart Hospital
15744,6/25/14,0:00,6/20/14,0:00,Theft,UHE Tower
15737,6/24/14,0:00,6/24/14,0:00,Theft,Rhodes Hall
15636,6/14/14,0:00,6/14/14,0:00,Theft,OSU Medical Center 395 Building
15632,6/14/14,0:00,6/13/14,0:00,Theft,Ross Heart Hospital
15620,6/13/14,0:00,6/10/14,0:00,Theft,UHE Tower
15587,6/10/14,0:00,6/10/14,0:00,Theft,Martha Moorhouse
15571,6/8/14,0:00,6/7/14,0:00,Theft,Emergency Department 
15561,6/7/14,0:00,6/7/14,0:00,Theft,Rhodes Hall
15546,6/6/14,0:00,6/6/14,0:00,Theft,Carepoint East
15541,6/5/14,0:00,6/5/14,0:00,Theft,James Cancer Hospital
15540,6/5/14,0:00,6/2/14,0:00,Theft,Harding Hospital
15535,5/27/14,0:00,5/27/14,0:00,Theft,Rhodes Hall
15533,6/4/14,0:00,6/4/14,0:00,Theft,Rhodes Hall
15531,6/4/14,0:00,6/4/14,0:00,Theft,UHE Tower
15527,6/3/14,0:00,6/3/14,0:00,Theft,Rhodes Hall
15523,6/3/14,0:00,6/2/14,0:00,Theft,James Cancer Hospital
15497,5/31/14,0:00,5/29/14,0:00,Theft,Doan Hall
15492,5/30/14,0:00,5/28/14,0:00,Theft,Rhodes Hall
