Report Number,Date Reported (Reported on),Date  Occurred (Incident From),Incident Type
17-71,1/10/17,1/10/17,Supplement
17-6255,12/31/17,12/31/17,Assist Other Agency
17-6251,12/31/17,12/31/17,Theft
17-6250,12/31/17,12/30/17,Theft (From Auto)
17-6245,12/30/17,12/30/17,Traffic Crash-Property Damage
17-6244,12/30/17,12/30/17,Aggravated Robbery
17-6243,12/30/17,12/27/17,Theft
17-6242,12/30/17,12/27/17,Theft
17-6241,12/30/17,12/30/17,Criminal Simulation
17-6240,12/30/17,12/30/17,Possession Of Drugs
17-6230,12/28/17,12/23/17,Theft (Of Bicycle)
17-6225,12/28/17,12/28/17,Possessing Drug Abuse Instruments
17-6217,12/28/17,12/28/17,Administrative Information
17-6216,12/28/17,12/28/17,Ill Aided
17-6214,12/27/17,12/27/17,Assist Other Agency
17-6211,12/27/17,12/27/17,Theft
17-6210,12/27/17,12/22/17,Theft (From Auto)
17-6209,12/27/17,12/22/17,Criminal Damaging
17-6207,12/27/17,12/27/17,Disorderly Conduct
17-6199,12/25/17,12/25/17,Possessing Drug Abuse Instruments
17-6195,12/24/17,12/24/17,Administrative Information
17-6194,12/24/17,12/24/17,Administrative Information
17-6193,12/24/17,12/24/17,Criminal Trespass
17-6192,12/24/17,12/24/17,Possession Of Drugs
17-6190,12/24/17,12/24/17,Possession Of Drugs
17-6189,12/24/17,12/24/17,Drug Paraphernalia
17-6188,12/24/17,12/24/17,Public Urination
17-6186,12/23/17,12/23/17,Disorderly Conduct
17-6184,12/23/17,12/23/17,Administrative Information
17-6183,12/23/17,12/23/17,Offenses involving underage persons
17-6180,12/22/17,12/22/17,Assist Other Agency
17-6179,12/22/17,12/21/17,Theft
17-6177,12/22/17,12/17/17,Criminal Damaging
17-6177,12/22/17,12/17/18,Supplement
17-6174,12/22/17,12/21/17,Criminal Damaging and Breaking and Entering
17-6172,12/22/17,12/22/17,Traffic Crash-Property Damage
17-6169,12/21/17,12/20/17,Telecommunications Harassment
17-6166,12/21/17,12/21/17,Administrative Information
17-6165,12/21/17,12/21/17,Assist Other Agency
17-6162,12/20/17,12/20/17,Traffic Crash-Property Damage
17-6159,12/20/17,12/20/17,Traffic Crash-Property Damage-Hit Skip
17-6158,12/20/17,12/20/17,Disorderly Conduct
17-6156,12/20/17,12/20/17,Traffic Crash-Property Damage
17-6152,12/20/17,12/19/17,Theft
17-6151,12/20/17,12/20/17,Traffic Crash-Property Damage
17-6149,12/19/17,12/19/17,Theft
17-6148,12/19/17,12/19/17,Defrauding a Livery or Hostelry
17-6147,12/19/17,12/19/17,Assist Other Agency
17-6146,12/19/17,12/19/17,Possession Of Drugs
17-6144,12/19/17,12/19/17,Prohibited Acts
17-6143,12/19/17,12/19/17,Administrative Information
17-6142,12/19/17,12/19/17,Possession Of Drugs
17-6140,12/19/17,12/19/17,Theft
17-6140,12/20/17,5/1/17,Supplement
17-6138,12/19/17,12/18/17,Theft (From Auto)
17-6137,12/18/17,12/18/17,Disorderly Conduct
17-6133,12/18/17,12/18/17,Forgery
17-6132,12/18/17,12/18/17,Ill Aided
17-6130,12/18/17,12/9/17,Theft
17-6127,12/18/17,12/18/17,Disorderly Conduct
17-6126,12/18/17,12/18/17,Administrative Information
