"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS14-01-01-000003","UPD","01/01/14 00:19","","PEDEN STADIUM Common Name: PARKING LOT 132","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-01-01-000004","UPD","01/01/14 00:35","","SOUTH GREEN DRIVE - WALTER HALL Common Name: PARKING LOT 134","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-01-01-000005","UPD-140002","01/01/14 01:25","01/01/14 01:25","MCKINLEY RESIDENTIAL LOT Common Name: PARKING LOT 50","CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-01-01-000007","UPD-140003","01/01/14 03:23","01/01/14 03:23","69 SOUTH GREEN DRIVE Common Name: BROWN HALL","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-01-02-000018","UPD-140004","01/02/14 12:05","12/20/13 16:00","SHIVELY HALL Common Name: SHIVELY DINING HALL","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-01-02-000022","UPD","01/02/14 17:08","","46 EAST GREEN STREET Common Name: JEFFERSON HALL","FIRE ALARM","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-01-04-000038","UPD","01/04/14 01:52","","RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: @ WGDR","CONVERSION_TRAFFIC SPEED 4511.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-01-05-000068","UPD-140005","01/05/14 20:28","01/05/14 20:28","S.G. DRIVE Common Name: SOUTH GREEN DRIVE","TRAFFIC FAILURE TO YIELD - DRIVEWAY OR LOT 4511.44","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-01-07-000092","UPD","01/07/14 00:44","","S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: BY ADAMS","CONVERSION_TRAFFIC OBSTRUCTED VIEW 4511.70B","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS14-01-07-000104","UPD-140006","01/07/14 14:13","11/14/12 00:00","E.CIRCLE DR, RIDGES Common Name: BUILDING 20","CONVERSION_JUSTICE & PUB. ADMIN. OBSTRUCTING OFFICIAL BUSINESS 2921.31","CONVERSION OUPD - OPEN","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
