CFS #,Case #,Date Reported,Date Occurred,Address,Incident,Disposition
CFS15-01-01-000002,UPD-150001,1/1/15 1:39,1/1/15 1:39,Common Name: JEFFERSON GARAGE,INTOXICATED PERSON,CONVERSION OUPD CLOSED
CFS15-01-01-000004,UPD,1/1/15 1:47,,SCOTT QUAD Common Name: OHIO UNIVERSITY POLICE DEPT,RECOVERED PROPERTY,CONVERSION OUPD CLOSED
CFS15-01-05-000059,UPD,1/5/15 0:54,,RICHLAND AVENUE Common Name: RICHLAND AVENUE Location Detail: @ OU INN,CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04,
CFS15-01-05-000064,UPD,1/5/15 8:13,,"THE RIDGES, BLDG. 25 Common Name: KONNEKER RESEARCH CENTER",FIRE ALARM,
CFS15-01-05-000065,UPD,1/5/15 9:26,,"THE RIDGES, BLDG. 25 Common Name: KONNEKER RESEARCH CENTER",FIRE ALARM,
CFS15-01-05-000074,UPD,1/5/15 18:56,,UNIVERSITY TERRACE Common Name: UNIVERSITY TERRACE Location Detail: KONNEKER,CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION,
CFS15-01-05-000076,UPD,1/5/15 19:31,,UNION STREET Common Name: UNION STREET Location Detail: JEFF HILL AREA,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-06-000085,UPD,1/6/15 8:00,,3 PRESIDENT ST. Common Name: COMPUTER SERVICE CENTER,FIRE ALARM,
CFS15-01-06-000088,UPD-150002,1/6/15 11:45,1/6/15 9:00,E.CIRCLE DR. BY BLDG. 19 Common Name: PARKING LOT 208 - RIDGES,TRAFFIC CRASH ,CONVERSION OUPD CLOSED
CFS15-01-07-000109,UPD,1/7/15 8:22,,PARK PLACE Common Name: ALDEN LIBRARY Location Detail: 2ND FLOOR,RECOVERED PROPERTY,
CFS15-01-07-000110,UPD,1/7/15 8:40,,EAST UNION STREET Common Name: SCHOONOVER CENTER,FIRE ALARM,
CFS15-01-07-000115,UPD,1/7/15 12:55,,99 WEST GREEN DRIVE Common Name: TREUDLEY HALL,FIRE ALARM,
CFS15-01-13-000276,UPD-150018,1/7/15 17:00,1/7/15 17:00,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: BASKETBALL GAME,EDC DEPLOYMENT,CONVERSION OUPD CLOSED
CFS15-01-08-000131,UPD,1/8/15 0:03,,68 SOUTH GREEN DRIVE Common Name: PICKERING HALL,FIRE ALARM,
CFS15-01-09-000150,UPD,1/9/15 1:47,,PUTNAM FIELD - COSS STREET Common Name: PARKING LOT 41,INTOXICATED PERSON,
CFS15-01-09-000153,UPD,1/9/15 6:26,,104 WEST GREEN DRIVE Common Name: WILSON HALL - WEST GREEN,FIRE ALARM,
CFS15-01-09-000159,UPD,1/9/15 10:35,,W.UNION AND FACTORY STS. Common Name: HUMAN RESOURCES BLDG. Location Detail: ROOM 207,EMERGENCY CALL,
CFS15-01-09-000165,UPD-150003,1/9/15 15:00,1/9/15 13:00,OXBOW DRIVE - BIRD Common Name: PARKING LOT 120,TRAFFIC CRASH ,CONVERSION OUPD CLOSED
CFS15-01-09-000167,UPD-150004,1/9/15 16:38,1/9/15 14:30,57 EAST GREEN DRIVE Common Name: PERKINS HALL Location Detail: IN PARKING AREA BEHIND HALL,TRAFFIC CRASH ,CONVERSION OUPD CLOSED
CFS15-01-09-000173,UPD-150005,1/9/15 18:56,1/9/15 18:56,122 SOUTH GREEN DRIVE Common Name: FENZEL HOUSE Location Detail: FIST FLOOR MOD B,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-10-000184,UPD,1/10/15 12:00,,"SOUTH GREEN Common Name: SOUTH GREEN Location Detail: CADY,FOSTER,BROUGH COURTYARD BLOCKING FOSTER DOORS",PARKING COMPLAINT,
CFS15-01-10-000192,UPD,1/10/15 23:25,,SOUTH GREEN Common Name: SOUTH GREEN,INTOXICATED PERSON,
CFS15-01-11-000193,UPD,1/11/15 0:00,,UNION STREET Common Name: UNION STREET Location Detail: SHAFER ST,TRAFFIC LEFT OF CENTER 4511.30,
CFS15-01-11-000196,UPD-150007,1/11/15 0:31,1/11/15 0:31,SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: ROOM 371,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-11-000200,UPD,1/11/15 9:07,,STEWART ST. Common Name: STEWART STREET Location Detail: AT MULBERRY,"CONVERSION_TRAFFIC RIGHT-OF-WAY RULE AT HIGHWAYS, STOP/YIELD SIGNS 4511.43A",
CFS15-01-11-000204,UPD,1/11/15 14:40,,99 WEST GREEN DRIVE Common Name: TREUDLEY HALL,FIRE ALARM,
CFS15-01-11-000212,UPD,1/11/15 20:57,,101 WEST GREEN DRIVE Common Name: RYORS HALL,FIRE ALARM,
CFS15-01-11-000213,UPD-150008,1/11/15 22:00,1/11/15 22:00,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: 139-140,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-11-000214,UPD-150009,1/11/15 22:16,1/11/15 22:16,57 EAST GREEN DRIVE Common Name: PERKINS HALL Location Detail: ROOM 313,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-12-000217,UPD,1/12/15 1:11,,PEDEN STADIUM Common Name: PARKING LOT 132,CONVERSION_TRAFFIC TIME FOR LIGHTED LIGHTS ON MOTOR VEHICLES 4513.03,
CFS15-01-12-000219,UPD,1/12/15 4:24,,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,
CFS15-01-12-000220,UPD,1/12/15 6:13,,EDGEHILL DRIVE Common Name: EDGEHILL DRIVE Location Detail: BEHIND SHIVELY DINING,CONVERSION_TRAFFIC PROHIBITED PARKING 4511.68,
CFS15-01-12-000227,UPD,1/12/15 10:39,,SOUTH GREEN DRIVE Common Name: ADAMS HALL,FIRE ALARM,
CFS15-01-12-000229,UPD,1/12/15 11:09,,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,
CFS15-01-12-000230,UPD-150010,1/12/15 12:01,1/12/15 12:01,58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-12-000239,UPD,1/12/15 15:59,,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,
CFS15-01-12-000241,UPD-150013,1/12/15 17:02,1/12/15 17:02,SCOTT QUAD Common Name: OHIO UNIVERSITY POLICE DEPT,FRAUD OFFENSES,CONVERSION OUPD CLOSED
CFS15-01-12-000244,UPD-150014,1/12/15 18:56,1/12/15 16:30,Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: MONROE POLICE DEPT,THEFT OFFENSE,CONVERSION OUPD - OPEN
CFS15-01-12-000246,UPD-150015,1/12/15 21:07,1/12/15 16:00,S.GREEN DR/UNIV.TERRACE Common Name: PING STUDENT REC. CENTER,CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913,CONVERSION OUPD CLOSED
CFS15-01-12-000247,UPD,1/12/15 22:07,,101 WEST GREEN DRIVE Common Name: RYORS HALL Location Detail: ROOM 141,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-12-000250,UPD,1/12/15 23:11,,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: ROOM 339,FIRE ALARM,
CFS15-01-13-000251,UPD,1/13/15 0:54,,49 EAST GREEN STREET Common Name: WASHINGTON HALL Location Detail: ROOM 220,ALCOHOL OFFENSE,
CFS15-01-13-000252,UPD-150016,1/13/15 1:15,1/13/15 1:15,97 WEST GREEN DRIVE Common Name: JAMES HALL Location Detail: ROOM 130,ASSAULT OFFENSES,CONVERSION OUPD CLOSED
CFS15-01-13-000257,UPD,1/13/15 7:32,,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,
CFS15-01-13-000259,UPD,1/13/15 8:08,,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,
CFS15-01-13-000261,UPD,1/13/15 9:58,,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,
CFS15-01-13-000263,UPD,1/13/15 10:06,,EAST UNION STREET Common Name: SCHOONOVER CENTER,FIRE ALARM,
CFS15-01-13-000266,UPD,1/13/15 13:06,,MCKINLEY AVE Common Name: MCKINLEY AVE Location Detail: IN FRONT OF CRAWFORD HALL,CONVERSION_TRAFFIC ONE-WAY TRAFFIC - ROTARY ISLANDS 4511.32,
CFS15-01-13-000272,UPD,1/13/15 16:59,,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,
CFS15-01-13-000274,UPD,1/13/15 18:17,,1 PARK PLACE Common Name: BAKER STUDENT CENTER,FIRE ALARM,
CFS15-01-13-000275,UPD,1/13/15 18:20,,EAST UNION STREET Common Name: PUTNAM HALL Location Detail: 4TH FLOOR,ANIMAL COMPLAINT,
CFS15-01-13-000279,UPD,1/13/15 19:02,,E.CIRCLE DR. RIDGES Common Name: BUILDING 19 Location Detail: ROOM 133C,PROPERTY DAMAGE,
CFS15-01-13-000281,UPD,1/13/15 19:41,,57 EAST GREEN DRIVE Common Name: PERKINS HALL Location Detail: ROOM 109,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-13-000285,UPD,1/13/15 20:48,,22 UNIVERSITY TERRACE Common Name: BRYAN HALL Location Detail: BAT LOCATED IN 1ST FLOOR SUNROOM,ANIMAL COMPLAINT,
CFS15-01-13-000286,UPD,1/13/15 20:59,,70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL,FIRE ALARM,
CFS15-01-13-000289,UPD,1/13/15 21:00,,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: ROOM 328,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-13-000290,UPD-150020,1/13/15 21:26,1/13/15 21:00,70 SOUTH GREEN DRIVE Common Name: MACKINNON HALL Location Detail: ROOM 414,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-13-000291,UPD,1/13/15 22:09,,50 EAST GREEN STREET Common Name: BUSH Location Detail: ROOM 324,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-14-000305,UPD,1/14/15 11:36,,UNIVERSITY TERRACE Common Name: MCKEE HOUSE,FIRE ALARM,
CFS15-01-14-000308,UPD-150022,1/14/15 14:21,1/14/15 14:21,MULBERRY ST Common Name: MULBERRY ST Location Detail: AT COURT ST,TRAFFIC DRIVING UNDER FRA SUSPENSION 4510.16,
CFS15-01-14-000309,UPD,1/14/15 14:34,,58 EAST GREEN DRIVE Common Name: GAMERTSFELDER HALL,FIRE ALARM,
CFS15-01-14-000310,UPD-150023,1/14/15 16:25,1/14/15 0:00,S.GREEN DR/UNIV.TERRACE Common Name: PING STUDENT REC. CENTER Location Detail: COMBATIVES,CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913,
CFS15-01-14-000317,UPD-150024,1/14/15 18:59,1/14/15 18:59,WEST GREEN GULCH Common Name: PARKING LOT 114,TRAFFIC CRASH ,CONVERSION OUPD CLOSED
CFS15-01-14-000319,UPD,1/14/15 20:53,,SOUTH GREEN DRIVE Common Name: ADAMS HALL,FIRE ALARM,
CFS15-01-14-000320,UPD-150025,1/14/15 21:19,1/14/15 17:00,95 RICHLAND AVENUE Common Name: CONVOCATION CENTER,EDC DEPLOYMENT,CONVERSION OUPD CLOSED
CFS15-01-15-000327,UPD,1/15/15 0:34,,UNION STREET Common Name: UNION STREET Location Detail: EXPRESS CARE,TRAFFIC BRAKE LIGHTS 4513.071,
CFS15-01-15-000328,UPD-150026,1/15/15 1:05,1/15/15 1:05,COURT STREET Common Name: COURT STREET Location Detail: UNION,ALCOHOL OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-15-000330,UPD-150028,1/15/15 1:55,1/15/15 0:55,49 EAST GREEN STREET Common Name: WASHINGTON HALL Location Detail: FROM JEFF HILL,SEX OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-15-000331,UPD-150027,1/15/15 2:30,1/15/15 2:30,MCKINLEY RESIDENTIAL LOT Common Name: PARKING LOT 50 Location Detail: RIVERPARK TOWERS,OPERATING A VEHICLE UNDER THE INFLUENCE,CONVERSION OUPD CLOSED
CFS15-01-15-000339,UPD,1/15/15 8:55,,SOUTH GREEN DR.- PEDEN REAR Common Name: PARKING LOT 133,TRAFFIC BRAKE LIGHTS 4513.071,
CFS15-01-15-000352,UPD-150030,1/15/15 15:45,1/13/15 14:00,SOUTH GREEN DRIVE Common Name: ADAMS HALL Location Detail: CONSTRUCTION SITE AREA,SEX OFFENSE,CONVERSION OUPD CLOSED
CFS15-01-15-000353,UPD-150029,1/15/15 16:10,1/13/15 16:20,34 SOUTH COLLEGE STREET Common Name: VOIGT HALL,TELECOMMUNICATIONS HARASSMENT,CONVERSION OUPD CLOSED
CFS15-01-15-000361,UPD-150031,1/15/15 20:39,1/15/15 20:39,127 SOUTH GREEN DRIVE Common Name: MARTZOLFF HOUSE Location Detail: 4TH FLOOR MOD B,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-15-000363,UPD,1/15/15 22:18,,98 WEST GREEN DRIVE Common Name: SARGENT HALL Location Detail: ROOM # 317,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-16-000373,UPD,1/16/15 8:07,,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT UNIVERSITY TERRACE,TRAFFIC DETAIL,
CFS15-01-16-000376,UPD-150032,1/16/15 8:29,1/16/15 8:29,SOUTH GREEN DRIVE - CLIPPINGER Common Name: PARKING LOT 86,CONVERSION_TRAFFIC STOPPING FOR STOPPED SCHOOL BUS 4511.75,CONVERSION OUPD CLOSED
CFS15-01-16-000378,UPD-150033,1/16/15 9:59,1/16/15 9:59,S.G. DRIVE Common Name: SOUTH GREEN DRIVE Location Detail: AT LOT 56,CONVERSION_TRAFFIC SPEED 4511.21,CONVERSION OUPD CLOSED
CFS15-01-16-000382,UPD-150035,1/16/15 14:17,1/16/15 14:17,SOUTH GREEN DRIVE Common Name: PARKING LOT 87,TRAFFIC CRASH ,CONVERSION OUPD CLOSED
CFS15-01-16-000391,UPD-150036,1/16/15 15:15,1/16/15 7:00,OXBOW TRAIL/DRIVE Common Name: OXBOW TRAIL/DRIVE Location Detail: UNDER RICHLAND BRIDGE,PROPERTY DAMAGE,CONVERSION OUPD CLOSED
CFS15-01-16-000392,UPD-150038,1/16/15 15:45,1/15/15 9:00,35 SOUTH CONGRESS Common Name: BROMLEY HALL Location Detail: PARKING LOT BEHIND BROMLEY,TRAFFIC CRASH ,CONVERSION OUPD CLOSED
CFS15-01-16-000393,UPD-150037,1/16/15 16:09,1/15/15 16:00,VAN VORHEES & RACE Common Name: MORTON HALL,CONVERSION_LARCENY-THEFT THEFT - FROM BUILDINGS 2913,CONVERSION OUPD CLOSED
CFS15-01-16-000401,UPD-150041,1/16/15 21:21,1/16/15 21:21,E.UNION ST. Common Name: MUSIC BUILDING Location Detail: UNDERNEATH,POSSESSION OF  CONTROLLED SUBSTANCES,CONVERSION OUPD CLOSED
CFS15-01-16-000402,UPD,1/16/15 21:52,,60 E.GREEN DR. Common Name: TIFFIN HALL Location Detail: ROOM 110,POSSESSION OF  CONTROLLED SUBSTANCES,
CFS15-01-17-000408,UPD,1/17/15 0:20,,ELLIOTT STREET Common Name: ELLIOT STREET Location Detail: FRONT YARD OF 2 ELLIOTT,INTOXICATED PERSON,
CFS15-01-17-000409,UPD,1/17/15 1:00,,STATE STREET Common Name: EAST STATE STREET Location Detail: 117 E STATE,INTOXICATED PERSON,
CFS15-01-17-000412,UPD,1/17/15 2:15,,MILL STREET Common Name: MILL STREET Location Detail: 60 MILL ST,ASSAULT OFFENSES,
CFS15-01-17-000414,UPD,1/17/15 2:56,,PALMER STREET Common Name: PALMER STREET,OPERATING A VEHICLE UNDER THE INFLUENCE,
CFS15-01-17-000416,UPD,1/17/15 3:13,,Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: 36-408 RIVER PARK TOWERS,NOISE COMPLAINT,
