"CFS #","Case #","Date Reported","Date Occurred","Address","Incident","Disposition"
"CFS17-01-01-000001","UPD","01/01/17 00:31","","UNION STREET Common Name: UNION STREET Location Detail: @UNIVERSITY TERRACE","CONVERSION_TRAFFIC TWO HEADLIGHTS REQUIRED 4513.04","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-01-000003","UPD-170001","01/01/17 02:33","01/01/17 02:33","COLLEGE STREET Common Name: COLLEGE STREET","ALCOHOL OFFENSE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-01-000009","UPD-170002","01/01/17 16:24","12/31/16 22:00","RIDGES PROPERTY Common Name: RIDGES Location Detail: RADAR HILL NEAR WOODS, Athens, OH 45701","TRESPASSING OFFENSES","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-02-000027","UPD","01/02/17 18:51","","130 SOUTH GREEN DRIVE Common Name: ATKINSON Location Detail: 4TH FLOOR NEAR ELEVATORS, Athens, OH 45701","ANIMAL COMPLAINT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-03-000051","UPD-170003","01/03/17 15:36","01/03/17 14:00","MCCRACKEN SIDE - STEWART STREET Common Name: PARKING LOT 44, Athens, OH 45701","TRAFFIC CRASH ","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-03-000056","UPD-170004","01/03/17 16:42","01/03/17 16:41","95 RICHLAND AVENUE Common Name: CONVOCATION CENTER Location Detail: BASKETBALL GAME","EDC DEPLOYMENT","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-03-000063","UPD-170005","01/03/17 21:04","01/03/17 21:04","SHAFER STREET Common Name: SHAFER STREET Location Detail: LOT 127, Athens, OH 45701","CONVERSION_TRAFFIC VEHICLE LICENSE REGISTRATION","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-03-000067","UPD","01/03/17 22:55","","RICHLAND AVENUE Common Name: RICHLAND AVENUE, Athens, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-04-000070","UPD-170006","01/04/17 00:15","01/04/17 00:15","SHAFER STREET Common Name: SHAFER STREET, Athens, OH 45701","CONVERSION_TRAFFIC SPEED 4511.21","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-04-000073","UPD-170009","01/04/17 07:00","01/04/17 00:00","WEST GREEN Common Name: WEST GREEN Location Detail: BETWEEN RYORS AND IRVINE","PROPERTY DAMAGE","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-04-000079","UPD-170007","01/04/17 10:33","01/03/16 00:00","FACTORY STREET Common Name: FACTORY STREET Location Detail: 29 FACTORY ST","TRAFFIC CRASH ","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-04-000087","UPD","01/04/17 16:43","","HUDSON DRIVE Common Name: HUDSON DRIVE Location Detail: 2 HUDSON HEALTH DR, ROOM 314","EMERGENCY CALL","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-04-000090","UPD","01/04/17 17:00","","130 SOUTH GREEN DRIVE Common Name: ATKINSON Location Detail: 3RD FL STAIRWELL, RIGHT OF ELEVATOR, Athens, OH 45701","ANIMAL COMPLAINT","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-04-000094","UPD","01/04/17 18:40","","Common Name: OFF-CAMPUS MISCELLANEOUS Location Detail: SHARPSBURG, MORGAN/ATHENS COUNTY LINE","CONVRESION_OPERATIONS OUTSTANDING WARRANTS","","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
"CFS17-01-04-000096","UPD-170008","01/04/17 20:23","01/04/17 20:23","WEST GREEN GULCH Common Name: PARKING LOT 114","DESTRUCTION OF PROPERTY","CONVERSION OUPD CLOSED","------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------"
