Date Reported,Time Reported,MPD #,Nature,Address,Disposition,Date of Occurrence,Time of Occurrence
1/2/2016,12:16,16-M00035,Accident; non-injury,Nez Perce Dr; by golf course,Citation,same,12:15
1/4/2016,10:36,16-M00070,"Traffic Offense/ Reckless driver, ran a red light then sped into Washington",South Line St/West 3rd St,Closed,same,10:35
1/8/2016,13:05,16-M00212,Traffic Offense/Female cited for failure to purchase drivers license.,Sweet Ave/South Main St,Closed 1/14/16,same,13:00
1/11/2016,9:16,16-M00272,Accident; Hit & Run/vehicle hit another and then left scene.,Blake Ave/Nez Perce Dr,Closed 1/28/16,same,9:15
1/15/2016,16:53,16-M00429,Accident; Non-injury/ Cited individual for inattentive driving.,Perimeter Dr/Pullman Rd,Citation 1/21/16,same,16:49
1/16/2016,0:20,16-M00438,Accident; Hit & Run,550 South Line St; Steam Plant area,Closed 1/28/16,same,0:14
1/17/2016,16:22,16-M00488,Accident; Hit & Run,727 Nez Perce Dr; AGD,Closed 1/26/16,same,16:22
1/18/2016,17:23,16-M00507,Traffic Offense,South Line St/West 3rd St,Unable2Locate,same,17:22
1/20/2016,13:11,16-M00552,Vehicle Prowl/Backpack stolen from unlocked vehicle.,507 Idaho Ave; PBP,Closed 1/29/16,same,13:08
1/27/2016,17:06,16-M00762,"Accident; Hit & Run/Viccle hit another in West Dome lot, left scene",1000 Stadium Dr; Kibbie,Closed 3/14/16,same,17:02
1/29/2016,9:57,16-M00826,Trespassing/trespass order to Ul Student,606 Rayburn St; Ag Science,Closed 2/1/16,same,9:57
1/29/2016,10:46,16-M00827,Trespassing/trespass order to Ul Student,606 Rayburn St; Ag Science,Arrest 2/5/16,same,10:44
1/30/2016,14:49,16-M00867,Trespassing/UI student arrested for trespass,1080 West 6th St; Wallace,Arrest 2/11/16,same,14:47
2/1/2016,10:50,16-M00920,Traffic Offense/Extra Patrol on Perimeter for Speeders,Perimeter Dr,Closed,same,10:49
2/1/2016,16:17,16-M00937,Vehicle Prowl/Someone broke into car stole FTC card used to buy gas,707 Railroad St; apts,Closed 2/11/16,same,16:15
2/5/2016,17:37,16-M01066,Traffic Offense/Speeding in Married student housing,354 Taylor Ave; parking lot,Closed 2/11/16,same,17:33
2/5/2016,21:37,16-M01074,Vehicle Prowl/$3000.00 of stereo equiptment stolen from vehicle.,Railroad St; purple lot 2,Closed 2/18/16,same,21:33
2/7/2016,18:57,16-M01124,Malicious Mischief/Females car had SLUT written on it,503 University Ave; DSP,Closed 2/11/16,same,18:54
2/12/2016,16:50,16-M01251,Violate Order/3rd person violation/suspect left messages with victims mother.,1011 Deakin Ave; apts,Closed,same,16:46
2/15/2016,0:53,16-M01319,DUI/Male arrested for Reckless driving and DUI,Perimter Dr/West Pullman Rd,Arrest,same,0:53
2/18/2016,18:01,16-M01434,Traffic Offense/Vehicle pedestrian accident with injuries,Blake Ave/Taylor Ave,Closed,same,18:00
2/25/2016,2:08,16-M01639,Driving w/ License Suspended/ran read light cited and released.,College Ave; near Jackson,Citation 2/29/16,same,2:04
2/26/2016,14:02,16-M01698,Traffic Offense/extra patol for speeding cars,"Perimeter Dr,between6th/NezPerce",Closed,same,14:00
3/7/2016,22:42,16-MO2036,Vehicle Prowl/Tools and car jack taken from car/Wallace complex,1080 West 6th St; Wallace,Closed,same,22:40
3/10/2016,13:01,16-MO2115,"Accident, Hit & Run",1305 Blake Ave; Targhee,Active 6/1/16,same,13:00
3/14/2016,23:51,16-MO2244,"Warrant, Arrest/male arrested for warrant",Perimeter Dr/West Pullman Rd,Arrest,same,23:51
3/16/2016,11:18,16-MO2281,Driving w/ License Suspended/male arrested-suspended license,West 6th St/Rayburn St,Arrest,same,11:11
3/23/2016,1:21,16-MO2451,Traffic Offense/car doing burnouts in kibbie dome parking lot,1000 Stadium Dr; Kibbie,Unable2Locate,same,1:19
4/2/2016,13:58,16-MO2783,Malicious Mischief- Someone slashed a tire on sorority member car,Idaho Ave/Ash St,Closed 4/12/16,same,13:58
4/5/2016,18:35,16-MO2877,Traffic Offense - Dirt and gravel on road,Deakin Ave/West 6th St,Unable2Locate,same,18:34
4/8/2016,7:51,16-MO2953,Traffic Offense - Aggressive driver warned by officer,Sweet Ave/Main St,Closed,same,7:49
4/10/2016,10:06,16-M03028,"Malicious Mischief- Someone keyed the word ""Bitch"" on her car door",1080 West 6th St; Wallace,Closed 4/19/16,same,10:01
4/13/2016,22:55,16-M03150,Traffic Offense - Male cited for failure to purchase driver's license,Idaho Ave/Elm St,Citation 5/9/16,same,22:43
4/15/2016,2:26,16-M03187,Traffic Offense - Car with loud muffler,South Line St/West 6th St,Unable2Locate,same,2:22
4/17/2016,20:33,16-M03272,Traffic Offense - Unable to locate,Sweet Ave; Transit Center,Closed,same,20:31
4/19/2016,2:42,16-M03311,"Trespassing-4 students, cite and release for trespassing on Kibbie Dome",1000 Stadium Dr; Kibbie,Citation 4/29/16,same,2:41
4/22/2016,9:29,16-M03426,"Malicious Mischief- Someone broke rear view mirrors off pickup, no suspects",718 Elm St; Sigma Nu,Closed 5/12/16,same,9:27
4/23/2016,10:14,16-M03460,"Accident, Hit & Run - Pickup backed into a car. Driver left the scene without contacting owner",727 Nez Perce Dr; AGD,Closed,same,10:11
4/25/2016,22:25,16-M03552,"Accident, Hit & Run - Vehicle backed into a car. Driver left the scene without contacting owner",701 Nez Perce Dr; AKL,Closed 4/29/16,same,22:23
4/26/2016,10:21,16-M03557,"Malicious Mischief- Someone broke rear view mirrors off pickup, no suspects",Lot 38,Closed 5/25/16,same,10:21
4/27/2016,17:15,16-M03607,"Accident, Hit & Run - Non-reportable accident, information exchange",700 Deakin Ave; Pitman Center,Closed,same,17:08
4/27/2016,22:01,16-M03610,"Warrant Arrest -arrest on bench warrant, failure to appear on marijuana charge",901 Paradise Creek St; LLCs,Arrest,same,22:01
4/28/2016,9:35,16-M03630,Driving w/ License Suspended - individual cited/released,Nez Perce Dr; Arboretum,Closed,same,9:31
4/28/2016,10:06,16-M03631,Driving w/ License Suspended - individual cited/released,1000 Stadium Dr; Kibbie,Closed,same,10:02
4/29/2016,10:26,16-M03657,"Accident, Hit & Run - Unknown suspect ran into victim car in lot #51",1000 Stadium Dr; Kibbie,Closed 5/12/16,same,10:24
4/29/2016,15:12,16-M03668,"Accident, Hit & Run - Unknown suspect ran into victim car at 404 College",College Ave; red lot,Closed,same,15:12
4/29/2016,16:09,16-M03672,"Vehicle Prowl -Vehicle rummaged through, nothing taken",407 College Ave,Closed 5/12/16,same,16:09
