"Thursday, January 21, 2021"	0.569571759													
Master ID	Date/Time Reported	Day of Week	Date/Time Occurred	MPD Case #	Nature of Calls	Address/Location	Comments	Disposition	Clery Geography	Clery Offense	Clery Count	Clery	Not on Campus	Name Log
1	01/01/18 @06:34	Monday	Same	18-M00003	Welfare Check	1200 W Palouse River Dr; Arboretum	Someone singing in the Arboretum	CLO				NO		
2	01/01/18 @20:20	Monday	Same	18-M00015	Sex Offense	Moscow	"Female 18 YOF at GMC reported being raped somewhere in Moscow, un-cooperative with investigation so we don’t know exactly where it occurred or the identity of the offender."	CLO			0	NO		
3	01/01/18 @23:05	Monday	Same	18-M00016	DWLS	Perimeter Dr & W Pullman RD	Non-student arrested for DWP and two others arrested on warrants	CAC			0	NO		
4	01/01/18 @23:14	Monday	Same	18-M00017	Warrant Arrest	Perimeter Dr & W Pullman RD	Same as above	CAA			0	NO		
5	01/01/18 @23:17	Monday	Same	18-M00018	Warrant Arrest	Perimeter Dr & W Pullman RD	Same as above	CAA			0	NO		
6	01/02/18 @15:56	Tuesday	Same	18-M00033	Accident; Hit Run	1000 Paradise Creek St; UI	"Hit and run, no suspects"	CLO			0	NO		
7	01/02/18 @21:38	Tuesday	Same	18-M00041	Alarm; Elevator	921 Campus Dr; Elev Education	Accidental activation	CLO			0	NO		
8	01/03/18 @08:20	Wednesday	Same	18-M00047	Public Program	709 Deakin Ave; Pitman Center	Active shooter presentation	CLO		Public Program	0	NO		
9	01/03/18 @13:01	Wednesday	Same	18-M00056	Public Program	709 Deakin Ave; Pitman Center	Active shooter presentation	CLO		Public Program	0	NO		
10	01/04/18 @08:48	Thursday	Same	18-M00076	Extra Patrol	Moscow	Extra patrols on campus	CLO			0	NO		
11	01/04/18 @13:50	Thursday	Same	18-M00092	Drugs	1080 W 6th ST; Wallace	"UI jantior found home made marijuana pipe, to be destroyed"	ACT	OC OCH	Drug - Referral	1	YES		
12	01/04/18 @14:40	Thursday	Same	18-M00096	Information	Moscow	Not on campus or related	ACT			0	NO	X	
13	01/04/18 @19:10	Thursday	Same	18-M00103	Alarm; Fire	901 Paradise Creek St; 3	No smoke or fire				0	NO		
16	01/05/18 @12:51	Friday	Same	18-M00119	Theft; Other	Moscow	"Stolen license plates, off campus"	CLO			0	NO	X	
17	01/05/18 @19:38	Friday	Same	18-M00130	Other Calls	Moscow	"Civil issue regarding children, off campus"	CLO			0	NO	X	
