Master ID	Date/Time Reported	Day of Week	Date/Time Occurred	MPD Case #	Nature of Calls	Address/Location	Comments	Disposition	Clery Geography	Clery Offense	Clery Count	Clery	Not on Campus	Name Log	Number Cited	Misc Information	Added to Clery Wall Map	Greek Row	Alcohol/Drug Transport	Residence Life	IR # from DOS	DOS ID	Clery Case #	Referral Count	AC ID	Confirmed with MPD	Double Checked/Complete	Question for MPD	Clery Reportable/Not in Advocate
1	01/02/19 @12:05	Wednesday	Same	19-M00027	Abandoned Vehicle	1000 Paradise Creek St;	1990 Taraus towed abandon	CLO				NO										0			0				
2	01/02/19 @21:22	Wednesday	Same	19-M00038	Abandoned Vehicle	W 6th St & Perimeter Dr	Unfounded	CLO				NO										0			0				
3	01/03/19 @05:06	Thursday	Same	18-M00042	Suspicious	Sweet Ave & Railroad St	Suspicious male walking bewteen buildings UTL	CLO				NO										0			0				
4	01/03/19 @13:25	Thursday	Same	19-M00055	Harassment	Moscow	Not on campus or related	ACT				NO	x									0			0				
5	01/03/19 @13:46	Thursday	Same	19-M00057	Alarm; Elevator	630 Elm St; KAT House	Elevator tech testing elevator	ACT				NO										0			0				
6	01/03/19 @16:12	Thursday	Same	19-M00082	Trespassing	851 Campus Dr; UI Administration	1 - trespassed from all UI property without incident	ACT				NO										0			2				
7	01/04/19 @09:56	Friday	Same	19-M00073	Alarm; Elevator	921 Campus Dr; Building of	Accidental activation	CLO				NO										0			0				
8	01/04/19 @12:11	Friday	Same	19-M00077	Disorderly	1000 Paradise Creek St; UI	RP thinks someone tried to take pics or video him in the SRC locker room	ACT				NO										0			0				
9	01/04/19 @17:43	Friday	Same	19-M00090	Alarm; Fire	620 Idaho Ave; Phi Kappa Tau	Accidental activation	CLO				NO										0			0				
10	01/05/19 @11;27	Saturday	Same	19-M00109	Civil	Moscow	Not on campus or related	CLO				NO	x									0			0				
11	01/05/19 @11:37	Saturday	Same	19-M00111	Civil	509 University Ave;	Questions regarding landlord tenant	CLO				NO										0			0				
12	01/05/19 @22:00	Saturday	Same	19-M00122	Accident; Non-Injury	University Ave; Near the	1 -  was drunk and crashed his car into a handicap ramp	ACT				NEED MORE										0			0				
13	01/07/19 @10:34	Monday	Same	19-M00143	Accident; Non-Injury	1010 Blake Ave; Hampton Music	"Non-reportable, info exchange"	CLO				NO										0			0				
