incident,case_number,date_reported,date_occurred,location,disposition
Burglary Residence,2019-0348,12/28/19 12:02,12/26/19 22:00,The Flats,Open
Theft,2019-0347,12/26/19 13:45,6/13/19 15:00,BLDG 59/Rm 1701,Suspended
Theft,2019-0344,12/14/19 16:30,11/22/19 15:00,Osprey Fountains,Open
Domestic Dispute with Violence,2019-0343,12/14/19 15:00,12/14/19 15:00,Osprey Fountains,Open
Drug Investigation,2019-0341,12/12/19 12:15,12/12/19 12:15,U N F Dr just south of,Cleared by arrest
Assault,2019-0338,12/7/19 2:21,12/7/19 1:50,LOT 55,Exceptionally
Theft,2019-0337,12/5/19 7:51,11/27/19 15:30,LOT 8,Suspended
Fraud Use Device Scheme to Defraud,2019-0336,12/4/19 13:31,12/3/19 13:03,I U N F Dr,Suspended
Vandalism,2019-0332,12/2/19 9:19,11/27/19 8:30,BLDG 4,Suspended
Vandalism,2019-0331,12/2/19 3:10,11/27/19 6:30,BLDG 2,Suspended
Theft,2019-0329,11/29/19 16:34,11/29/19 16:00,BLDG 14,Suspended
Theft,2019-0326,11/22/19 15:15,10/28/19 13:30,Osprey Crossings,Open
Sexual Batter,2019-0325,11/22/19 14:00,11/11/19 22:00,Osprey Fountains,Open
Vandalism,2019-0294,11/20/19 17:39,10/24/19 17:17,Osprey Fountains,Suspended
Burglary to Vehicle,2019-0321,11/20/19,11/19/19 16:49,LOT 7,Suspended
Petit Theft,2019-0322,11/19/19 17:50,11/19/19 15:30,BLDG 8,Suspended
Burglary to Vehicle,2019-0321,11/19/19 16:49,11/19/19 16:49,BLDG 60,Open
Sexual Battery,2019-0320,11/19/19 15:57,9/27/19 12:00,1 U N F Dr,Unreported Crime
Extortion,2019-0318,11/15/19 19:28,11/15/19 18:30,Osprey Crossing,Open
Theft,2019-0315,11/13/19 16:00,11/8/19 16:00,Lot 18,Open
Theft,2019-0314,11/13/19 12:00,11/5/19 17:30,BLDG 57,Open
Assault,2019-0256,11/13/19 11:21,9/21/19 1:00,1 U N F Dr S Bus Stop,Referred to
Theft,2019-0310,11/9/19 16:23,11/9/19,BLDG 16 Skateboard,Suspended
Vandalism,2019-0309,11/6/19 13:00,9/2/19 9:00,BLDG 43,Suspended
Arrest,2019-0307,11/2/19 18:13,11/2/19 18:13,1 UNF Drive South,Cleared by arrest
Theft,2019-0305,11/1/19 9:30,10/24/19 21:00,BLDG 6,Suspended
Sexual Violence,,10/31/19 7:00,6/24/19,Osprey Landing,Unreported Crime
Theft,2019-0299,10/28/19 9:10,10/25/19 17:30,"Lot 18, Lot 7, Lot 10",Suspended
Drug Investigation,2019-0298,10/26/19 21:59,10/26/19 21:59,The Flats,Cleared by arrest
Theft,2019-0297,10/26/19 9:10,10/25/19 10:00,Lot 15,Suspended
Theft,2019-0295,10/25/19 15:00,10/11/19 19:00,BLDG 12,Suspended
Assault,2019-0287,10/21/19 14:12,10/4/19 22:30,Osprey Crossings,Exceptionally
Theft,2019-0284,10/18/19 9:58,10/17/19 17:30,BLDG 8,Suspended
Vandalism Business,2019-0278,10/14/19 15:00,10/14/19 5:30,BLDG 43,Suspended
Vandalism Business,2019-0278,10/14/19 5:30,10/11/19 4:30,BLDG 43,Open
Driving While License,A36EGEP,10/13/19 15:15,10/13/19 15:15,UNF Dr @ Lot 11,Citation Issued
Burglary Auto,2019-0276,10/11/19 12:34,10/10/19 8:00,LOT 2,Open
Theft,2019-0275,10/10/19 21:36,10/10/19 20:00,VLSG 16,Suspended
Extortion,2019-0272,10/8/19 19:54,10/8/19 9:10,BLDG 16,Suspended
