Classification,Incident Number,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Unsecured Premise,18UV000002,01/01/2018,0207,01/01/2018,0207,Music Building,Closed
Traffic / DUI / Disorderly Conduct,18UV000003,01/01/2018,0243,01/01/2018,0243,"So. Park Dr, Colchester",Closed; non affiliate lodged at Corrections for DUI
Unsecured Premise,18UV000004,01/01/2018,0247,01/01/2018,0247,Catholic Center,Closed
Citizen Assist,18UV000007,01/01/2018,1030,01/01/2018,1030,"Williston Rd, So. Burlington",Closed
Suspicious Vehicles,18UV000016,01/02/2018,0257,01/02/2018,0257,"Staples Plaza Parking Lot, Williston Rd, S Burlington",Closed
Assist Agency,18UV000020,01/02/2018,1159,01/02/2018,1159,"83 Sampsonville Rd, Enosburg Falls",Closed; Assist to Green Mountain Critical Incident Stress Management
Assist Motorist,18UV000021,01/02/2018,1644,01/02/2018,1644,East Avenue,Closed
Fire Alarm,18UV000023,01/02/2018,1657,01/02/2018,1657,Living & Learning,Closed
Intrusion Alarm,18UV000024,01/02/2018,1723,01/02/2018,1723,460 South Prospect St,Closed
Intrusion Alarm,18UV000033,01/03/2018,0007,01/03/2018,0007,589 Main St,Closed
Harassment,18UV000042,01/03/2018,1356,01/03/2018,1356,Waterman,Closed
Larceny,18UV000043,01/03/2018,1416,12/21/2017-01/03/2018,Unk,Waterman,Open Incident
Assist Agency/ Background Check,18UV000044,01/03/2018,1423,01/03/2018,1423,UVM Police Services,Closed
Intrusion Alarm,18UV000045,01/03/2018,1737,01/03/2018,1737,460 South Prospect St,Closed
Traffic Accident-Property Damage,18UV000047,01/03/2018,1818,01/03/2018,1818,Carrigan Dr / Beaumont Ave,Closed
Assist Agency/Traffic,18UV000050,01/03/2018,2333,01/03/2018,2333,Main St / East Ave,Closed; Assist Milton PD
Medical Assist/Injury,18UV000058,01/04/2018,1211,01/04/2018,1211,1 S Prospect St,Closed; affiliate transported to UVMMC via Colchester Rescue
Fire Alarm,18UV000059,01/04/2018,1341,01/04/2018,1341,CCRH,Closed
Assist Other,18UV000063,01/04/2018,1829,01/04/2018,1829,Admissions,Closed
Motorist Assist,18UV000064,01/04/2018,1834,01/04/2018,1834,Davis Center,Closed
Assist Other,18UV000065,01/04/2018,1800,01/04/2018,1800,Gutterson Ice Rink,Closed
Fire,18UV000066,01/04/2018,1941,01/04/2018,1941,331 Colchester Ave,Closed
Fire Alarm,18UV000067,01/04/2018,1954,01/04/2018,1954,University Heights South,Closed
Fire Alarm,18UV000070,01/05/2018,0751,01/05/2018,0751,CCRH,Closed
Agency Assist/Motor Vehicle Crash,18UV000072,01/05/2018,1748,01/05/2018,1748,Mallets Bay Ave / Pine St,Closed; Assist to Winooski PD
Drugs-Sale,18UV000075,01/05/2018,1900,01/05/2018,1900,Harris Millis / Gutterson Garage,Closed; non-affiliate cited into court for Sale of Hallucinogenics
Traffic Hazard,18UV000077,01/05/2018,2028,01/05/2018,2028,Main St / Beaumont Ave,Closed
Motorist Assist,18UV000080,01/06/2018,0049,01/06/2018,0049,Main St / Spear St,Closed
Fire Alarm,18UV000081,01/06/2018,0119,01/06/2018,0119,Redstone,Closed
Fire Alarm,18UV000083,01/06/2018,0418,01/06/2018,0418,Living & Learning,Closed
Citizen Assist,18UV000092,01/06/2018,1312,01/06/2018,1312,Fitness Center,Closed
Motorist Assist,18UV000093,01/06/2018,1318,01/06/2018,1318,Spear St / PFG Rd,Closed
Fire Alarm,18UV000095,01/06/2018,1610,01/06/2018,1610,Redstone,Closed
Unsecured Premise,18UV000101,01/06/2018,1839,01/06/2018,1839,Coolidge,Closed
Motorist Assist,18UV000107,01/06/2018,2313,01/06/2018,2313,S Willard St / Bradley St,Closed
Motorist Assist,18UV000109,01/07/2018,0231,01/07/2018,0231,PFG Garage,Closed
Intrusion Alarm,18UV000113,01/07/2018,1015,01/07/2018,1015,460 S Prospect St,Closed
Agency Assist,18UV000125,01/08/2018,0108,01/08/2018,0108,Follett St / W Allen St,Closed; assist to WPD
Traffic Hazard,18UV000126,01/08/2018,0158,01/08/2018,0158,N Prospect St / Henry St,Closed
Suspicious Vehicle,18UV000127,01/08/2018,0202,01/08/2018,0202,454 Riverside Ave,Closed
Fire Alarm,18UV000129,01/08/2018,0758,01/08/2018,0758,CCRH,Closed
Agency Assist/Emergency Escort,18UV000135,01/08/2018,1112,01/08/2018,1112,"120 West Canal St, Winooski",Closed; Assist to UVM Rescue
Agency Assist,18UV000137,01/08/2018,1822,01/08/2018,1822,"288 Beaman St, Poultney",Closed; Assist to Green Mountain Critical Incident Stress Management
Fire Alarm,18UV000138,01/08/2018,2020,01/08/2018,2020,Redstone,Closed
Intrusion Alarm,18UV000139,01/08/2018,2040,01/08/2018,2040,460 South Prospect St,Closed
Intrusion Alarm,18UV000140,01/08/2018,2128,01/08/2018,2128,460 South Prospect St,Closed
Theft of Service,18UV000153,01/09/2018,1205,01/09/2018,1205,Given Parking Lot,Closed; Report to Transportation and Parking
Agency Assist/Background Check,18UV000158,01/09/2018,1518,01/09/2018,1518,UVM Police Services,Closed
Assist Agency/Traffic,18UV000165,01/09/2018,2358,01/09/2018,2358,Williston Rd,Closed; Assist to SBPD
Traffic/DLS,18UV000166,01/10/2018,0053,01/10/2018,0053,Williston Rd / Dorset St,Closed; Cited into court for Criminal DLS
Agency Assist/Traffic Stop,18UV000167,01/10/2018,0202,01/10/2018,0202,Interstate 89,Closed; Assist to SBPD
Agency Assist/Transport Prisoner,18UV000168,01/10/2018,0256,01/10/2018,0256,19 Gregory Dr,Closed; Assist to SBPD
Intrusion Alarm,18UV000169,01/10/2018,0627,01/10/2018,0627,Nolan House,Closed
ATM Alarm,18UV000170,01/10/2018,0903,01/10/2018,0903,University Health Center,Closed
Medical Assist,18UV000172,01/10/2018,1014,01/10/2018,1014,University Health Center,Closed; non-affiliate transported to UVMMC via St. Michaels Rescue
