Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Traffic / DUI / Drugs,2016-4484,7/1/16,217,7/1/16,217,White St / Airport Pkwy,Closed; Cited into court for DUI and Cocaine Possession
Intrusion Alarm,2016-4485,7/1/16,502,7/1/16,502,466 S Prospect St,Closed
Intrusion Alarm,2016-4486,7/1/16,707,7/1/16,707,Waterman,Closed
Citizen Assist,2016-4493,7/1/16,1748,7/1/16,1748,Waterman Lot,Closed
Medical Assist / Alcohol Offense,2016-4499,7/1/16,2346,7/1/16,2346,Austin,Closed; UVM Rescue transported to UVM MC; Report to CSES
Alcohol Offense,2016-4500,7/2/16,148,7/2/16,148,Bittersweet Outside,Closed
Intoxication,2016-4501,7/2/16,235,7/2/16,235,Main Green,"Closed, Transported to ACT 1"
Agency Assist,2016-4502,7/2/16,252,7/2/16,252,135 Spring St,Closed; Assist to Winooski Police
Blue Light Alarm,2016-4518,7/3/16,116,7/3/16,116,Main Green,Closed
Accident- Property Damage,2016-4520,7/3/16,123,7/3/16,123,Davis Rd / S Prospect St,Closed
Alcohol Offense,2016-4521,7/3/16,453,7/3/16,453,S Prospect St / Pearl St,Closed; Report to CSES
Blue Light Alarm,2016-4530,7/3/16,1757,7/3/16,1757,109 S Prospect St Outside,Closed
Intoxication,2016-4537,7/4/16,26,7/4/16,26,Colchester Ave @ UVM Medical Center Outside,Closed; Non Affiliate transported to ACT 1
Agency Assist,2016-4543,7/4/16,805,7/4/16,805,"567 Oak Cir, Colchester",Closed; Assist to CPD
Blue Light Alarm,2016-4548,7/4/16,2252,7/4/16,2252,Main Campus,Closed
Motorist Assist,2016-4549,7/4/16,2321,7/4/16,2321,S Prospect St / Maple St,Closed
University Policy Violation / Campfire,2016-4553,7/5/16,122,7/5/16,122,"500 S Prospect St, Outside",Closed; Verbal Warning
Noise,2016-4565,7/5/16,2241,7/5/16,2241,500 S Prospect St,Closed; Verbal warning
Agency Assist,2016-4574,7/6/16,1133,7/6/16,1133,"4134 Ethan Allen Hwy, Georgia",Closed; Assist to Green Mountain Critical Incident Stress Management Team
911 Hang Up,2016-4576,7/6/16,1129,7/6/16,1129,1 S Prospect St,Closed
Agency Assist,2016-4577,7/6/16,1205,7/6/16,1205,284 East Ave,Closed; Assist to Orleans MA PD
911 Hang Up,2016-4582,7/6/16,1814,7/6/16,1814,1 S Prospect St,Closed
Agency Assist,2016-4587,7/7/16,712,7/7/16,712,Centennial Woods,Closed; assist to UVM Grounds Dept.
Medical Assist,2016-4588,7/7/16,949,7/7/16,949,UVM Helipad,Closed; assist to UVM Rescue
Fire Alarm,2016-4590,7/7/16,1428,7/7/16,1428,Colchester Research Facility,Closed
Motorist Assist,2016-4591,7/7/16,1454,7/7/16,1454,"Riverside Ave, Burlington",Closed
Fire Alarm,2016-4597,7/7/16,2111,7/7/16,2111,Trinity Campus Cottage 254,Closed
DUI,2016-4607,7/7/16,2321,7/7/16,2321,"Shelburne Rd, So. Burlington",Closed; subject cited for DUI
Intoxication / Agency Assist,2016-4609,7/8/16,252,7/8/16,252,Colchester Ave / East Ave,Closed; assist to Burlington Police & subject referred to Burlington Police
Unsecured Premise,2016-4610,7/8/16,513,7/8/16,513,Billings,Closed
Elevator Alarm,2016-4614,7/8/16,926,7/8/16,926,Living & Learning,Closed
Panic / Fire Alarm,2016-4618,7/8/16,1326,7/8/16,1326,Health Science Research Facility,Closed
Larceny,2016-4621,7/8/16,1509,07/07-08/2016,1700-1300,Marsh Austin Tupper Bike Rack,Open incident
Traffic / DUI,2016-4637,7/9/16,150,7/9/16,150,Williston Rd / Dorset St,Closed; subject cited for DUI
Larceny,2016-4640,7/9/16,1948,Unk,Unk,Tupper Hall Outside,Open incident
Traffic / DUI,2016-4644,7/9/16,2322,7/9/16,2322,S Prospect St / Robinson Pkwy,Closed; subject cited for DUI
Agency Assist,2016-4665,7/10/16,2312,7/10/16,2312,Main St / S Winooski Ave,Closed; assist to Burlington Police
