Classification,Incident #,Date Reported,Time Reported,Date Occurred,Time Occurred,General Location,Disposition
Animal Problem,2013-6201,8/1/13,720,8/1/13,720,WDW Parking Lot,Closed
Accident,2013-6202,8/1/13,846,8/1/13,846,University Health Center,Closed
Accident,2013-6203,8/1/13,1013,8/1/13,1013,University Health Center,Closed
Intrusion Alarm,2013-6204,8/1/13,1144,8/1/13,1144,University Health Center,Closed
Fire Alarm,2013-6205,8/1/13,1227,8/1/13,1227,Englesby House,Closed
Noise,2013-6219,8/2/13,51,8/1/13,51,Redstone Apts 4-23,Closed
Alcohol Offense,2013-6223,8/2/13,206,8/2/13,206,Main St / University Pl,Closed; alcohol tickets issued
DUI,2013-6224,8/2/13,214,8/2/13,214,I89 NB On Ramp,Closed; subject cited for DUI
Fire Alarm,2013-6226,8/2/13,650,8/2/13,650,Redstone Lofts,Closed
Fire Alarm,2013-6229,8/2/13,1252,8/2/13,1252,Living & Learning,Closed
Blue Light Alarm,2013-6233,8/2/13,1434,8/2/13,1434,Simpson Hall,Closed; unfounded
Citizen Assist,2013-6234,8/2/13,1447,8/2/13,1447,Waterman,Closed
Blue Light Alarm,2013-6235,8/2/13,1505,8/2/13,1505,Simpson Hall,Closed; unfounded
Suspicious Event,2013-6240,8/2/13,2213,8/2/13,2213,Redstone Campus,Closed
Noise,2013-6243,8/2/13,2342,8/2/13,2343,Redstone Apts 4-26,Closed
Agency Assist,2013-6250,8/3/13,149,8/3/13,149,Church St / Main St,Closed
Blue Light Alarm,2013-6251,8/3/13,202,8/3/13,202,Cook Building,Closed; unfounded
DUI,2013-6253,8/3/13,320,8/3/13,320,Williston Rd,Closed; subject cited for DUI & detoxed at Corrections
Fire Alarm,2013-6254,8/3/13,503,8/3/13,503,Wheeler House,Closed
Alcohol Offense,2013-6256,8/3/13,1328,Unk,Unk,South 1,Closed; report to CSES
Suspicious Person,2013-6257,8/3/13,1454,8/3/13,1454,Medical Education,Closed
Agency Assist,2013-6268,8/3/13,2301,8/3/13,2301,Pearl St / S Union St,Closed
Agency Assist,2013-6269,8/3/13,2340,8/3/13,2340,Pearl St / S Winooski Ave.,Closed
Agency Assist,2013-6270,8/3/13,2340,8/3/13,2340,"W. Canal St, Winooski",Closed
Agency Assist,2013-6278,8/4/13,159,8/4/13,159,Colchester Ave.,Closed
Blue Light Alarm,2013-6281,8/4/13,307,8/4/13,307,Jeanne Mance,Closed; unfounded
Blue Light Alarm,2013-6282,8/4/13,322,8/4/13,322,Jeanne Mance,Closed; unfounded
Vandalism,2013-6284,8/4/13,1047,Unk,Unk,Catholic Center,Open incident
Graffiti,2013-6286,8/4/13,1718,Unk,Unk,Cook Parking Lot,Open incident
Fire Alarm,2013-6287,8/4/13,1750,8/4/13,1750,Buckham Hall,Closed
Graffiti,2013-6291,8/5/13,803,Unk,Unk,Lafayette,Open incident
Accident,2013-6295,8/5/13,1208,8/5/13,1208,Votey Parking Lot,Closed
K9 Agency Assist,2013-6298,8/5/13,1459,8/5/13,1459,"Retail Way, Williston",Closed
Agency Assist,2013-6299,8/5/13,1621,8/5/13,1621,"College St, Burlington",Closed
Agency Assist,2013-6302,8/5/13,1945,8/5/13,1945,"Strong St, Burlington",Closed
Citizen Assist,2013-6305,8/5/13,2132,8/5/13,2132,Redstone Lofts,Closed
Fire Alarm,2013-6316,8/6/13,928,8/6/13,928,12 Colchester Av,Closed
Blue Light Alarm,2013-6318,8/6/13,1105,8/6/13,1105,Kalkin,Closed
Mental Health Issue,2013-6321,8/6/13,1313,8/6/13,1313,Given,Closed
Graffiti,2013-6322,8/6/13,1817,Unk,Unk,Catholic Center / Redstone Path,Open
Agency Assist,2013-6332,8/7/13,856,8/7/13,856,S.Williams St / Main St,Closed
Citizen Assist,2013-6335,8/7/13,1042,8/7/13,1042,Chittenden Hall,Closed
Suspicious Event,2013-6336,8/7/13,1128,8/7/13,1128,Waterman,Closed
Agency Assist,2013-6338,8/7/13,1443,8/7/13,1442,"Elmwood Ave, Burlington",Closed
Fire Alarm,2013-6342,8/7/13,1917,8/7/13,1917,Wills Hall,Closed
Domestic Disturbance,2013-6352,8/8/13,22,8/8/13,22,Main St,Closed
Arrest on Warrant,2013-6358,8/8/13,933,8/8/13,933,University Health Center,Closed; subject lodged at corrections on warrant
Larceny,2013-6361,8/8/13,1230,8/1/13,Unk,University Health Center,"Closed , non-affiliate cited into district court for petit larceny"
Agency Assist/Burglary,2013-6377,8/9/13,1012,8/9/13,1012,"University Way, Brattleboro",Closed
Citizen Assist,2013-6379,8/9/13,1348,8/9/13,1348,284 East Ave.,Closed
Graffiti,2013-6380,8/9/13,1359,8/9/13,1359,Williams Hall,Open incident
Animal Problem,2013-6381,8/9/13,1439,8/9/13,1439,Harris Millis Parking Lot,Closed
Agency Assist,2013-6382,8/9/13,1449,8/9/13,1449,284 East Ave,Closed
Citizen Assist,2013-6392,8/9/13,2346,8/9/13,2346,Williston Rd.,Closed
Suspicious Event,2013-6403,8/10/13,315,8/10/13,315,University Health Center,Closed
Agency Assist,2013-6404,8/10/13,330,8/10/13,330,Williston Rd.,Closed
Suspicious Vehicle,2013-6407,8/10/13,726,8/10/13,726,Centennial Field,Closed
Elevator Alarm,2013-6408,8/10/13,945,8/10/13,945,South 1,Closed; unfounded
Suspicious Event,2013-6412,8/10/13,1455,8/10/13,1455,HSRF,Closed
Citizen Assist,2013-6414,8/10/13,1553,8/10/13,1553,Davis Center,Closed
Agency Assist,2013-6416,8/10/13,1829,8/10/13,1829,"North Ave., Burlington",Closed
Graffiti,2013-6417,8/10/13,1855,8/10/13,1855,North 1,Open incident
Suspicious Event,2013-6423,8/10/13,2256,8/10/13,2256,S. Prospect St.,Closed
Suspicious Vehicle,2013-6430,8/10/13,2337,8/10/13,2337,PFG Parking Lot,Closed
DUI,2013-6442,8/11/13,147,8/11/13,147,Williston Rd / Dorset St,Closed; subject cited for DUI
Burglary,2013-6449,8/11/13,1310,8/11/13,0030-0430,Redstone Lofts,Open incident
Graffiti,2013-6457,8/12/13,31,Unk,Unk,Presbyterian Church,Open incident
Agency Assist,2013-6466,8/12/13,921,8/12/13,921,284 East Ave.,Closed
Elevator Alarm,2013-6469,8/12/13,1441,8/12/13,1441,HSRF,Closed; unfounded
Agency Assist,2013-6470,8/12/13,1923,8/12/13,1923,284 East Ave.,Closed
Fire Alarm,2013-6483,8/13/13,816,8/13/13,816,Hills Hall,Closed
Larceny,2013-6486,8/13/13,1100,Unk,Unk,Davis Center Parking Lot, Open incident
Agency Assist,2013-6488,8/13/13,1319,8/13/13,1319,University Health Center,Closed
Suspicious Person,2013-6503,8/14/13,57,8/14/13,57,MAT Parking Lot,Closed; unfounded
Agency Assist,2013-6508,8/14/13,824,8/14/13,824,East Ave/ Colchester Ave,Closed
Agency Assist,2013-6513,8/14/13,925,8/14/13,925,Police Services,Closed
Suspicious Event,2013-6517,8/14/13,1338,8/14/13,1338,Wills,Closed
Blue Light Alarm,2013-6521,8/14/13,1921,8/14/13,1921,PFG,Closed
Blue Light Alarm,2013-6525,8/14/13,2321,8/14/13,2321,Terrill,Closed
Suspicious Event,2013-6530,8/15/13,520,8/15/13,520,Living and Learning,Closed
Intrusion Alarm,2013-6532,8/15/13,732,8/15/13,732,Living and Learning,Closed
Agency Assist,2013-6543,8/15/13,2043,8/15/13,2043,1272 Williston Rd,Closed
Intoxication,2013-6548,8/16/13,108,8/16/13,108,S Winooski Ave/ Pearl St,Closed; one detoxed at Correctional Center
Motorist Assist,2013-6551,8/16/13,1017,8/16/13,1017,East Ave/Main St,Closed
Larceny,2013-6554,8/16/13,1208,08/10-12/2013,Unk.,Davis Center,Open
