university,spring_ifc_2014,fall_ifc_2014,spring_ifc_2015,fall_ifc_2015,spring_ifc_2016,fall_ifc_2016,spring_ifc_2017,fall_ifc_2017,spring_ifc_2018,fall_ifc_2018,spring_ifc_2019,fall_ifc_2019,spring_ifc_2020,fall_ifc_2020,most_recent
Arkansas State University-Main Campus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,315,,,315
Ball State University,NA,NA,NA,NA,NA,NA,NA,911,883,790,742,741,,,741
California Polytechnic State University-San Luis Obispo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1232,,,1232
Clemson University,1693,1748,1583,1632,1356,1510,1396,1466,1487,1537,1603,1704,,,1704
College of Charleston,605,653,667,678,643,494,504,300,304,311,358,435,,,435
Delaware State University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
East Carolina University,NA,NA,NA,NA,NA,NA,1140,1057,832,815,755,721,,,721
Emory University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,411,411
Ferrum College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Florida Atlantic University,NA,NA,430,324,333,394,450,529,490,489,507,559,,,559
Florida International University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Florida State University,1837,1672,2140,NA,2336,2019,2485,2706,2150,1858,1958,1695,,,1695
Hampden-Sydney College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Indiana University-Bloomington,3355,3176,NA,NA,3520,NA,3062,NA,2779,NA,2539,2728,,,2728
Louisiana State University and Agricultural & Mechanical College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495,,,495
Marshall University,240,NA,246,NA,NA,248,262,NA,NA,NA,235,183,,,183
Monmouth University,NA,NA,305,229,293,221,276,235,205,NA,140,,,,140
Murray State University,528,540,505,545,507,517,575,557,488,NA,NA,542,,,542
North Carolina State University at Raleigh,1032,1211,956,1086,1117,1184,1219,1182,1231,1283,1339,1254,,,1254
Ohio State University-Main Campus,1448,1587,1622,1682,1673,1759,1882,1626,1521,1451,NA,1314,,,1314
Ohio University-Main Campus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Rollins College,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199,,,199
Rutgers University-New Brunswick,NA,NA,NA,NA,NA,1568,1737,1270,1244,1120,1268,1268,,,1268
San Diego State University,NA,943,1005,987,NA,NA,NA,NA,NA,NA,NA,1377,,,1377
SUNY at Albany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,,,54
Syracuse University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,721,,,721
Texas A & M University-College Station,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1233,,1233
Texas Christian University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1533,,,1533
Texas State University,810,872,805,912,948,1241,738,822,436,410,417,527,,,527
The University of Texas at Austin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2203,,,2203
Tufts University,NA,NA,NA,NA,NA,475,NA,NA,NA,NA,NA,,,,
University at Buffalo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
University of California-Berkeley,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1963,,,1963
University of California-Irvine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,663,,,663
University of California-Riverside,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
University of Central Florida,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1065,,,1065
University of Idaho,882,975,938,889,804,878,772,843,781,776,756,803,,,803
University of Iowa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1330,,,1330
University of Kansas,NA,NA,1500,NA,1642,1708,1686,1722,1586,1628,,,1403,,1403
University of Kentucky,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,567,,,567
University of Louisiana at Lafayette,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
University of Michigan-Ann Arbor,NA,NA,NA,NA,NA,NA,NA,2508,2513,1720,1779,,,,1779
University of Missouri-Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2561,,,2561
University of Nebraska-Lincoln,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
University of Nevada-Reno,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
University of New Mexico-Main Campus,250,285,302,339,276,332,314,373,260,281,250,256,,,256
University of Pittsburgh-Pittsburgh Campus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,856,,,856
University of South Carolina-Columbia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2444,,2444
University of Southern California,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1677,,,1677
University of Vermont,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
University of Virginia-Main Campus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,
Washington State University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2044,,,2044
West Virginia University,NA,NA,1146,1141,1067,871,932,860,893,525,493,406,,,406
